,what,prohibits,atoms,from,passing,through,each,other,?
for,0.3017193675041199,0.24966226518154144,0.19385945796966553,0.314039945602417,0.2578018009662628,0.3172857463359833,0.3044290542602539,0.3273986279964447,0.264628142118454
example,0.3456268310546875,0.3204748332500458,0.2500729262828827,0.3175121247768402,0.16442851722240448,0.21204134821891785,0.38267919421195984,0.42318204045295715,0.30374911427497864
",",0.3087472915649414,0.2522578239440918,0.19749411940574646,0.39760664105415344,0.2306000292301178,0.3060276508331299,0.207483172416687,0.4446498453617096,0.31091248989105225
friction,0.2582229971885681,0.3007710576057434,0.37154027819633484,0.23271626234054565,0.2829131782054901,0.2777400314807892,0.25582587718963623,0.2704332172870636,0.18292373418807983
is,0.28837618231773376,0.1881907731294632,0.21835871040821075,0.27355384826660156,0.20053766667842865,0.27805060148239136,0.2954041659832001,0.25895947217941284,0.22961433231830597
a,0.3320399522781372,0.20299698412418365,0.23782315850257874,0.322764128446579,0.26634570956230164,0.3399752974510193,0.434999018907547,0.2806335389614105,0.23916715383529663
manifestation,0.26327043771743774,0.2629052996635437,0.21346981823444366,0.20898163318634033,0.23581305146217346,0.21872328221797943,0.20124901831150055,0.2544141113758087,0.16244561970233917
of,0.33290785551071167,0.26500216126441956,0.20656298100948334,0.4249346852302551,0.24086934328079224,0.3647414743900299,0.38460010290145874,0.38583824038505554,0.1826142966747284
the,0.42745697498321533,0.24808304011821747,0.1997222602367401,0.40150508284568787,0.3088957965373993,0.44071322679519653,0.470844566822052,0.44152235984802246,0.22068053483963013
electromagnetic,0.263467937707901,0.16427548229694366,0.5674473643302917,0.1571214348077774,0.2183951437473297,0.22729754447937012,0.22160206735134125,0.2038877159357071,0.16735313832759857
force,0.16915984451770782,0.20660743117332458,0.25373491644859314,0.14128944277763367,0.13775093853473663,0.20056840777397156,0.16758981347084045,0.1906614750623703,0.1650998443365097
acting,0.2151678204536438,0.0846482664346695,0.18305686116218567,0.18491196632385254,0.2654512822628021,0.19713230431079865,0.14713960886001587,0.19202890992164612,0.15597198903560638
between,0.2462156116962433,0.1544656604528427,0.2636514902114868,0.3269653618335724,0.24089154601097107,0.3930896520614624,0.35306447744369507,0.30660146474838257,0.12887074053287506
the,0.42745697498321533,0.24808304011821747,0.1997222602367401,0.40150508284568787,0.3088957965373993,0.44071322679519653,0.470844566822052,0.44152235984802246,0.22068053483963013
atoms,0.2511626183986664,0.11964086443185806,1.0000001192092896,0.18694515526294708,0.1149599626660347,0.16795478761196136,0.3580165505409241,0.2643064558506012,0.17423541843891144
of,0.33290785551071167,0.26500216126441956,0.20656298100948334,0.4249346852302551,0.24086934328079224,0.3647414743900299,0.38460010290145874,0.38583824038505554,0.1826142966747284
two,0.23363454639911652,0.1531488448381424,0.29314860701560974,0.25732070207595825,0.2345084398984909,0.24710188806056976,0.524709939956665,0.46609029173851013,0.19645625352859497
surfaces,0.20051200687885284,0.20406734943389893,0.3523603677749634,0.1660567671060562,0.2232869565486908,0.250984787940979,0.27314311265945435,0.31746184825897217,0.15262344479560852
