,what,is,the,term,for,a,task,that,generally,lends,itself,to,being,solved,by,a,computer,?
computational,0.29464593529701233,0.2470806986093521,0.18477948009967804,0.2597770094871521,0.3473072648048401,0.29858994483947754,0.3345690667629242,0.3084385395050049,0.3387005627155304,0.27765244245529175,0.2751229703426361,0.246933713555336,0.2564813494682312,0.39239147305488586,0.2209896296262741,0.29858994483947754,0.5941354632377625,0.21617397665977478
complexity,0.33747240900993347,0.2541271150112152,0.21171598136425018,0.29115718603134155,0.27243003249168396,0.27206721901893616,0.3616558313369751,0.3234518766403198,0.33300694823265076,0.20999155938625336,0.3424626290798187,0.28336837887763977,0.25915804505348206,0.4075605869293213,0.17643122375011444,0.27206721901893616,0.404285728931427,0.23062916100025177
theory,0.297923743724823,0.19279582798480988,0.2277156263589859,0.25713178515434265,0.20500218868255615,0.2233850657939911,0.2245934009552002,0.36183905601501465,0.2930140197277069,0.20141823589801788,0.2445046752691269,0.21947365999221802,0.1617022603750229,0.25994056463241577,0.17579947412014008,0.2233850657939911,0.21609924733638763,0.1387292891740799
is,0.28837618231773376,1.0,0.5823672413825989,0.270183801651001,0.43268078565597534,0.658733606338501,0.19153684377670288,0.3995479643344879,0.4094115197658539,0.29796382784843445,0.3638126254081726,0.42745086550712585,0.4445112943649292,0.16888999938964844,0.3899846076965332,0.658733606338501,0.2406304031610489,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3080509603023529,0.44038116931915283,1.0,0.22586117684841156,0.47537946701049805,0.37653425335884094,0.3012448251247406,0.4065200984477997,0.45503583550453186,0.3727131485939026,0.18525584042072296,0.32094135880470276,1.0,0.2548043727874756,0.23916715383529663
branch,0.1792319416999817,0.17662303149700165,0.2630956768989563,0.2073250561952591,0.0993007943034172,0.20822708308696747,0.23732171952724457,0.23441632091999054,0.19450005888938904,0.17161786556243896,0.2540559768676758,0.15628041326999664,0.12358424067497253,0.2065969705581665,0.13618141412734985,0.20822708308696747,0.18950611352920532,0.10474635660648346
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.5052502155303955,0.18514713644981384,0.41498205065727234,0.3127037584781647,0.20647528767585754,0.3157202899456024,0.41548454761505127,0.34885138273239136,0.17960071563720703,0.3646814823150635,0.5052502155303955,0.18559479713439941,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2740369141101837,0.4739971458911896,0.5829201340675354,0.22566188871860504,0.5473989248275757,0.41466525197029114,0.23715049028396606,0.45971640944480896,0.535392165184021,0.419739305973053,0.21140827238559723,0.4408751428127289,0.5829201340675354,0.19781450927257538,0.22068053483963013
theory,0.297923743724823,0.19279582798480988,0.2277156263589859,0.25713178515434265,0.20500218868255615,0.2233850657939911,0.2245934009552002,0.36183905601501465,0.2930140197277069,0.20141823589801788,0.2445046752691269,0.21947365999221802,0.1617022603750229,0.25994056463241577,0.17579947412014008,0.2233850657939911,0.21609924733638763,0.1387292891740799
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.26047757267951965,0.4185989499092102,0.5052502155303955,0.18514713644981384,0.41498205065727234,0.3127037584781647,0.20647528767585754,0.3157202899456024,0.41548454761505127,0.34885138273239136,0.17960071563720703,0.3646814823150635,0.5052502155303955,0.18559479713439941,0.1826142966747284
