,who,applies,expertise,to,relate,the,work,and,materials,involved,to,a,proper,valuation,?
accountants,0.3623366057872772,0.31506386399269104,0.4560573101043701,0.2697742283344269,0.28291115164756775,0.22055897116661072,0.29809704422950745,0.30226755142211914,0.35071301460266113,0.29544797539711,0.2697742283344269,0.1869894564151764,0.24063552916049957,0.4565691351890564,0.18002422153949738
act,0.2015037089586258,0.29542791843414307,0.22646816074848175,0.24833928048610687,0.244283527135849,0.28682878613471985,0.2744990587234497,0.2776535749435425,0.17219948768615723,0.19077180325984955,0.24833928048610687,0.2060188204050064,0.1681022047996521,0.22488968074321747,0.1482519507408142
to,0.42656609416007996,0.3004893660545349,0.3577514588832855,1.0,0.353634238243103,0.535392165184021,0.3482864499092102,0.48971283435821533,0.2771066129207611,0.24297703802585602,1.0,0.45503583550453186,0.38182929158210754,0.29551464319229126,0.29463258385658264
study,0.21352694928646088,0.23625020682811737,0.33393844962120056,0.3326032757759094,0.3781035244464874,0.2533665597438812,0.33125606179237366,0.300253301858902,0.2861093580722809,0.18942110240459442,0.3326032757759094,0.2268155962228775,0.21933788061141968,0.3892841041088104,0.15902167558670044
the,0.3733934462070465,0.2765985429286957,0.22294332087039948,0.535392165184021,0.27545472979545593,1.0,0.2704800069332123,0.5171257257461548,0.22837378084659576,0.2872544527053833,0.535392165184021,0.5829201340675354,0.3680674135684967,0.3148524761199951,0.22068053483963013
expected,0.3214108645915985,0.3122791647911072,0.36787912249565125,0.42255479097366333,0.24531786143779755,0.3108554780483246,0.28446197509765625,0.33531272411346436,0.3096657395362854,0.27916061878204346,0.42255479097366333,0.309760719537735,0.27157333493232727,0.3333476781845093,0.19474582374095917
monetary,0.19049745798110962,0.2586612403392792,0.29383212327957153,0.24340187013149261,0.214585080742836,0.25381726026535034,0.21832019090652466,0.22672957181930542,0.2551390528678894,0.20678287744522095,0.24340187013149261,0.18932966887950897,0.19545866549015045,0.4741344451904297,0.12205808609724045
flow,0.08080674707889557,0.20165808498859406,0.17590682208538055,0.27439337968826294,0.2185538411140442,0.314039409160614,0.18164724111557007,0.2773895561695099,0.325188547372818,0.12916068732738495,0.27439337968826294,0.21422207355499268,0.22680814564228058,0.27867308259010315,0.10458291321992874
over,0.316001296043396,0.20800770819187164,0.2282492071390152,0.38635820150375366,0.21466968953609467,0.39856547117233276,0.23439672589302063,0.4021143913269043,0.2159845381975174,0.3190319836139679,0.38635820150375366,0.32199642062187195,0.21464435756206512,0.20470118522644043,0.25742942094802856
the,0.3733934462070465,0.2765985429286957,0.22294332087039948,0.535392165184021,0.27545472979545593,1.0,0.2704800069332123,0.5171257257461548,0.22837378084659576,0.2872544527053833,0.535392165184021,0.5829201340675354,0.3680674135684967,0.3148524761199951,0.22068053483963013
