,what,",",rather,than,islamism,",",requires,explanation,?
similarly,0.2804308831691742,0.31510427594184875,0.4439258277416229,0.3606029450893402,0.20271313190460205,0.31510427594184875,0.27053195238113403,0.27968576550483704,0.23036029934883118
",",0.3087472915649414,1.0000001192092896,0.276650071144104,0.3371901512145996,0.20622773468494415,1.0000001192092896,0.199883371591568,0.24644657969474792,0.31091248989105225
a,0.3320399522781372,0.427140474319458,0.4061340093612671,0.3126874566078186,0.2249027043581009,0.427140474319458,0.322436660528183,0.2705473303794861,0.23916715383529663
writer,0.16903695464134216,0.2910175621509552,0.1040700152516365,0.10025319457054138,0.2291792631149292,0.2910175621509552,0.08771762996912003,0.210868239402771,0.1860569268465042
for,0.3017193675041199,0.4464869201183319,0.3629494905471802,0.30793827772140503,0.17044684290885925,0.4464869201183319,0.3619304895401001,0.34229084849357605,0.264628142118454
the,0.42745697498321533,0.4933079481124878,0.31983619928359985,0.3227543234825134,0.2584027051925659,0.4933079481124878,0.2693159878253937,0.261050283908844,0.22068053483963013
international,0.10870302468538284,0.23395943641662598,0.11594872921705246,0.13615436851978302,0.2755563259124756,0.23395943641662598,0.2313031405210495,0.1794653683900833,0.15335838496685028
crisis,0.23514460027217865,0.18660308420658112,0.13049668073654175,0.10373397171497345,0.34175464510917664,0.18660308420658112,0.15751546621322632,0.2127470225095749,0.17902959883213043
group,0.2114069163799286,0.2809832692146301,0.21904946863651276,0.19962939620018005,0.2462894171476364,0.2809832692146301,0.0948510691523552,0.20616458356380463,0.13827809691429138
maintains,0.17929726839065552,0.1875990927219391,0.34576889872550964,0.26233088970184326,0.16471141576766968,0.1875990927219391,0.35705840587615967,0.25533610582351685,0.13273680210113525
that,0.6297725439071655,0.4137537479400635,0.4945213496685028,0.4891277849674225,0.27515143156051636,0.4137537479400635,0.33935680985450745,0.4266470670700073,0.32716336846351624
``,0.008517155423760414,0.09681109338998795,0.11114675551652908,0.12080201506614685,0.09567752480506897,0.09681109338998795,0.028399817645549774,0.06731059402227402,0.0685480609536171
the,0.42745697498321533,0.4933079481124878,0.31983619928359985,0.3227543234825134,0.2584027051925659,0.4933079481124878,0.2693159878253937,0.261050283908844,0.22068053483963013
conception,0.284974068403244,0.26697906851768494,0.3541945219039917,0.2564767301082611,0.34084054827690125,0.26697906851768494,0.2891891598701477,0.4225529432296753,0.16465921700000763
of,0.33290785551071167,0.4946078956127167,0.3045461177825928,0.33036211133003235,0.2555263340473175,0.4946078956127167,0.29617026448249817,0.1946517825126648,0.1826142966747284
'political,0.24287043511867523,0.27002760767936707,0.2697964012622833,0.18561527132987976,0.49997761845588684,0.27002760767936707,0.20293310284614563,0.20977197587490082,0.17658746242523193
islam,0.23237212002277374,0.23459285497665405,0.17097607254981995,0.18072515726089478,0.7715402841567993,0.23459285497665405,0.1813451200723648,0.23359271883964539,0.18358638882637024
',0.3245812654495239,0.5178600549697876,0.2039514183998108,0.174348384141922,0.16311824321746826,0.5178600549697876,0.17563043534755707,0.25416257977485657,0.330942302942276
