,what,did,luther,promise,to,do,as,a,concession,?
luther,0.2134782373905182,0.23667675256729126,1.0,0.2250763177871704,0.18029534816741943,0.10933273285627365,0.20242992043495178,0.17967689037322998,0.1797008365392685,0.1732746809720993
made,0.23419176042079926,0.3068731725215912,0.15519264340400696,0.23604720830917358,0.3377571105957031,0.32309988141059875,0.40740177035331726,0.3180864453315735,0.1783628612756729,0.17218779027462006
certain,0.4561643898487091,0.3046872019767761,0.17985956370830536,0.28658756613731384,0.4444960355758667,0.3747329115867615,0.33222660422325134,0.369277685880661,0.23079651594161987,0.2516106069087982
concessions,0.210298091173172,0.2765643000602722,0.18340446054935455,0.30625706911087036,0.3171096444129944,0.23686936497688293,0.23304912447929382,0.2309386432170868,0.8951598405838013,0.1424606591463089
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.37925463914871216,1.0,0.38876664638519287,0.42092081904411316,0.45503583550453186,0.30714350938796997,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.2980596125125885,0.535392165184021,0.30239659547805786,0.48381632566452026,0.5829201340675354,0.24703705310821533,0.22068053483963013
saxon,0.19151967763900757,0.1654985100030899,0.22933059930801392,0.18885537981987,0.1913498193025589,0.07457486540079117,0.1955128163099289,0.18782295286655426,0.18534976243972778,0.14814330637454987
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.26103663444519043,0.44245919585227966,0.3283645510673523,0.48816442489624023,0.427140474319458,0.20641718804836273,0.31091248989105225
who,0.40942975878715515,0.34038686752319336,0.21013082563877106,0.38930127024650574,0.42656609416007996,0.2662210166454315,0.3923053741455078,0.36608949303627014,0.1851358711719513,0.26220351457595825
was,0.22111038863658905,0.41399896144866943,0.19185513257980347,0.25232574343681335,0.3636345863342285,0.11523093283176422,0.3677520453929901,0.4508470594882965,0.19968552887439728,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.3287734091281891,0.45503583550453186,0.26237669587135315,0.39550232887268066,1.0,0.23825795948505402,0.23916715383529663
relative,0.24426062405109406,0.1787591576576233,0.13664667308330536,0.16496162116527557,0.283727765083313,0.1587928682565689,0.21516168117523193,0.3016895651817322,0.22056427597999573,0.1457768678665161
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.19621525704860687,0.41548454761505127,0.26150479912757874,0.3886612355709076,0.5052502155303955,0.29263660311698914,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.2980596125125885,0.535392165184021,0.30239659547805786,0.48381632566452026,0.5829201340675354,0.24703705310821533,0.22068053483963013
elector,0.2378963828086853,0.23126348853111267,0.23163655400276184,0.27933838963508606,0.24809673428535461,0.12085485458374023,0.2049909383058548,0.2362654209136963,0.2890114486217499,0.18877160549163818
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.26103663444519043,0.44245919585227966,0.3283645510673523,0.48816442489624023,0.427140474319458,0.20641718804836273,0.31091248989105225
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.2775474190711975,0.48971283435821533,0.276123583316803,0.49487000703811646,0.3739250600337982,0.20433808863162994,0.20544172823429108
promised,0.24721461534500122,0.4575365483760834,0.18144385516643524,0.7902084589004517,0.3742603361606598,0.2558545470237732,0.26085424423217773,0.24853283166885376,0.3340069353580475,0.22630755603313446
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.37925463914871216,1.0,0.38876664638519287,0.42092081904411316,0.45503583550453186,0.30714350938796997,0.29463258385658264
remain,0.29587244987487793,0.26352423429489136,0.09804002940654755,0.2348114252090454,0.3472624719142914,0.24966241419315338,0.2654021382331848,0.24084681272506714,0.18773500621318817,0.1868363618850708
silent,0.20245704054832458,0.14205579459667206,0.2919616103172302,0.18162867426872253,0.10442576557397842,0.11117005348205566,0.18179114162921906,0.24980111420154572,0.15669505298137665,0.11667241156101227
if,0.5277165174484253,0.3197491765022278,0.17693482339382172,0.3645705282688141,0.4559597074985504,0.4196736514568329,0.3354816734790802,0.41272827982902527,0.13810637593269348,0.4441644251346588
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.35698938369750977,0.3715193271636963,0.15088757872581482,0.3146366477012634,0.3497250974178314,0.25808587670326233,0.18075084686279297
opponents,0.18805594742298126,0.26735401153564453,0.22608257830142975,0.22789514064788818,0.25407272577285767,0.15817038714885712,0.17619626224040985,0.17628498375415802,0.2707204818725586,0.12975426018238068
did,0.4259131848812103,1.0,0.23667675256729126,0.3832111656665802,0.4452643394470215,0.5246143937110901,0.3596470057964325,0.2552328109741211,0.24314342439174652,0.3023456633090973
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.25474175810813904,0.4645031690597534,0.3613996207714081,0.515582263469696,0.50484299659729,0.14381946623325348,0.4130953550338745
