,what,was,the,purpose,of,csnet
its,0.30393704771995544,0.3518870174884796,0.559237003326416,0.25212326645851135,0.48690423369407654,0.27111151814460754
purpose,0.33113807439804077,0.23185795545578003,0.3061215281486511,1.0,0.23855330049991608,0.19385294616222382
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.23185795545578003,0.4069072902202606,0.25612157583236694
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.38124558329582214,0.41548454761505127,0.30056941509246826
extend,0.30407145619392395,0.08285403251647949,0.29680711030960083,0.28742721676826477,0.2804538309574127,0.19372574985027313
networking,0.2650068402290344,0.17378748953342438,0.25055229663848877,0.2842281758785248,0.22065365314483643,0.4632643163204193
benefits,0.26291319727897644,0.09684896469116211,0.20434671640396118,0.42191028594970703,0.1838720440864563,0.2497064471244812
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21281862258911133,0.4946078956127167,0.31742966175079346
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.3468001186847687,0.4185989499092102,0.26885318756103516
computer,0.26911869645118713,0.1967092603445053,0.19781450927257538,0.26538464426994324,0.18559479713439941,0.315820574760437
science,0.2612018585205078,0.22005605697631836,0.24037593603134155,0.2581920325756073,0.2616958022117615,0.26129692792892456
departments,0.1946287304162979,0.1894252598285675,0.322636216878891,0.23509351909160614,0.319271445274353,0.31600725650787354
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.22169865667819977,0.42558613419532776,0.3032025396823883
academic,0.10352335125207901,0.2174692153930664,0.15387672185897827,0.1572272926568985,0.20802809298038483,0.25572875142097473
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2336888313293457,0.5116966962814331,0.3208819031715393
research,0.237140491604805,0.21417704224586487,0.24391183257102966,0.24280546605587006,0.22573977708816528,0.2691943049430847
institutions,0.22018329799175262,0.20505627989768982,0.2776423394680023,0.28257301449775696,0.3371490240097046,0.26548200845718384
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3622583746910095,0.41498205065727234,0.32813549041748047
could,0.4188697934150696,0.39896807074546814,0.35393214225769043,0.380582720041275,0.29043012857437134,0.26299071311950684
not,0.5449194312095642,0.2888734042644501,0.4310511648654938,0.35319599509239197,0.3307090103626251,0.288703054189682
be,0.3929833769798279,0.42228707671165466,0.4248143136501312,0.32208773493766785,0.33904364705085754,0.3041974902153015
directly,0.3618607521057129,0.22806373238563538,0.4502958655357361,0.33593153953552246,0.2998887896537781,0.2945479154586792
connected,0.21880124509334564,0.17375674843788147,0.31369513273239136,0.17309480905532837,0.2951911687850952,0.2279420793056488
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.38124558329582214,0.41548454761505127,0.30056941509246826
arpanet,0.21845723688602448,0.19370940327644348,0.26561665534973145,0.23270416259765625,0.2668481767177582,0.5722963809967041
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21281862258911133,0.4946078956127167,0.31742966175079346
due,0.15204688906669617,0.29011407494544983,0.22577603161334991,0.22548045217990875,0.2533245384693146,0.1725843995809555
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.38124558329582214,0.41548454761505127,0.30056941509246826
funding,0.2725590467453003,0.2314583957195282,0.3006567358970642,0.3062564730644226,0.27515512704849243,0.316490113735199
or,0.33867141604423523,0.2330796718597412,0.4174870550632477,0.34932902455329895,0.3792596757411957,0.26332104206085205
authorization,0.2723088562488556,0.24134604632854462,0.3122554123401642,0.3718611001968384,0.294447124004364,0.29677653312683105
limitations,0.32129794359207153,0.12300675362348557,0.26554352045059204,0.3905707895755768,0.30837908387184143,0.331169992685318
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.22145536541938782,0.5352458953857422,0.41417619585990906
