,what,type,of,living,does,cycling,promote,?
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.18790079653263092,0.31202155351638794,0.13168416917324066,0.23179887235164642,0.27043893933296204
of,0.33290785551071167,0.18112817406654358,1.0,0.3499443829059601,0.3119818866252899,0.22023607790470123,0.22270441055297852,0.1826142966747284
2012,0.2266836017370224,0.16270002722740173,0.4422316551208496,0.32591044902801514,0.21990051865577698,0.12623877823352814,0.14831453561782837,0.18042556941509247
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.26278790831565857,0.28617382049560547,0.16396504640579224,0.27121588587760925,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3127744197845459,0.35928019881248474,0.23055073618888855,0.2408624291419983,0.22068053483963013
local,0.18981902301311493,0.17805400490760803,0.20668989419937134,0.12221807986497879,0.11821071803569794,0.20466211438179016,0.2302403748035431,0.15022775530815125
council,0.16933071613311768,0.10015834122896194,0.2972237169742584,0.15003617107868195,0.13735659420490265,0.17038510739803314,0.22395922243595123,0.1160062924027443
social,0.22217629849910736,0.10143082588911057,0.2605111300945282,0.20777782797813416,0.19126898050308228,0.13505569100379944,0.3081863224506378,0.1615191102027893
aims,0.22018413245677948,0.2058020383119583,0.26519179344177246,0.1582029163837433,0.3482622504234314,0.14634782075881958,0.40589606761932373,0.17794713377952576
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.27568840980529785,0.3461615741252899,0.16949640214443207,0.2518306374549866,0.20544172823429108
objectives,0.3126153349876404,0.14243467152118683,0.1930888593196869,0.14010661840438843,0.26247772574424744,0.12777885794639587,0.3193127512931824,0.24325615167617798
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.15849082171916962,0.35159170627593994,0.2193143218755722,0.31158262491226196,0.264628142118454
cycling,0.17575226724147797,0.20782817900180817,0.22023607790470123,0.10179717093706131,0.13133637607097626,0.9999999403953552,0.22017502784729004,0.06800638884305954
include,0.1535889357328415,0.20810997486114502,0.37431180477142334,0.14459945261478424,0.26005542278289795,0.13752004504203796,0.16330870985984802,0.14925788342952728
:,-0.12022944539785385,-0.051249612122774124,-0.08807745575904846,-0.06841752678155899,-0.11934193223714828,0.2521277666091919,-0.04850335419178009,-0.07156077772378922
highlighting,0.2526554763317108,0.14851316809654236,0.2906976640224457,0.12964962422847748,0.18908773362636566,0.1840645968914032,0.15757805109024048,0.16213589906692505
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3127744197845459,0.35928019881248474,0.23055073618888855,0.2408624291419983,0.22068053483963013
usage,0.27315184473991394,0.24213121831417084,0.2117948979139328,0.10121705383062363,0.2558087706565857,0.18875382840633392,0.1929202824831009,0.20954200625419617
of,0.33290785551071167,0.18112817406654358,1.0,0.3499443829059601,0.3119818866252899,0.22023607790470123,0.22270441055297852,0.1826142966747284
cycling,0.17575226724147797,0.20782817900180817,0.22023607790470123,0.10179717093706131,0.13133637607097626,0.9999999403953552,0.22017502784729004,0.06800638884305954
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2300543487071991,0.4391997456550598,0.23294292390346527,0.3513890206813812,0.29463258385658264
cut,0.20727719366550446,0.1742144078016281,0.26061776280403137,0.09395939111709595,0.16209566593170166,0.08378807455301285,0.2099289447069168,0.1403924524784088
city,0.17493832111358643,0.1293686032295227,0.32503411173820496,0.2712697982788086,0.10004369169473648,0.11352372914552689,0.14143411815166473,0.13423943519592285
congestion,0.20774804055690765,0.19659535586833954,0.24150069057941437,0.19918347895145416,0.19503647089004517,0.2384442239999771,0.1836426556110382,0.23177677392959595
;,0.10986888408660889,-0.004756918177008629,0.054534342139959335,0.1012292131781578,0.0650511160492897,-0.02835347317159176,0.042932476848363876,0.10349778085947037
educating,0.2503001391887665,0.04938096925616264,0.26176056265830994,0.21709761023521423,0.22131337225437164,0.14557448029518127,0.38731837272644043,0.23716121912002563
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.2670987546443939,0.4764937460422516,0.20393960177898407,0.2708355188369751,0.32716336846351624
cycling,0.17575226724147797,0.20782817900180817,0.22023607790470123,0.10179717093706131,0.13133637607097626,0.9999999403953552,0.22017502784729004,0.06800638884305954
promotes,0.153864786028862,0.09709613770246506,0.2391948103904724,0.1667345017194748,0.2401619851589203,0.21041399240493774,0.7558158040046692,0.1558201164007187
healthy,0.2440870702266693,0.10107161849737167,0.19522778689861298,0.2870524823665619,0.2856636047363281,0.16811448335647583,0.318503737449646,0.15095935761928558
living…,0.18681026995182037,-0.002800642279908061,0.294911652803421,0.8658501505851746,0.12281816452741623,0.08849356323480606,0.17394451797008514,0.21991851925849915
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.3127744197845459,0.35928019881248474,0.23055073618888855,0.2408624291419983,0.22068053483963013
authority,0.23046736419200897,0.11715258657932281,0.28063252568244934,0.18276432156562805,0.24361401796340942,0.16613122820854187,0.2399751842021942,0.18404170870780945
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.2228061705827713,0.4118025600910187,0.1985093206167221,0.2673132121562958,0.21848613023757935
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.22743235528469086,0.42885294556617737,0.20258142054080963,0.17780591547489166,0.15994466841220856
infrastructure,0.23299327492713928,0.1808082014322281,0.27721908688545227,0.1868722140789032,0.15410520136356354,0.22846710681915283,0.3635273873806,0.15828795731067657
