,who,led,the,most,rapid,expansion,of,the,mongol,empire,?
under,0.2962189018726349,0.26394832134246826,0.3348022699356079,0.18498912453651428,0.20655962824821472,0.18311887979507446,0.32766106724739075,0.3348022699356079,0.22559615969657898,0.22204537689685822,0.18233340978622437
genghis,0.3018350303173065,0.24070851504802704,0.3448939025402069,0.22644314169883728,0.1988440752029419,0.1360548734664917,0.2938849925994873,0.3448939025402069,0.6244974732398987,0.42237505316734314,0.18813461065292358
's,0.05599616840481758,-0.01628696173429489,-0.01540423184633255,0.024445664137601852,0.024939032271504402,-0.022183343768119812,-0.03817026689648628,-0.01540423184633255,-0.05976467952132225,-0.011798231862485409,-0.023395681753754616
successor,0.1692478209733963,0.2515890896320343,0.14193344116210938,0.03314448148012161,0.055651575326919556,0.1546158492565155,0.10859241336584091,0.14193344116210938,0.1835068166255951,0.20978207886219025,0.0913006067276001
ögedei,0.34607383608818054,0.25385144352912903,0.32871612906455994,0.25804275274276733,0.2230677604675293,0.20151987671852112,0.31509923934936523,0.32871612906455994,0.4681960940361023,0.41043418645858765,0.20177854597568512
khan,0.2616176903247833,0.1513843536376953,0.21067845821380615,0.15546606481075287,0.09905371814966202,0.11145608872175217,0.17124508321285248,0.21067845821380615,0.5576101541519165,0.38083162903785706,0.12862591445446014
the,0.3733934462070465,0.3267505168914795,1.0,0.47635307908058167,0.24250900745391846,0.31353142857551575,0.733189046382904,1.0,0.2924198508262634,0.32532164454460144,0.22068053483963013
speed,0.14901922643184662,0.13969464600086212,0.2310667634010315,0.13443005084991455,0.3076581656932831,0.253044456243515,0.1947416365146637,0.2310667634010315,0.13756445050239563,0.08299421519041061,0.17392314970493317
of,0.2827862501144409,0.32918456196784973,0.733189046382904,0.4178851246833801,0.18225142359733582,0.24185356497764587,1.0,0.733189046382904,0.22712039947509766,0.30522286891937256,0.1826142966747284
expansion,0.09368777275085449,0.22548402845859528,0.31353142857551575,0.1628837287425995,0.21052682399749756,1.0,0.24185356497764587,0.31353142857551575,0.21390549838542938,0.28615090250968933,0.18286365270614624
reached,0.14704298973083496,0.2758708894252777,0.29860952496528625,0.1657133549451828,0.258882999420166,0.1807643473148346,0.18604008853435516,0.29860952496528625,0.13285142183303833,0.15446290373802185,0.1518019139766693
its,0.1326070874929428,0.1544189751148224,0.559237003326416,0.32324016094207764,0.2264774888753891,0.2431638091802597,0.48690423369407654,0.559237003326416,0.2120933085680008,0.22907911241054535,0.15103481709957123
peak,0.07628896087408066,0.14365088939666748,0.21859097480773926,0.18553417921066284,0.22658246755599976,0.1489129513502121,0.13134954869747162,0.21859097480773926,0.07993696630001068,0.16633570194244385,0.10670080035924911
.,0.3541337847709656,0.19335708022117615,0.5934505462646484,0.35404038429260254,0.19743964076042175,0.18406090140342712,0.5352458953857422,0.5934505462646484,0.16751837730407715,0.2811720371246338,0.4130953550338745
