,what,administrative,division,did,kublai,leave,unmodified,?
he,0.3114890456199646,0.16184328496456146,0.21099352836608887,0.3292143940925598,0.3360303044319153,0.25695252418518066,0.09592753648757935,0.2089974731206894
restored,0.23375621438026428,0.20479795336723328,0.1235881894826889,0.22396154701709747,0.22552138566970825,0.24784265458583832,0.3534712791442871,0.1778445541858673
the,0.42745697498321533,0.25410786271095276,0.26203617453575134,0.34736719727516174,0.32886171340942383,0.32171857357025146,0.3072066307067871,0.22068053483963013
imperial,0.09280271828174591,0.2487729787826538,0.18019382655620575,0.16254396736621857,0.33757176995277405,0.16890601813793182,0.21276943385601044,0.10900196433067322
secretariat,0.1463027000427246,0.3521052896976471,0.22270993888378143,0.15516354143619537,0.17932145297527313,0.14365048706531525,0.26766300201416016,0.11597823351621628
and,0.31309178471565247,0.2250182032585144,0.23460866510868073,0.34479495882987976,0.25078991055488586,0.2462838888168335,0.28219175338745117,0.20544172823429108
left,0.2442072629928589,0.13847355544567108,0.14160074293613434,0.27335280179977417,0.17987953126430511,0.4278854727745056,0.18259283900260925,0.13251960277557373
the,0.42745697498321533,0.25410786271095276,0.26203617453575134,0.34736719727516174,0.32886171340942383,0.32171857357025146,0.3072066307067871,0.22068053483963013
local,0.18981902301311493,0.2615388333797455,0.12230631709098816,0.1319427639245987,0.11600625514984131,0.11588285863399506,0.18817266821861267,0.15022775530815125
administrative,0.2697139382362366,1.0,0.34638711810112,0.13005641102790833,0.19419077038764954,0.13937589526176453,0.15737195312976837,0.15912041068077087
structure,0.27351704239845276,0.21432757377624512,0.16203899681568146,0.1695220172405243,0.05044431984424591,0.15791447460651398,0.3818648159503937,0.1770772784948349
of,0.33290785551071167,0.3186163008213043,0.23579144477844238,0.2513895630836487,0.231930211186409,0.22741928696632385,0.26773056387901306,0.1826142966747284
past,0.3538547456264496,0.2135843187570572,0.0797966793179512,0.23777562379837036,0.23710568249225616,0.1994369775056839,0.2200218290090561,0.2598046660423279
chinese,0.11643128097057343,0.10297989845275879,0.09712665528059006,0.19065357744693756,0.38022753596305847,0.16825802624225616,0.24610185623168945,0.20843194425106049
dynasties,0.14372941851615906,0.3006359338760376,0.1697743684053421,0.17571403086185455,0.40884631872177124,0.09291380643844604,0.24431180953979492,0.14213824272155762
unchanged,0.2807125449180603,0.26846736669540405,0.1712636500597,0.19576016068458557,0.2146434783935547,0.2595047652721405,0.4935181736946106,0.1749853491783142
.,0.3567904531955719,0.22524121403694153,0.27855971455574036,0.35288307070732117,0.2311694622039795,0.30909571051597595,0.2784275710582733,0.4130953550338745
