,how,many,total,yards,did,denver,gain,?
denver,0.15631112456321716,0.18606427311897278,0.1672368049621582,0.3131333589553833,0.16413381695747375,1.0,0.07698112726211548,0.1520889848470688
won,0.13434793055057526,0.2252970188856125,0.16923509538173676,0.17710529267787933,0.3493216037750244,0.1950361430644989,0.2606079578399658,0.17925700545310974
despite,0.180110901594162,0.29778826236724854,0.1681603193283081,0.24374711513519287,0.38115930557250977,0.13984671235084534,0.3017696142196655,0.14350546896457672
being,0.33768191933631897,0.36609646677970886,0.1291019320487976,0.19702647626399994,0.27905046939849854,0.21056878566741943,0.2495356649160385,0.26743772625923157
massively,0.28297463059425354,0.32889363169670105,0.17974255979061127,0.15646958351135254,0.13053585588932037,0.1115947887301445,0.22000016272068024,0.1734902560710907
outgained,0.15460437536239624,0.27254948019981384,0.21308499574661255,0.2904719114303589,0.3479938209056854,0.1766654998064041,0.5026266574859619,0.13968798518180847
in,0.2601168751716614,0.41474202275276184,0.27667245268821716,0.14206624031066895,0.2593238651752472,0.2221570909023285,0.23473112285137177,0.20430970191955566
total,0.22199897468090057,0.2912171483039856,0.9999999403953552,0.26723575592041016,0.14788632094860077,0.1672368049621582,0.22979509830474854,0.14396025240421295
yards,0.1345205456018448,0.13134367763996124,0.26723575592041016,1.0,0.11230118572711945,0.3131333589553833,0.12359755486249924,0.12453813850879669
(,0.1676948219537735,0.1455259770154953,0.2282908409833908,0.15869200229644775,0.18979617953300476,0.23238550126552582,0.2049657702445984,0.40561532974243164
315,-0.09786456823348999,-0.10647132992744446,-0.1374494582414627,-0.06336595863103867,0.07709082961082458,-0.00498051755130291,-0.07333941757678986,-0.017473451793193817
to,0.44169697165489197,0.40243685245513916,0.22792020440101624,0.1612969934940338,0.4452643394470215,0.23706497251987457,0.3898973762989044,0.29463258385658264
194,0.01532113365828991,-0.07381633669137955,-0.017573246732354164,-0.005536893382668495,0.053098853677511215,0.1517724245786667,-0.022888336330652237,0.16584888100624084
),0.17939934134483337,0.16602720320224762,0.2389112114906311,0.17269422113895416,0.18584993481636047,0.2208423912525177,0.19648869335651398,0.42300865054130554
and,0.33647966384887695,0.5296266674995422,0.2520328164100647,0.22108176350593567,0.34479495882987976,0.20625516772270203,0.2497105896472931,0.20544172823429108
first,0.27731001377105713,0.2931244373321533,0.18841083347797394,0.1934249997138977,0.33691170811653137,0.2171352207660675,0.17162758111953735,0.18701928853988647
downs,0.1218646913766861,0.2036919891834259,0.11540348827838898,0.30574682354927063,0.19667908549308777,0.2288353145122528,0.130372554063797,0.13175012171268463
(,0.1676948219537735,0.1455259770154953,0.2282908409833908,0.15869200229644775,0.18979617953300476,0.23238550126552582,0.2049657702445984,0.40561532974243164
21,-0.15702658891677856,-0.08078290522098541,0.12928123772144318,0.11873432993888855,-0.051883723586797714,0.05681973695755005,-0.07039467990398407,-0.01186173316091299
to,0.44169697165489197,0.40243685245513916,0.22792020440101624,0.1612969934940338,0.4452643394470215,0.23706497251987457,0.3898973762989044,0.29463258385658264
11,0.04696422442793846,0.13612139225006104,-0.021287094801664352,-0.03118850663304329,0.07614340633153915,0.02322603203356266,0.06333166360855103,-0.04295448586344719
),0.17939934134483337,0.16602720320224762,0.2389112114906311,0.17269422113895416,0.18584993481636047,0.2208423912525177,0.19648869335651398,0.42300865054130554
.,0.3287222981452942,0.3974229395389557,0.2295650690793991,0.17664551734924316,0.35288307070732117,0.2573630213737488,0.20901274681091309,0.4130953550338745
