,what,is,the,estimated,death,toll,for,polish,civilians,?
polish,0.08233486860990524,0.14989061653614044,0.17708231508731842,0.1081412211060524,0.1473514437675476,0.08916278183460236,0.1262354850769043,1.0,0.21586012840270996,0.14012759923934937
civilian,0.1364547312259674,0.18273413181304932,0.2584705650806427,0.2970813512802124,0.22059667110443115,0.24453356862068176,0.2951269745826721,0.2082204818725586,0.8100212216377258,0.10538440197706223
deaths,0.239221453666687,0.1547122746706009,0.2496282309293747,0.25629669427871704,0.46957987546920776,0.3057078719139099,0.13949622213840485,0.10419349372386932,0.2639608681201935,0.1897452175617218
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.21499647200107574,0.11845523118972778,0.17880181968212128,0.3895993232727051,0.10059056431055069,0.250437468290329,0.24591213464736938
estimated,0.19670580327510834,0.23564131557941437,0.29184040427207947,1.0000001192092896,0.12078696489334106,0.28019770979881287,0.13000595569610596,0.1081412211060524,0.3983254134654999,0.18149758875370026
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.2611149847507477,0.18045911192893982,0.21570929884910583,0.34237727522850037,0.11512238532304764,0.19032618403434753,0.21978627145290375
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.23855513334274292,0.09982093423604965,0.20298618078231812,0.24671313166618347,0.13348110020160675,0.15428748726844788,0.12887074053287506
"150,000",0.13411518931388855,0.06832264363765717,0.0617680624127388,-0.05723002925515175,0.18951041996479034,0.01652459055185318,0.06920107454061508,-0.10662084817886353,-0.054537612944841385,-0.019906021654605865
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.211697056889534,0.1816639006137848,0.18028223514556885,0.5064792633056641,0.2486540973186493,0.2410358488559723,0.20544172823429108
"200,000",-0.016068685799837112,0.09070733189582825,0.11895683407783508,-0.10845088213682175,0.21692538261413574,0.05615120753645897,0.12192418426275253,0.11884711682796478,-0.1847277730703354,-0.020140642300248146
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23778799176216125,0.24631039798259735,0.2250964492559433,0.4726039469242096,0.23422029614448547,0.21970398724079132,0.4130953550338745
