,what,version,of,windows,supported,the,cbs,sports,app,?
cbs,0.1950361132621765,0.19978219270706177,0.16151919960975647,0.22388212382793427,0.14013221859931946,0.2283918708562851,1.0,0.2991391718387604,0.21845018863677979,0.14594407379627228
provided,0.2206064909696579,0.25380417704582214,0.272808313369751,0.17961065471172333,0.40276819467544556,0.304488867521286,0.14336982369422913,0.20946693420410156,0.24270333349704742,0.16893617808818817
digital,0.1757969856262207,0.19640232622623444,0.20011478662490845,0.2400330901145935,0.09691347926855087,0.18361380696296692,0.24499118328094482,0.14077484607696533,0.28904369473457336,0.12982943654060364
streams,0.12328469753265381,0.11281449347734451,0.24870352447032928,0.20918241143226624,0.12978500127792358,0.260405570268631,0.15178711712360382,0.21544215083122253,0.245815247297287,0.1508319228887558
of,0.33290785551071167,0.14166875183582306,1.0,0.1744781881570816,0.30414751172065735,0.733189046382904,0.16151919960975647,0.24392472207546234,0.14500018954277039,0.1826142966747284
the,0.42745697498321533,0.27268242835998535,0.733189046382904,0.23561708629131317,0.27276676893234253,1.0,0.2283918708562851,0.20313861966133118,0.20327165722846985,0.22068053483963013
game,0.2246788740158081,0.2972014248371124,0.2298848181962967,0.30645549297332764,0.09173861891031265,0.285271555185318,0.3367152214050293,0.2906801104545593,0.3152838349342346,0.1829071193933487
via,0.16736915707588196,0.141657754778862,0.1293322592973709,0.1504123955965042,0.21598725020885468,0.23979412019252777,0.08311855792999268,0.14176079630851746,0.23550312221050262,0.19443516433238983
cbssports.com,0.23111073672771454,0.17849881947040558,0.21857066452503204,0.2675124704837799,0.23887696862220764,0.23132777214050293,0.5466516017913818,0.6932064890861511,0.2500198483467102,0.24396127462387085
",",0.3087472915649414,0.2078275829553604,0.4946078956127167,0.21705366671085358,0.2703314423561096,0.4933079481124878,0.18569420278072357,0.2693314254283905,0.2026575654745102,0.31091248989105225
and,0.31309178471565247,0.1978406310081482,0.5116966962814331,0.22030679881572723,0.3113573491573334,0.5171257257461548,0.2054297775030136,0.2629663348197937,0.16792462766170502,0.20544172823429108
the,0.42745697498321533,0.27268242835998535,0.733189046382904,0.23561708629131317,0.27276676893234253,1.0,0.2283918708562851,0.20313861966133118,0.20327165722846985,0.22068053483963013
cbs,0.1950361132621765,0.19978219270706177,0.16151919960975647,0.22388212382793427,0.14013221859931946,0.2283918708562851,1.0,0.2991391718387604,0.21845018863677979,0.14594407379627228
sports,0.13245077431201935,0.08045745640993118,0.24392472207546234,0.16758111119270325,0.15774109959602356,0.20313861966133118,0.2991391718387604,0.9999999403953552,0.12081462144851685,0.04557104781270027
