,when,was,the,deportation,of,acadians,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2056417465209961,0.733189046382904,0.3208988904953003,0.22068053483963013
deportation,0.2156052142381668,0.218438059091568,0.2056417465209961,1.0,0.2163902074098587,0.32637712359428406,0.18810054659843445
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2163902074098587,1.0,0.27771738171577454,0.1826142966747284
acadians,0.16865114867687225,0.17249338328838348,0.3208988904953003,0.32637712359428406,0.27771738171577454,1.0000001192092896,0.12194617837667465
beginning,0.41447868943214417,0.35191401839256287,0.49622642993927,0.16723284125328064,0.36558160185813904,0.28709083795547485,0.19413669407367706
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.20633596181869507,0.5696388483047485,0.21436011791229248,0.20430970191955566
1755,0.037845250219106674,0.1432010382413864,0.15697994828224182,0.3127000033855438,0.1817053258419037,0.2509883940219879,0.1890246421098709
resulted,0.23960529267787933,0.3113420605659485,0.2975946068763733,0.24742473661899567,0.3479447662830353,0.20705538988113403,0.1391388475894928
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.20633596181869507,0.5696388483047485,0.21436011791229248,0.20430970191955566
land,0.20329858362674713,0.23751215636730194,0.28587454557418823,0.18256248533725739,0.3057127296924591,0.2982562780380249,0.1432059109210968
made,0.2936893105506897,0.3433256447315216,0.3885267674922943,0.06254680454730988,0.33167365193367004,0.12023970484733582,0.17218779027462006
available,0.1828819364309311,0.1657772958278656,0.26723232865333557,0.15429341793060303,0.2416580766439438,0.18457892537117004,0.2501629889011383
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.26281479001045227,0.41548454761505127,0.26798632740974426,0.29463258385658264
migrants,0.18632803857326508,0.1474170982837677,0.23934587836265564,0.3177192807197571,0.21704304218292236,0.401713103055954,0.14394989609718323
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.18427607417106628,0.4249346852302551,0.24890294671058655,0.19969791173934937
europe,0.18744638562202454,0.2931758761405945,0.34463706612586975,0.21896807849407196,0.29299741983413696,0.20938895642757416,0.18278923630714417
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.1739526093006134,0.5116966962814331,0.2563720941543579,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,1.0,0.2056417465209961,0.733189046382904,0.3208988904953003,0.22068053483963013
colonies,0.25325432419776917,0.21739500761032104,0.30451729893684387,0.23503166437149048,0.2890703082084656,0.40684017539024353,0.07886616140604019
further,0.2538713812828064,0.16107149422168732,0.32531118392944336,0.14295098185539246,0.24797867238521576,0.1940097063779831,0.20960763096809387
south,0.18115942180156708,0.2792486846446991,0.3129390776157379,0.19885079562664032,0.33382371068000793,0.29605576395988464,0.12336621433496475
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.1945817619562149,0.5352458953857422,0.16570593416690826,0.4130953550338745
