,where,was,the,v,&,a,transferred,to,from,its,original,location,at,marlborough,house,?
the,0.5003893971443176,0.48711544275283813,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.34201255440711975,0.535392165184021,0.40150508284568787,0.559237003326416,0.4037000238895416,0.351087361574173,0.457212895154953,0.246634840965271,0.2847244441509247,0.22068053483963013
v,0.18955472111701965,0.16128918528556824,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.15222661197185516,0.2109750658273697,0.13980557024478912,0.1524200141429901,0.14203913509845734,0.026897236704826355,0.16234125196933746,0.17392583191394806,0.15695612132549286,0.28677162528038025
&,0.08200476318597794,0.12134000658988953,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.18143615126609802,0.1254875510931015,0.14301162958145142,0.11429427564144135,0.13115526735782623,0.017829999327659607,0.12151119112968445,0.24934887886047363,0.1367931067943573,0.12596383690834045
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.26272115111351013,0.45503583550453186,0.322764128446579,0.4424409866333008,0.25438275933265686,0.22079749405384064,0.3095070421695709,0.202244371175766,0.26758551597595215,0.23916715383529663
has,0.32190436124801636,0.40313825011253357,0.4177538752555847,0.07488378137350082,0.1216270700097084,0.4670248031616211,0.15228232741355896,0.3619994819164276,0.2621968984603882,0.4627293348312378,0.26627111434936523,0.19703881442546844,0.2743658423423767,0.12962211668491364,0.1341986507177353,0.15994466841220856
its,0.27530840039253235,0.3518870174884796,0.559237003326416,0.1524200141429901,0.11429427564144135,0.4424409866333008,0.1986836940050125,0.3691340684890747,0.32706040143966675,1.0,0.38020971417427063,0.3105755150318146,0.2685394287109375,0.16298246383666992,0.18528613448143005,0.15103481709957123
origins,0.208313450217247,0.2043774425983429,0.2890577018260956,0.17641711235046387,0.13062849640846252,0.1583317220211029,0.14996415376663208,0.1450413018465042,0.20566615462303162,0.239765465259552,0.4570363461971283,0.16524748504161835,0.09559276700019836,0.14636127650737762,0.17578426003456116,0.1275135576725006
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.34616342186927795,0.45010748505592346,0.4274188280105591,0.3793783485889435,0.2534193694591522,0.3397608697414398,0.4374977946281433,0.24180753529071808,0.20026938617229462,0.20430970191955566
the,0.5003893971443176,0.48711544275283813,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.34201255440711975,0.535392165184021,0.40150508284568787,0.559237003326416,0.4037000238895416,0.351087361574173,0.457212895154953,0.246634840965271,0.2847244441509247,0.22068053483963013
great,0.17954127490520477,0.19652196764945984,0.2822027802467346,0.06902553886175156,0.08465798944234848,0.21836373209953308,0.16688908636569977,0.1880372017621994,0.18041135370731354,0.16369754076004028,0.1201341301202774,0.14709775149822235,0.21875426173210144,0.18406154215335846,0.1829875409603119,0.13135133683681488
