,what,type,of,process,is,the,oxygen,cycle,?
this,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.4155423641204834,0.480927973985672,0.6274310946464539,0.31131085753440857,0.2510433495044708,0.3155723512172699
biogeochemical,0.26934850215911865,0.21958790719509125,0.2871243953704834,0.3485466539859772,0.26437681913375854,0.23502840101718903,0.47898709774017334,0.34096720814704895,0.19834385812282562
cycle,0.17920038104057312,0.16486014425754547,0.255176842212677,0.38962501287460327,0.20626789331436157,0.2701641917228699,0.2879956066608429,1.0000001192092896,0.07156776636838913
describes,0.28796884417533875,0.16164778172969818,0.33623746037483215,0.21766817569732666,0.33745625615119934,0.30593109130859375,0.09102625399827957,0.28379347920417786,0.13134142756462097
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.5823672413825989,1.0,0.20428593456745148,0.2701641917228699,0.22068053483963013
movement,0.23934946954250336,0.13839226961135864,0.2662941515445709,0.2334122657775879,0.20353496074676514,0.339571475982666,0.11622465401887894,0.2348567247390747,0.1423349231481552
of,0.33290785551071167,0.18112817406654358,1.0,0.23962904512882233,0.4854315221309662,0.733189046382904,0.16848602890968323,0.255176842212677,0.1826142966747284
oxygen,0.16781960427761078,0.16191279888153076,0.16848602890968323,0.3080802857875824,0.21825239062309265,0.20428593456745148,0.9999999403953552,0.2879956066608429,0.16786395013332367
within,0.2498195916414261,0.16128505766391754,0.39594778418540955,0.23981508612632751,0.30135563015937805,0.39827480912208557,0.17688089609146118,0.18040014803409576,0.1870293766260147
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.20204883813858032,0.3859752118587494,0.5171257257461548,0.22261030972003937,0.2020994871854782,0.20544172823429108
between,0.2462156116962433,0.13229937851428986,0.3737983703613281,0.19952736794948578,0.26809602975845337,0.39067012071609497,0.1443812996149063,0.1642710119485855,0.12887074053287506
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.2431909292936325,0.4447362422943115,0.559237003326416,0.23293741047382355,0.11801506578922272,0.15103481709957123
three,0.24888746440410614,0.14463180303573608,0.3844621181488037,0.15138737857341766,0.23072560131549835,0.43452659249305725,0.20057295262813568,0.23193049430847168,0.20928427577018738
main,0.2344268560409546,0.19361430406570435,0.3177044689655304,0.11290742456912994,0.3009335994720459,0.38631999492645264,0.13720345497131348,0.17028678953647614,0.1665669083595276
reservoirs,0.1391816884279251,0.16604308784008026,0.2598108947277069,0.1413373202085495,0.2594228684902191,0.26838061213493347,0.20340348780155182,0.17224456369876862,0.12752436101436615
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.19009415805339813,0.3635730445384979,0.5107308030128479,0.2008662223815918,0.14723779261112213,0.2714994251728058
earth,0.25883176922798157,0.07964067161083221,0.2329314798116684,0.16074448823928833,0.26888176798820496,0.2801888585090637,0.3065866231918335,0.2534622848033905,0.17717236280441284
:,-0.12022944539785385,-0.051249612122774124,-0.08807745575904846,-0.06105273216962814,-0.07222653180360794,-0.03403344005346298,-0.038063742220401764,-0.0007793467957526445,-0.07156077772378922
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.5823672413825989,1.0,0.20428593456745148,0.2701641917228699,0.22068053483963013
atmosphere,0.2530241310596466,0.08003394305706024,0.1981431096792221,0.2642692029476166,0.1850086748600006,0.24429655075073242,0.48839667439460754,0.26162341237068176,0.15636961162090302
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2061346471309662,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.16122886538505554,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.5823672413825989,1.0,0.20428593456745148,0.2701641917228699,0.22068053483963013
biosphere,0.20470768213272095,0.1076870858669281,0.2579638361930847,0.21591810882091522,0.270405650138855,0.23578676581382751,0.3454684019088745,0.2637070119380951,0.15510359406471252
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2061346471309662,0.4691906273365021,0.4933079481124878,0.21812842786312103,0.16122886538505554,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.20204883813858032,0.3859752118587494,0.5171257257461548,0.22261030972003937,0.2020994871854782,0.20544172823429108
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.5823672413825989,1.0,0.20428593456745148,0.2701641917228699,0.22068053483963013
lithosphere,0.22349202632904053,0.14105215668678284,0.2557520568370819,0.29194068908691406,0.26867392659187317,0.28085029125213623,0.4960818290710449,0.280102014541626,0.1646844744682312
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23766504228115082,0.4569662809371948,0.5934505462646484,0.2554275095462799,0.19143328070640564,0.4130953550338745
