,a,reaction,against,industrialiazation,contributed,to,the,development,of,what,artistic,movement,in,the,late,19th,century
in,0.539380669593811,0.21261514723300934,0.27273955941200256,0.348215252161026,0.2594258189201355,0.45010748505592346,0.6662389636039734,0.2550492286682129,0.5696388483047485,0.30808621644973755,0.243154376745224,0.26725053787231445,1.0,0.6662389636039734,0.3439198434352875,0.15408828854560852,0.3174034655094147
the,0.5829201340675354,0.2163003534078598,0.3090755045413971,0.36347633600234985,0.2633678913116455,0.535392165184021,1.0,0.3362044394016266,0.733189046382904,0.42745697498321533,0.2456032931804657,0.339571475982666,0.6662389636039734,1.0,0.31481194496154785,0.24964287877082825,0.3617299497127533
later,0.34254932403564453,0.09773841500282288,0.2321832925081253,0.2570227384567261,0.23840543627738953,0.393297016620636,0.4060266613960266,0.22155122458934784,0.3458743393421173,0.2517229914665222,0.22752077877521515,0.16966275870800018,0.40857815742492676,0.4060266613960266,0.5163424611091614,0.19351227581501007,0.3003331124782562
19th,0.200595885515213,0.0889817476272583,0.14170695841312408,0.19542421400547028,0.14940719306468964,0.18742936849594116,0.24964287877082825,0.20265300571918488,0.16605104506015778,0.11525199562311172,0.10092703998088837,0.16473346948623657,0.15408828854560852,0.24964287877082825,0.20935547351837158,1.0,0.25699272751808167
century,0.19417014718055725,0.16886286437511444,0.127406507730484,0.34186601638793945,0.2847384810447693,0.20143604278564453,0.3617299497127533,0.22627972066402435,0.2826060354709625,0.20422613620758057,0.247742161154747,0.281447172164917,0.3174034655094147,0.3617299497127533,0.42292845249176025,0.25699272751808167,1.0
",",0.427140474319458,0.14887474477291107,0.31168749928474426,0.38432538509368896,0.2899704575538635,0.44245919585227966,0.4933079481124878,0.23776917159557343,0.4946078956127167,0.3087472915649414,0.24315963685512543,0.1862073689699173,0.5201468467712402,0.4933079481124878,0.3051932752132416,0.16815264523029327,0.24487493932247162
the,0.5829201340675354,0.2163003534078598,0.3090755045413971,0.36347633600234985,0.2633678913116455,0.535392165184021,1.0,0.3362044394016266,0.733189046382904,0.42745697498321533,0.2456032931804657,0.339571475982666,0.6662389636039734,1.0,0.31481194496154785,0.24964287877082825,0.3617299497127533
increasing,0.2511899173259735,0.28886744379997253,0.2495131641626358,0.38434454798698425,0.36089858412742615,0.35017409920692444,0.34958165884017944,0.2870085537433624,0.3524707853794098,0.2066856026649475,0.2747914791107178,0.3343283236026764,0.2580164670944214,0.34958165884017944,0.22987012565135956,0.16493083536624908,0.2493135780096054
backlash,0.20835821330547333,0.3217626214027405,0.2906661629676819,0.2815660536289215,0.19323517382144928,0.23636743426322937,0.2692379653453827,0.21076293289661407,0.17111513018608093,0.21780739724636078,0.2621980309486389,0.2173888236284256,0.1751181036233902,0.2692379653453827,0.17776896059513092,0.27286115288734436,0.18875445425510406
against,0.2227657586336136,0.14123749732971191,1.0,0.2694554328918457,0.1627504676580429,0.310872346162796,0.3090755045413971,0.12704215943813324,0.2669808566570282,0.24561616778373718,0.1140577420592308,0.23060853779315948,0.27273955941200256,0.3090755045413971,0.14209525287151337,0.14170695841312408,0.127406507730484
