,who,applies,european,union,law,?
european,0.2314588874578476,0.254372239112854,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
union,0.16662479937076569,0.1825864464044571,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.07797172665596008
law,0.21111567318439484,0.32963311672210693,0.17164482176303864,0.19371826946735382,1.0000001192092896,0.1528988480567932
is,0.24293622374534607,0.3432334363460541,0.16083641350269318,0.16997112333774567,0.18597714602947235,0.22961433231830597
applied,0.14906133711338043,0.6910520195960999,0.20982736349105835,0.15848392248153687,0.3741767704486847,0.15585725009441376
by,0.39727845788002014,0.25632208585739136,0.17922990024089813,0.14484883844852448,0.1977037936449051,0.17966607213020325
the,0.3733934462070465,0.2765985429286957,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
courts,0.25162091851234436,0.2669214904308319,0.1762567013502121,0.25711148977279663,0.4104453921318054,0.17759139835834503
of,0.2827862501144409,0.31259071826934814,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
member,0.3046252727508545,0.16308535635471344,0.24138560891151428,0.23030449450016022,0.17515966296195984,0.06826172769069672
states,0.21313154697418213,0.26342064142227173,0.25554242730140686,0.30693942308425903,0.2508668601512909,0.16272737085819244
and,0.41279885172843933,0.30854010581970215,0.24143946170806885,0.2594362497329712,0.254730761051178,0.20544172823429108
the,0.3733934462070465,0.2765985429286957,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
court,0.24532970786094666,0.23766247928142548,0.18487446010112762,0.23186643421649933,0.413828045129776,0.17100423574447632
of,0.2827862501144409,0.31259071826934814,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
justice,0.2339407354593277,0.19120638072490692,0.18444514274597168,0.17461003363132477,0.357088178396225,0.19269752502441406
of,0.2827862501144409,0.31259071826934814,0.2507138252258301,0.2642118036746979,0.2816956341266632,0.1826142966747284
the,0.3733934462070465,0.2765985429286957,0.3423081040382385,0.24421639740467072,0.24548950791358948,0.22068053483963013
european,0.2314588874578476,0.254372239112854,0.9999998807907104,0.3571677803993225,0.17164482176303864,0.14560863375663757
union,0.16662479937076569,0.1825864464044571,0.3571677803993225,0.9999999403953552,0.19371826946735382,0.07797172665596008
.,0.3541337847709656,0.29075032472610474,0.2095622420310974,0.23708370327949524,0.24482665956020355,0.4130953550338745
