,what,is,the,medieval,esteve,pharmacy,used,as,at,present,?
the,0.42745697498321533,0.5823672413825989,1.0,0.28617456555366516,0.2127404510974884,0.1938311904668808,0.3718377649784088,0.48381632566452026,0.457212895154953,0.2829846143722534,0.22068053483963013
medieval,0.2230893075466156,0.22781160473823547,0.28617456555366516,1.0,0.17821700870990753,0.12701667845249176,0.2875947952270508,0.19556987285614014,0.13009031116962433,0.20425909757614136,0.15571735799312592
esteve,0.21406486630439758,0.21781843900680542,0.2127404510974884,0.17821700870990753,1.0000001192092896,0.17118561267852783,0.05219321325421333,0.25771310925483704,0.1927725374698639,0.19342590868473053,0.26205524802207947
pharmacy,0.21638189256191254,0.16101746261119843,0.1938311904668808,0.12701667845249176,0.17118561267852783,1.0,0.16081109642982483,0.16661235690116882,0.2249680757522583,0.12578921020030975,0.1355620175600052
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18470603227615356,0.34095942974090576,0.19815339148044586,0.3120402991771698,0.48816442489624023,0.38314947485923767,0.267320841550827,0.31091248989105225
located,0.2034616470336914,0.35717159509658813,0.407527357339859,0.14176446199417114,0.1523369550704956,0.21698743104934692,0.2383909821510315,0.20928777754306793,0.3688831031322479,0.2052566558122635,0.08983194828033447
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2546980679035187,0.19443367421627045,0.22082467377185822,0.3090210556983948,0.3887844979763031,0.4374977946281433,0.23905439674854279,0.20430970191955566
llívia,0.2623423635959625,0.25966569781303406,0.3515890836715698,0.2734573483467102,0.30366775393486023,0.2864581346511841,0.20948070287704468,0.239399716258049,0.2806249260902405,0.27202633023262024,0.25133901834487915
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18470603227615356,0.34095942974090576,0.19815339148044586,0.3120402991771698,0.48816442489624023,0.38314947485923767,0.267320841550827,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22829298675060272,0.18017560243606567,0.21975059807300568,0.3864384889602661,0.39550232887268066,0.3095070421695709,0.14277903735637665,0.23916715383529663
catalan,0.1432373970746994,0.17221641540527344,0.21102336049079895,0.2450302243232727,0.1691141575574875,0.18547126650810242,0.15703757107257843,0.20472854375839233,0.07919514924287796,0.15103237330913544,0.1886558085680008
enclave,0.132785826921463,0.2926124632358551,0.29555046558380127,0.26155808568000793,0.1463998407125473,0.09674912691116333,0.18330611288547516,0.23487818241119385,0.10435869544744492,0.19722071290016174,0.098110131919384
close,0.23424343764781952,0.26769399642944336,0.2625353932380676,0.14268535375595093,0.19965766370296478,0.13204333186149597,0.1686687469482422,0.22066694498062134,0.27377960085868835,0.1584988832473755,0.1908312737941742
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.1536858230829239,0.1860913634300232,0.1824638396501541,0.40058770775794983,0.42092081904411316,0.36524343490600586,0.2453051209449768,0.29463258385658264
puigcerdà,0.2216046005487442,0.3111497759819031,0.3660118877887726,0.24621932208538055,0.4683796763420105,0.2510700821876526,0.14831002056598663,0.2200341373682022,0.34660661220550537,0.19249771535396576,0.252238929271698
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18470603227615356,0.34095942974090576,0.19815339148044586,0.3120402991771698,0.48816442489624023,0.38314947485923767,0.267320841550827,0.31091248989105225
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.22569681704044342,0.24131295084953308,0.2587379217147827,0.45273035764694214,0.5774298906326294,0.36980849504470825,0.175861194729805,0.21848613023757935
now,0.4903225302696228,0.39589470624923706,0.38266420364379883,0.19458787143230438,0.20076659321784973,0.2329590767621994,0.22874294221401215,0.3483183979988098,0.33692896366119385,0.335774689912796,0.29641881585121155
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22829298675060272,0.18017560243606567,0.21975059807300568,0.3864384889602661,0.39550232887268066,0.3095070421695709,0.14277903735637665,0.23916715383529663
museum,0.1771627515554428,0.18299639225006104,0.24861779808998108,0.14943410456180573,0.11350177973508835,0.19665493071079254,0.15161366760730743,0.15384963154792786,0.23034606873989105,0.1676148623228073,0.14128351211547852
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18470603227615356,0.34095942974090576,0.19815339148044586,0.3120402991771698,0.48816442489624023,0.38314947485923767,0.267320841550827,0.31091248989105225
dates,0.2078574001789093,0.19036540389060974,0.3088380992412567,0.2176084667444229,0.10388536751270294,0.10406460613012314,0.308635413646698,0.2058771699666977,0.24295330047607422,0.17186996340751648,0.2331625074148178
back,0.2965294420719147,0.20263513922691345,0.3612101674079895,0.1881912350654602,0.16998551785945892,0.17202278971672058,0.2167888581752777,0.23222434520721436,0.2632777690887451,0.22227466106414795,0.2397768795490265
