,what,show,is,considered,the,best,drama,that,the,bbc,has,ever,produced,?
in,0.30808621644973755,0.27595704793930054,0.5394441485404968,0.28591203689575195,0.6662389636039734,0.2813531160354614,0.24534137547016144,0.435920387506485,0.6662389636039734,0.22430340945720673,0.4173259735107422,0.31014615297317505,0.2542861998081207,0.20430970191955566
1996,0.1822642683982849,-0.03857097774744034,0.01728738658130169,0.12506183981895447,0.10029517859220505,0.07338700443506241,0.11678370833396912,0.10701006650924683,0.10029517859220505,0.06447122246026993,0.043673302978277206,0.11105196177959442,-0.11137332022190094,0.18022380769252777
",",0.3087472915649414,0.31928569078445435,0.4691906273365021,0.32932984828948975,0.4933079481124878,0.3461092710494995,0.240437850356102,0.4137537479400635,0.4933079481124878,0.14724469184875488,0.3734780251979828,0.2519058883190155,0.22260788083076477,0.31091248989105225
bbc,0.20634698867797852,0.33555880188941956,0.19024956226348877,0.06607107073068619,0.2735401690006256,0.20690324902534485,0.29743310809135437,0.22032664716243744,0.2735401690006256,1.0000001192092896,0.1988421231508255,0.2321632355451584,0.2725476324558258,0.20556949079036713
television,0.19838058948516846,0.5277389287948608,0.21374565362930298,0.14308030903339386,0.24569597840309143,0.28448715806007385,0.4801269471645355,0.21588699519634247,0.24569597840309143,0.48650142550468445,0.19236408174037933,0.21403832733631134,0.2796446681022644,0.16825827956199646
held,0.0974166989326477,0.17459554970264435,0.19884860515594482,0.2591264545917511,0.32185450196266174,0.1475585699081421,0.05180927366018295,0.224154531955719,0.32185450196266174,0.1753990650177002,0.20941133797168732,0.24098435044288635,0.26008233428001404,0.14103956520557404
the,0.42745697498321533,0.319829523563385,0.5823672413825989,0.4028765559196472,1.0,0.3134109377861023,0.2408958077430725,0.5473989248275757,1.0,0.2735401690006256,0.4177538752555847,0.3474041819572449,0.22045251727104187,0.22068053483963013
``,0.008517155423760414,0.015512588433921337,0.058766357600688934,0.06466352939605713,0.029072100296616554,-0.05679536238312721,-0.04820840805768967,0.05285148695111275,0.029072100296616554,-0.13304466009140015,0.06254398077726364,0.0008641238673590124,-0.12914173305034637,0.0685480609536171
auntie,0.24543289840221405,0.19593937695026398,0.13579198718070984,0.06054794415831566,0.13985371589660645,0.23049074411392212,0.3051145076751709,0.1925361305475235,0.13985371589660645,0.27650439739227295,0.126583069562912,0.17715024948120117,0.11476309597492218,0.19650574028491974
awards,0.1704339236021042,0.2456497997045517,0.1599911004304886,0.21240459382534027,0.22946466505527496,0.48694908618927,0.3189375102519989,0.17867130041122437,0.22946466505527496,0.3049861788749695,0.2708130478858948,0.2743319272994995,0.20114979147911072,0.2122269868850708
