,which,theorem,can,be,simplified,to,the,lasker–noether,theorem,?
the,0.6521818041801453,0.18430666625499725,0.312528520822525,0.4248143136501312,0.23170500993728638,0.535392165184021,1.0,0.31901615858078003,0.18430666625499725,0.22068053483963013
prime,0.1615363508462906,0.3795034885406494,0.1305878609418869,0.14576895534992218,0.10533632338047028,0.2015804797410965,0.19960100948810577,0.17658965289592743,0.3795034885406494,0.11276303976774216
ideals,0.27230361104011536,0.26174986362457275,0.15182305872440338,0.24891766905784607,0.2095065414905548,0.2979855537414551,0.3200533390045166,0.36937057971954346,0.26174986362457275,0.05933374539017677
of,0.5011631846427917,0.18068012595176697,0.2603091299533844,0.33904364705085754,0.20794086158275604,0.41548454761505127,0.733189046382904,0.2926178276538849,0.18068012595176697,0.1826142966747284
the,0.6521818041801453,0.18430666625499725,0.312528520822525,0.4248143136501312,0.23170500993728638,0.535392165184021,1.0,0.31901615858078003,0.18430666625499725,0.22068053483963013
ring,0.2805452048778534,0.212384894490242,0.10071364045143127,0.11801038682460785,0.1144159734249115,0.20997555553913116,0.2354331910610199,0.27510347962379456,0.212384894490242,0.054174330085515976
of,0.5011631846427917,0.18068012595176697,0.2603091299533844,0.33904364705085754,0.20794086158275604,0.41548454761505127,0.733189046382904,0.2926178276538849,0.18068012595176697,0.1826142966747284
integers,0.28403139114379883,0.5183406472206116,0.33596161007881165,0.28398826718330383,0.25798001885414124,0.22159059345722198,0.179725781083107,0.30523353815078735,0.5183406472206116,0.2591196596622467
are,0.42922598123550415,0.16171972453594208,0.5408529043197632,0.5556803941726685,0.24374189972877502,0.3504326641559601,0.40399202704429626,0.27274274826049805,0.16171972453594208,0.24591213464736938
the,0.6521818041801453,0.18430666625499725,0.312528520822525,0.4248143136501312,0.23170500993728638,0.535392165184021,1.0,0.31901615858078003,0.18430666625499725,0.22068053483963013
ideals,0.27230361104011536,0.26174986362457275,0.15182305872440338,0.24891766905784607,0.2095065414905548,0.2979855537414551,0.3200533390045166,0.36937057971954346,0.26174986362457275,0.05933374539017677
(,0.2589828372001648,0.16467396914958954,0.22726960480213165,0.2349044382572174,0.22488953173160553,0.30882009863853455,0.33289089798927307,0.2513144016265869,0.16467396914958954,0.40561532974243164
0,0.03504796698689461,-0.0023445908445864916,-0.039844810962677,0.059845130890607834,-0.04090598598122597,0.03345681354403496,0.06647186726331711,-0.02844524011015892,-0.0023445908445864916,0.0436553880572319
),0.2758678197860718,0.16883030533790588,0.23216170072555542,0.24578070640563965,0.24957051873207092,0.31236231327056885,0.3456730246543884,0.27573302388191223,0.16883030533790588,0.42300865054130554
",",0.3658004403114319,0.16003508865833282,0.3139454126358032,0.39254459738731384,0.21899165213108063,0.44245919585227966,0.4933079481124878,0.3656880259513855,0.16003508865833282,0.31091248989105225
(,0.2589828372001648,0.16467396914958954,0.22726960480213165,0.2349044382572174,0.22488953173160553,0.30882009863853455,0.33289089798927307,0.2513144016265869,0.16467396914958954,0.40561532974243164
2,-0.044377245008945465,-0.008989349938929081,0.01035431306809187,0.02104739472270012,0.05866727605462074,-0.0836251974105835,-0.019434669986367226,-0.058884602040052414,-0.008989349938929081,0.001977203879505396
),0.2758678197860718,0.16883030533790588,0.23216170072555542,0.24578070640563965,0.24957051873207092,0.31236231327056885,0.3456730246543884,0.27573302388191223,0.16883030533790588,0.42300865054130554
",",0.3658004403114319,0.16003508865833282,0.3139454126358032,0.39254459738731384,0.21899165213108063,0.44245919585227966,0.4933079481124878,0.3656880259513855,0.16003508865833282,0.31091248989105225
(,0.2589828372001648,0.16467396914958954,0.22726960480213165,0.2349044382572174,0.22488953173160553,0.30882009863853455,0.33289089798927307,0.2513144016265869,0.16467396914958954,0.40561532974243164
3,0.07841135561466217,-0.046107083559036255,0.1026974618434906,0.13293789327144623,0.002798233414068818,0.09797177463769913,0.06283142417669296,0.05411401763558388,-0.046107083559036255,0.005975271109491587
),0.2758678197860718,0.16883030533790588,0.23216170072555542,0.24578070640563965,0.24957051873207092,0.31236231327056885,0.3456730246543884,0.27573302388191223,0.16883030533790588,0.42300865054130554
",",0.3658004403114319,0.16003508865833282,0.3139454126358032,0.39254459738731384,0.21899165213108063,0.44245919585227966,0.4933079481124878,0.3656880259513855,0.16003508865833282,0.31091248989105225
(,0.2589828372001648,0.16467396914958954,0.22726960480213165,0.2349044382572174,0.22488953173160553,0.30882009863853455,0.33289089798927307,0.2513144016265869,0.16467396914958954,0.40561532974243164
5,0.13955213129520416,0.034976083785295486,0.04859470576047897,0.0338023342192173,0.08360839635133743,0.03588335961103439,0.09255307912826538,0.05301425978541374,0.034976083785295486,0.06222071498632431
),0.2758678197860718,0.16883030533790588,0.23216170072555542,0.24578070640563965,0.24957051873207092,0.31236231327056885,0.3456730246543884,0.27573302388191223,0.16883030533790588,0.42300865054130554
",",0.3658004403114319,0.16003508865833282,0.3139454126358032,0.39254459738731384,0.21899165213108063,0.44245919585227966,0.4933079481124878,0.3656880259513855,0.16003508865833282,0.31091248989105225
