,what,event,happened,66,million,years,ago,?
a,0.3320399522781372,0.2635729908943176,0.2774496078491211,-0.023009857162833214,0.1811940222978592,0.23773819208145142,0.2420414835214615,0.23916715383529663
recent,0.24256184697151184,0.247921422123909,0.33265259861946106,-0.03700198605656624,0.28606754541397095,0.323293000459671,0.3563215136528015,0.2544887959957123
molecular,0.20577901601791382,0.18189413845539093,0.10005740076303482,-0.022384293377399445,0.14722131192684174,0.20336060225963593,0.18771663308143616,0.1327144205570221
phylogenetics,0.22954505681991577,0.16514743864536285,0.1200796440243721,-0.006686538457870483,0.1255376935005188,0.17840276658535004,0.21508358418941498,0.2129790335893631
analysis,0.2842639982700348,0.19767260551452637,0.1702929139137268,-0.05428062379360199,0.17823530733585358,0.156134694814682,0.17808106541633606,0.15352053940296173
concluded,0.29084116220474243,0.2831798195838928,0.3351345658302307,0.0792042538523674,0.2087121158838272,0.23438450694084167,0.2346402406692505,0.13595789670944214
that,0.6297725439071655,0.3453879952430725,0.4226365387439728,-0.041402418166399,0.2637370228767395,0.27599525451660156,0.3563132584095001,0.32716336846351624
the,0.42745697498321533,0.2960145175457001,0.3589572608470917,-0.01815365068614483,0.277012437582016,0.2912273406982422,0.23063679039478302,0.22068053483963013
common,0.19989867508411407,0.12428268045186996,0.21699155867099762,-0.03434522822499275,0.19850577414035797,0.16303673386573792,0.23645959794521332,0.20434872806072235
ancestor,0.16140799224376678,0.16446277499198914,0.16089685261249542,-0.05062010511755943,0.2239946871995926,0.2603677213191986,0.3019838333129883,0.14805565774440765
of,0.33290785551071167,0.19878064095973969,0.30501094460487366,-0.032907720655202866,0.21686489880084991,0.2904134690761566,0.20083805918693542,0.1826142966747284
all,0.41981086134910583,0.15084823966026306,0.2887631356716156,-0.15395882725715637,0.2725503742694855,0.26454147696495056,0.2393430769443512,0.29575422406196594
modern,0.2655639946460724,0.10769286751747131,0.2080761194229126,0.006877894047647715,0.24746330082416534,0.18850623071193695,0.2280479520559311,0.12475407868623734
ctenophores,0.2505159080028534,0.17438863217830658,0.14699026942253113,-0.01492546871304512,0.16278836131095886,0.1858815997838974,0.26151517033576965,0.2054179310798645
was,0.22111038863658905,0.28341150283813477,0.36671528220176697,0.03211304172873497,0.24203833937644958,0.35855233669281006,0.24615181982517242,0.18412111699581146
cydippid-like,0.3179476261138916,0.20479460060596466,0.30609846115112305,-0.0013273442164063454,0.22228452563285828,0.29959240555763245,0.3357928395271301,0.26385825872421265
",",0.3087472915649414,0.22701776027679443,0.3230119049549103,0.025052668526768684,0.24451690912246704,0.2589467465877533,0.26431804895401,0.31091248989105225
and,0.31309178471565247,0.17869816720485687,0.22602374851703644,-0.01843772828578949,0.22906863689422607,0.300204873085022,0.21609124541282654,0.20544172823429108
