,what,naval,battles,did,france,lose,in,1759,?
the,0.42745697498321533,0.25506526231765747,0.32478782534599304,0.34736719727516174,0.35517507791519165,0.29030492901802063,0.6662389636039734,0.15739603340625763,0.22068053483963013
invasion,0.22275975346565247,0.3085971474647522,0.42612865567207336,0.1800924837589264,0.25104019045829773,0.16805505752563477,0.2543354034423828,0.03608366474509239,0.18923960626125336
failed,0.26093074679374695,0.15707243978977203,0.2373807430267334,0.5037672519683838,0.18459483981132507,0.27969443798065186,0.21989236772060394,0.11382947117090225,0.16487033665180206
both,0.3361809551715851,0.16996809840202332,0.2391337752342224,0.34255191683769226,0.24870210886001587,0.24109211564064026,0.3960166871547699,0.11019769310951233,0.19455738365650177
militarily,0.2667091488838196,0.3977302014827728,0.39140215516090393,0.2178320437669754,0.22268907725811005,0.1423477679491043,0.1487167477607727,0.04482005536556244,0.18128228187561035
and,0.31309178471565247,0.24800513684749603,0.2621462643146515,0.34479495882987976,0.2925812005996704,0.3096105754375458,0.4954058527946472,0.12441553920507431,0.20544172823429108
politically,0.1967483013868332,0.1807771772146225,0.22599230706691742,0.18786154687404633,0.21008290350437164,0.17130330204963684,0.21497145295143127,0.10697277635335922,0.14733245968818665
",",0.3087472915649414,0.21220709383487701,0.25755053758621216,0.3015086054801941,0.28250643610954285,0.28248098492622375,0.5201468467712402,0.16731557250022888,0.31091248989105225
as,0.31749409437179565,0.19755497574806213,0.1707524061203003,0.3596470057964325,0.19034622609615326,0.23273169994354248,0.3887844979763031,0.087465800344944,0.27043893933296204
pitt,0.15178920328617096,0.16463398933410645,0.13220834732055664,0.13446180522441864,0.29252171516418457,0.16822879016399384,0.2730093002319336,0.15475940704345703,0.13721784949302673
again,0.3921525180339813,0.1052839532494545,0.22331373393535614,0.35250324010849,0.25022298097610474,0.33675575256347656,0.3318929970264435,0.18728481233119965,0.2679590880870819
planned,0.21141068637371063,0.19369816780090332,0.19204536080360413,0.3708326518535614,0.22055664658546448,0.06945968419313431,0.2658644914627075,0.1617787480354309,0.16188396513462067
significant,0.24268144369125366,0.1573387235403061,0.2233664095401764,0.25824496150016785,0.1320868879556656,0.21395613253116608,0.3551969528198242,0.08770010620355606,0.18679562211036682
campaigns,0.20698273181915283,0.2506045997142792,0.48287075757980347,0.19866736233234406,0.22836315631866455,0.16174820065498352,0.26681122183799744,0.11163347214460373,0.13006390631198883
against,0.24561616778373718,0.16967283189296722,0.2936786711215973,0.22514554858207703,0.13826583325862885,0.3100263178348541,0.27273955941200256,0.04812268912792206,0.18095137178897858
new,0.2130378633737564,0.1707439124584198,0.18537823855876923,0.227974995970726,0.2269197404384613,0.20466572046279907,0.3758552670478821,0.07189343869686127,0.14782847464084625
france,0.17793065309524536,0.1972474455833435,0.287609726190567,0.2138325721025467,1.0000001192092896,0.1079939752817154,0.3812309503555298,0.294570654630661,0.15069349110126495
",",0.3087472915649414,0.21220709383487701,0.25755053758621216,0.3015086054801941,0.28250643610954285,0.28248098492622375,0.5201468467712402,0.16731557250022888,0.31091248989105225
and,0.31309178471565247,0.24800513684749603,0.2621462643146515,0.34479495882987976,0.2925812005996704,0.3096105754375458,0.4954058527946472,0.12441553920507431,0.20544172823429108
sent,0.19595611095428467,0.2377360761165619,0.2148408144712448,0.3411059081554413,0.1701512634754181,0.12566779553890228,0.25609636306762695,0.08666194975376129,0.10903520882129669
funds,0.15644897520542145,0.19832387566566467,0.1518259048461914,0.21259962022304535,0.20333698391914368,0.16251033544540405,0.20235127210617065,0.14881493151187897,0.12731410562992096
to,0.455847829580307,0.21798072755336761,0.2124963253736496,0.4452643394470215,0.2670897841453552,0.33073529601097107,0.45010748505592346,0.1172412559390068,0.29463258385658264
britain,0.24206450581550598,0.25614988803863525,0.2829655706882477,0.23567047715187073,0.41256818175315857,0.1614561527967453,0.26246872544288635,0.0014039396774023771,0.1268460750579834
's,0.02692362666130066,-0.05749930441379547,0.05331234633922577,0.05069678649306297,0.024341266602277756,-0.0038217944093048573,-0.037580832839012146,0.02533133514225483,-0.023395681753754616
ally,0.1712556630373001,0.1968211531639099,0.3048604130744934,0.20482929050922394,0.19790209829807281,0.1298169195652008,0.16974596679210663,0.028064101934432983,0.10381226241588593
on,0.34226128458976746,0.1555357724428177,0.2026062309741974,0.2670976221561432,0.2042606770992279,0.22867318987846375,0.46853652596473694,0.10311805456876755,0.2714994251728058
the,0.42745697498321533,0.25506526231765747,0.32478782534599304,0.34736719727516174,0.35517507791519165,0.29030492901802063,0.6662389636039734,0.15739603340625763,0.22068053483963013
mainland,0.18151205778121948,0.30299919843673706,0.23899373412132263,0.182726189494133,0.23043158650398254,0.09256849437952042,0.21539314091205597,0.061967432498931885,0.1326279491186142
",",0.3087472915649414,0.21220709383487701,0.25755053758621216,0.3015086054801941,0.28250643610954285,0.28248098492622375,0.5201468467712402,0.16731557250022888,0.31091248989105225
prussia,0.19015008211135864,0.2715878188610077,0.3108731508255005,0.1611667275428772,0.4247954189777374,0.17833127081394196,0.25057199597358704,0.12931059300899506,0.09988865256309509
",",0.3087472915649414,0.21220709383487701,0.25755053758621216,0.3015086054801941,0.28250643610954285,0.28248098492622375,0.5201468467712402,0.16731557250022888,0.31091248989105225
and,0.31309178471565247,0.24800513684749603,0.2621462643146515,0.34479495882987976,0.2925812005996704,0.3096105754375458,0.4954058527946472,0.12441553920507431,0.20544172823429108
the,0.42745697498321533,0.25506526231765747,0.32478782534599304,0.34736719727516174,0.35517507791519165,0.29030492901802063,0.6662389636039734,0.15739603340625763,0.22068053483963013
french,0.17393042147159576,0.22066450119018555,0.18328310549259186,0.1584041714668274,0.5492131114006042,0.0676342025399208,0.22093388438224792,0.2195672243833542,0.1386883556842804
navy,0.1196848452091217,0.7347320914268494,0.3788159191608429,0.17388595640659332,0.205252006649971,0.11257344484329224,0.19222377240657806,0.04955237731337547,0.10414517670869827
failed,0.26093074679374695,0.15707243978977203,0.2373807430267334,0.5037672519683838,0.18459483981132507,0.27969443798065186,0.21989236772060394,0.11382947117090225,0.16487033665180206
in,0.30808621644973755,0.2151644080877304,0.3188844323158264,0.2593238651752472,0.3812309503555298,0.26334479451179504,1.0,0.1598404347896576,0.20430970191955566
the,0.42745697498321533,0.25506526231765747,0.32478782534599304,0.34736719727516174,0.35517507791519165,0.29030492901802063,0.6662389636039734,0.15739603340625763,0.22068053483963013
