,which,french,kind,issued,this,declaration,?
they,0.5165667533874512,0.1999853253364563,0.29935595393180847,0.181691512465477,0.4273154139518738,0.12161906063556671,0.2753053903579712
retained,0.2458307296037674,0.12728740274906158,0.09594091773033142,0.23836563527584076,0.2610626220703125,0.18457525968551636,0.0590956024825573
the,0.6521818041801453,0.2555147111415863,0.2516445517539978,0.22837360203266144,0.6274310946464539,0.28377723693847656,0.22068053483963013
religious,0.23757514357566833,0.19798971712589264,0.19009792804718018,0.19300752878189087,0.2454339861869812,0.33669334650039673,0.15727058053016663
provisions,0.3190610408782959,0.18031425774097443,0.1669357419013977,0.3476563096046448,0.28287479281425476,0.39313292503356934,0.22902937233448029
of,0.5011631846427917,0.19450366497039795,0.2285657674074173,0.2873246371746063,0.45148900151252747,0.3193452060222626,0.1826142966747284
the,0.6521818041801453,0.2555147111415863,0.2516445517539978,0.22837360203266144,0.6274310946464539,0.28377723693847656,0.22068053483963013
edict,0.20482130348682404,0.17803849279880524,0.020858153700828552,0.30887192487716675,0.2323581576347351,0.3241495192050934,0.16218337416648865
of,0.5011631846427917,0.19450366497039795,0.2285657674074173,0.2873246371746063,0.45148900151252747,0.3193452060222626,0.1826142966747284
nantes,0.20266655087471008,0.404360294342041,0.004947580862790346,0.1355273723602295,0.197783425450325,0.22294487059116364,0.15215469896793365
until,0.2778668999671936,0.17802055180072784,0.08819688856601715,0.19384467601776123,0.27892377972602844,0.20244832336902618,0.20304496586322784
the,0.6521818041801453,0.2555147111415863,0.2516445517539978,0.22837360203266144,0.6274310946464539,0.28377723693847656,0.22068053483963013
rule,0.2832747995853424,0.15704713761806488,0.17272524535655975,0.1806805580854416,0.31583675742149353,0.331404447555542,0.1955260932445526
of,0.5011631846427917,0.19450366497039795,0.2285657674074173,0.2873246371746063,0.45148900151252747,0.3193452060222626,0.1826142966747284
louis,0.14282557368278503,0.4014277458190918,0.13748572766780853,0.17395462095737457,0.16314831376075745,0.21717476844787598,0.09819188714027405
xiv,0.17590929567813873,0.28597086668014526,0.10517851263284683,0.2418362945318222,0.2051803469657898,0.2548576891422272,0.19533176720142365
",",0.3658004403114319,0.28806620836257935,0.20629581809043884,0.21577242016792297,0.4316047728061676,0.264011949300766,0.31091248989105225
who,0.3688730001449585,0.2756427824497223,0.2356749325990677,0.13050927221775055,0.3345087468624115,0.1931333839893341,0.26220351457595825
progressively,0.3578174412250519,0.10329126566648483,0.19022168219089508,0.07450255751609802,0.27904826402664185,0.08695333451032639,0.11113753914833069
increased,0.3345912992954254,0.08259110152721405,0.1598934382200241,0.25605636835098267,0.30607330799102783,0.12865769863128662,0.09587585180997849
persecution,0.24654008448123932,0.1873524785041809,0.1370246559381485,0.2881179749965668,0.28924643993377686,0.3616374433040619,0.16299931704998016
of,0.5011631846427917,0.19450366497039795,0.2285657674074173,0.2873246371746063,0.45148900151252747,0.3193452060222626,0.1826142966747284
them,0.4958057701587677,0.194777712225914,0.30867335200309753,0.17989058792591095,0.5015315413475037,0.17990002036094666,0.35435691475868225
until,0.2778668999671936,0.17802055180072784,0.08819688856601715,0.19384467601776123,0.27892377972602844,0.20244832336902618,0.20304496586322784
he,0.3415409028530121,0.24281810224056244,0.21554844081401825,0.19458691775798798,0.3176022469997406,0.223344624042511,0.2089974731206894
