,after,2007,how,much,do,student,from,families,earning,less,than,$,"60,000",pay,for,school,?
beginning,0.4301009774208069,-0.19362543523311615,0.32424792647361755,0.25950881838798523,0.1801144778728485,0.18252664804458618,0.34789925813674927,0.20512083172798157,0.24547836184501648,0.23719985783100128,0.1981387734413147,0.18276208639144897,0.0027645144145935774,0.13087956607341766,0.2987837791442871,0.13421715795993805,0.19413669407367706
2007,-0.21474003791809082,1.0,-0.09095048904418945,-0.12395793944597244,-0.08542926609516144,-0.16754551231861115,-0.13366085290908813,-0.2028869092464447,-0.16780251264572144,-0.05421999841928482,-0.12367857247591019,-0.04694612696766853,-0.012873899191617966,-0.14389677345752716,-0.15897968411445618,-0.15004359185695648,-0.1664225310087204
",",0.38860568404197693,-0.24049624800682068,0.22659391164779663,0.36182254552841187,0.3283645510673523,0.2261858433485031,0.39760664105415344,0.2466374635696411,0.2609005570411682,0.28111666440963745,0.3371901512145996,0.21166811883449554,0.024645335972309113,0.18754567205905914,0.4464869201183319,0.27141863107681274,0.31091248989105225
families,0.14965878427028656,-0.2028869092464447,0.2066461592912674,0.1614340990781784,0.1890043318271637,0.12090200930833817,0.1680830866098404,1.0,0.17633114755153656,0.19468827545642853,0.22407111525535583,0.2162991464138031,-0.2443852573633194,0.2624286413192749,0.19045168161392212,0.18200348317623138,0.14422203600406647
with,0.33843478560447693,-0.10512185841798782,0.3525622487068176,0.2808258831501007,0.23744353652000427,0.1580762416124344,0.26272761821746826,0.2121099829673767,0.26989346742630005,0.30557194352149963,0.3028803765773773,0.18037788569927216,-0.05396578833460808,0.18971611559391022,0.39140474796295166,0.13135014474391937,0.2433311939239502
incomes,0.12805534899234772,-0.18773998320102692,0.2775574028491974,0.2876250147819519,0.1735703945159912,0.2626150846481323,0.22885927557945251,0.3809486925601959,0.40735718607902527,0.3450925946235657,0.2918885052204132,0.4724098742008209,-0.1899041086435318,0.3686826825141907,0.29778382182121277,0.24913331866264343,0.1867215484380722
below,0.1540263146162033,-0.09574656188488007,0.24092493951320648,0.22135446965694427,0.20427533984184265,0.07834375649690628,0.19131268560886383,0.20776847004890442,0.13314059376716614,0.24003803730010986,0.3642770051956177,0.15674102306365967,0.07375723868608475,0.12370163947343826,0.24234074354171753,0.09338218718767166,0.17692236602306366
$,0.1957477480173111,-0.04694612696766853,0.18718640506267548,0.205519899725914,0.14754830300807953,0.17368033528327942,0.10954198986291885,0.2162991464138031,0.4390912353992462,0.19172826409339905,0.25895461440086365,1.0000001192092896,-0.07817232608795166,0.42342352867126465,0.22711659967899323,0.18588410317897797,0.2786129117012024
"60,000",0.16364941000938416,-0.012873899191617966,-0.03585689514875412,-0.16812030971050262,-0.05960788577795029,0.0005770192947238684,0.03825803101062775,-0.2443852573633194,-0.03449275344610214,-0.17687395215034485,-0.19135725498199463,-0.07817232608795166,1.0,-0.06888844817876816,0.012865621596574783,0.03068295679986477,0.017969369888305664
pay,0.17254051566123962,-0.14389677345752716,0.2167845517396927,0.2502187192440033,0.2897719740867615,0.2571534812450409,0.19024398922920227,0.2624286413192749,0.3550249934196472,0.21280670166015625,0.20565348863601685,0.42342352867126465,-0.06888844817876816,1.0,0.24382255971431732,0.16444894671440125,0.19821009039878845
nothing,0.21480193734169006,-0.21140137314796448,0.41628697514533997,0.4446030855178833,0.37781670689582825,0.16116538643836975,0.19853045046329498,0.11904028803110123,0.1978878229856491,0.37082958221435547,0.3678394854068756,0.265213280916214,-0.0877811461687088,0.2062290608882904,0.2799288034439087,0.17082922160625458,0.4541490972042084
