,how,much,of,the,indulgences,went,to,rome,?
as,0.33782753348350525,0.36514025926589966,0.3886612355709076,0.48381632566452026,0.20623062551021576,0.21750199794769287,0.42092081904411316,0.20128996670246124,0.27043893933296204
luther,0.13354721665382385,0.11529979854822159,0.1719115972518921,0.1759674996137619,0.35804522037506104,0.16118715703487396,0.18029534816741943,0.17510516941547394,0.1732746809720993
later,0.2534695267677307,0.2834562659263611,0.3458743393421173,0.4060266613960266,0.2057572603225708,0.4236452579498291,0.393297016620636,0.25737085938453674,0.1417175978422165
noted,0.13036540150642395,0.25301069021224976,0.23399871587753296,0.248806893825531,0.22308337688446045,0.19197672605514526,0.18737518787384033,0.1122296079993248,0.13014346361160278
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.21256935596466064,0.29013195633888245,0.44245919585227966,0.2507072985172272,0.31091248989105225
``,-0.01591024175286293,0.02682921104133129,0.06780257821083069,0.029072100296616554,0.02252567745745182,-0.038044992834329605,0.06720756739377975,0.10095200687646866,0.0685480609536171
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24909545481204987,0.3345835506916046,0.535392165184021,0.2399049997329712,0.22068053483963013
pope,0.15372245013713837,0.15466712415218353,0.23057007789611816,0.2285010814666748,0.39285823702812195,0.13647161424160004,0.25680112838745117,0.5128329396247864,0.25004681944847107
had,0.2549138069152832,0.31141290068626404,0.37755560874938965,0.3875846862792969,0.22122721374034882,0.4485461115837097,0.37984350323677063,0.2583032250404358,0.20728366076946259
a,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.5829201340675354,0.20999303460121155,0.24972176551818848,0.45503583550453186,0.1662207841873169,0.23916715383529663
finger,0.2629193663597107,0.1829380989074707,0.15458138287067413,0.21142108738422394,0.19908566772937775,0.1059887558221817,0.24486812949180603,0.0692567378282547,0.18014824390411377
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.18559019267559052,0.30470821261405945,0.45010748505592346,0.25722408294677734,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24909545481204987,0.3345835506916046,0.535392165184021,0.2399049997329712,0.22068053483963013
pie,0.17435190081596375,0.07080905139446259,0.22902724146842957,0.20594844222068787,0.2125040590763092,0.06070272997021675,0.13614751398563385,0.07124405354261398,0.12862344086170197
as,0.33782753348350525,0.36514025926589966,0.3886612355709076,0.48381632566452026,0.20623062551021576,0.21750199794769287,0.42092081904411316,0.20128996670246124,0.27043893933296204
well,0.410734087228775,0.44768765568733215,0.3343164324760437,0.42630070447921753,0.213588684797287,0.30192190408706665,0.3422003388404846,0.1552494615316391,0.24815571308135986
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.21256935596466064,0.29013195633888245,0.44245919585227966,0.2507072985172272,0.31091248989105225
because,0.48179173469543457,0.5250074863433838,0.4075504541397095,0.44596394896507263,0.26748397946357727,0.24331523478031158,0.5166091918945312,0.18324677646160126,0.2528740465641022
one,0.3213292360305786,0.3110751807689667,0.4999135136604309,0.5514441132545471,0.13498549163341522,0.25320643186569214,0.4025384783744812,0.14703887701034546,0.2673267424106598
half,0.19052551686763763,0.31262141466140747,0.2784358561038971,0.3189295828342438,0.12733730673789978,0.147070974111557,0.21248666942119598,0.0360848605632782,0.07471233606338501
was,0.16678167879581451,0.2580166161060333,0.4069072902202606,0.48711544275283813,0.19507549703121185,0.49310487508773804,0.3636345863342285,0.2939697206020355,0.18412111699581146
to,0.44169697165489197,0.40610215067863464,0.41548454761505127,0.535392165184021,0.2608080208301544,0.33234721422195435,1.0,0.27313151955604553,0.29463258385658264
go,0.2829282581806183,0.2665551006793976,0.21881330013275146,0.29801803827285767,0.15357190370559692,0.5282619595527649,0.384844571352005,0.2153574526309967,0.25942572951316833
to,0.44169697165489197,0.40610215067863464,0.41548454761505127,0.535392165184021,0.2608080208301544,0.33234721422195435,1.0,0.27313151955604553,0.29463258385658264
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.24909545481204987,0.3345835506916046,0.535392165184021,0.2399049997329712,0.22068053483963013
building,0.19448791444301605,0.2289905697107315,0.26200541853904724,0.3159640431404114,0.16216585040092468,0.12014215439558029,0.2658686637878418,0.2187737375497818,0.13549931347370148
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.28176620602607727,0.2527906000614166,0.41548454761505127,0.21705909073352814,0.1826142966747284
st,0.12344545125961304,0.13319097459316254,0.2636793851852417,0.27966225147247314,0.19467677175998688,0.2569827735424042,0.21034306287765503,0.20242729783058167,0.13298600912094116
peter,0.1305183321237564,0.15597429871559143,0.14779731631278992,0.24086274206638336,0.1786353886127472,0.21939124166965485,0.18197166919708252,0.2533514201641083,0.11650477349758148
's,-0.026164190843701363,0.06731651723384857,-0.03817026689648628,-0.01540423184633255,0.009167968295514584,0.0411166250705719,0.03782717138528824,0.06247852370142937,-0.023395681753754616
church,0.10719848424196243,0.1807207316160202,0.3079429268836975,0.23846197128295898,0.4724566638469696,0.1636131852865219,0.24439501762390137,0.3353274464607239,0.18081501126289368
in,0.2601168751716614,0.2725222110748291,0.5696388483047485,0.6662389636039734,0.18559019267559052,0.30470821261405945,0.45010748505592346,0.25722408294677734,0.20430970191955566
rome,0.0952538326382637,0.20041586458683014,0.21705909073352814,0.2399049997329712,0.2797902524471283,0.2559860348701477,0.27313151955604553,1.0,0.16867119073867798
'',-0.0029843549709767103,-0.014185515232384205,0.13035868108272552,0.041273195296525955,-0.015701621770858765,-0.02893640846014023,-0.009905828163027763,0.019285187125205994,0.018684765323996544
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.2219848930835724,0.27773603796958923,0.4645031690597534,0.22383488714694977,0.4130953550338745
