,what,did,temüjin,offer,jamukha,after,the,latter,'s,defeat,?
according,0.2776208221912384,0.19118738174438477,0.2713835537433624,0.20575493574142456,0.20362402498722076,0.1990763396024704,0.3202974498271942,0.12885545194149017,-0.0037221983075141907,0.17723026871681213,0.21173474192619324
to,0.455847829580307,0.4452643394470215,0.36858871579170227,0.34615713357925415,0.17626526951789856,0.37890323996543884,0.535392165184021,0.283441424369812,0.03782717138528824,0.25008296966552734,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.43713900446891785,0.21118608117103577,0.26145488023757935,0.4565047025680542,1.0,0.37523433566093445,-0.01540423184633255,0.3182816207408905,0.22068053483963013
secret,0.2518046498298645,0.20489433407783508,0.3609839379787445,0.1651284396648407,0.16921408474445343,0.16978414356708527,0.23541073501110077,0.12928804755210876,0.07042068988084793,0.12137511372566223,0.16440534591674805
history,0.28630873560905457,0.24950987100601196,0.3064565062522888,0.16949060559272766,0.21897824108600616,0.24675065279006958,0.33215048909187317,0.172185480594635,-0.0466335192322731,0.1600274294614792,0.2501974403858185
",",0.3087472915649414,0.3015086054801941,0.3484273850917816,0.2830800712108612,0.30996835231781006,0.38860568404197693,0.4933079481124878,0.2972133159637451,-0.0016132977325469255,0.2394917905330658,0.31091248989105225
temüjin,0.34580421447753906,0.3476600646972656,1.0,0.21411581337451935,0.48555630445480347,0.380215048789978,0.43713900446891785,0.27393653988838196,-0.010023289360105991,0.32097387313842773,0.21090233325958252
again,0.3921525180339813,0.35250324010849,0.32439401745796204,0.2407463788986206,0.09797603636980057,0.453068345785141,0.4104243218898773,0.2330382764339447,-0.038958314806222916,0.30390116572380066,0.2679590880870819
offered,0.1662205457687378,0.40334975719451904,0.2706757187843323,0.7171011567115784,0.1034829318523407,0.26511937379837036,0.270993173122406,0.20345990359783173,0.008031184785068035,0.2140798568725586,0.22244536876678467
his,0.26976513862609863,0.3546801507472992,0.4682264029979706,0.22764578461647034,0.2645959258079529,0.41949746012687683,0.4394008219242096,0.2201921045780182,0.047556519508361816,0.27341556549072266,0.18075084686279297
friendship,0.17399556934833527,0.2124103605747223,0.25873076915740967,0.20857299864292145,0.18002773821353912,0.24117809534072876,0.16170784831047058,0.21863673627376556,0.0022845505736768246,0.21808026731014252,0.08940920233726501
to,0.455847829580307,0.4452643394470215,0.36858871579170227,0.34615713357925415,0.17626526951789856,0.37890323996543884,0.535392165184021,0.283441424369812,0.03782717138528824,0.25008296966552734,0.29463258385658264
jamukha,0.274000346660614,0.15834690630435944,0.48555630445480347,0.11525116115808487,0.9999999403953552,0.14425428211688995,0.26145488023757935,0.1882789134979248,0.04738704860210419,0.10159564018249512,0.20055611431598663
",",0.3087472915649414,0.3015086054801941,0.3484273850917816,0.2830800712108612,0.30996835231781006,0.38860568404197693,0.4933079481124878,0.2972133159637451,-0.0016132977325469255,0.2394917905330658,0.31091248989105225
asking,0.48389121890068054,0.37895697355270386,0.2467854917049408,0.3187011480331421,0.18155398964881897,0.26626747846603394,0.2650352418422699,0.25901737809181213,0.01696137525141239,0.16197165846824646,0.39706939458847046
him,0.34912991523742676,0.4290095865726471,0.452009379863739,0.34048396348953247,0.19766093790531158,0.41209572553634644,0.39213326573371887,0.2282141149044037,0.004161491058766842,0.32384154200553894,0.23943768441677094
to,0.455847829580307,0.4452643394470215,0.36858871579170227,0.34615713357925415,0.17626526951789856,0.37890323996543884,0.535392165184021,0.283441424369812,0.03782717138528824,0.25008296966552734,0.29463258385658264
return,0.18344242870807648,0.21141748130321503,0.2657420039176941,0.25169286131858826,0.0811062678694725,0.2711309492588043,0.2543797492980957,0.1939542442560196,0.03277071565389633,0.2235860377550125,0.14655634760856628
to,0.455847829580307,0.4452643394470215,0.36858871579170227,0.34615713357925415,0.17626526951789856,0.37890323996543884,0.535392165184021,0.283441424369812,0.03782717138528824,0.25008296966552734,0.29463258385658264
his,0.26976513862609863,0.3546801507472992,0.4682264029979706,0.22764578461647034,0.2645959258079529,0.41949746012687683,0.4394008219242096,0.2201921045780182,0.047556519508361816,0.27341556549072266,0.18075084686279297
side,0.2532914876937866,0.19660846889019012,0.16508866846561432,0.20735527575016022,0.17799775302410126,0.19235624372959137,0.37146830558776855,0.2508848309516907,0.05179053172469139,0.14119607210159302,0.07831130921840668
.,0.3567904531955719,0.35288307070732117,0.31788840889930725,0.23210087418556213,0.23000960052013397,0.35870397090911865,0.5934505462646484,0.23063406348228455,-0.003708066651597619,0.17890939116477966,0.4130953550338745
