,who,led,the,science,and,environmental,policy,project,?
even,0.33644744753837585,0.21893423795700073,0.37996912002563477,0.2002926915884018,0.4625037908554077,0.2382401078939438,0.2756977677345276,0.19362829625606537,0.30082517862319946
at,0.22096660733222961,0.21907441318035126,0.457212895154953,0.16367051005363464,0.3571503460407257,0.13292425870895386,0.2081100046634674,0.2461380660533905,0.21978627145290375
the,0.3733934462070465,0.3267505168914795,1.0,0.24037593603134155,0.5171257257461548,0.23935803771018982,0.2358427494764328,0.2027820199728012,0.22068053483963013
draft,0.2113700658082962,0.14897391200065613,0.2136591076850891,0.18443331122398376,0.2078089863061905,0.10844036191701889,0.2331591099500656,0.20449140667915344,0.1941390335559845
stage,0.1983679085969925,0.21340064704418182,0.22652170062065125,0.15112654864788055,0.17654182016849518,0.13859471678733826,0.07188721746206284,0.195059135556221,0.14916576445102692
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.2623405158519745,0.6633074283599854,0.2779713571071625,0.2903050184249878,0.24875426292419434,0.31091248989105225
this,0.3345087468624115,0.2688283920288086,0.6274310946464539,0.24253025650978088,0.42353692650794983,0.21105310320854187,0.3024657368659973,0.3302684724330902,0.3155723512172699
finding,0.272481769323349,0.17539933323860168,0.2933822274208069,0.2814980447292328,0.2595592737197876,0.2747688889503479,0.14529536664485931,0.21929676830768585,0.18021653592586517
was,0.3318818509578705,0.34443995356559753,0.48711544275283813,0.22005605697631836,0.3740963041782379,0.17382490634918213,0.1882478892803192,0.17915812134742737,0.18412111699581146
disputed,0.2177141308784485,0.20283231139183044,0.32414746284484863,0.09330965578556061,0.2306099683046341,0.22309225797653198,0.3221738040447235,0.16556380689144135,0.2165134698152542
by,0.39727845788002014,0.30694612860679626,0.4408751428127289,0.20686732232570648,0.4289871156215668,0.17630445957183838,0.13463684916496277,0.2110227346420288,0.17966607213020325
contrarians,0.36001551151275635,0.22063033282756805,0.24109965562820435,0.153447687625885,0.2822549045085907,0.13906870782375336,0.3364221751689911,0.21989019215106964,0.2285989224910736
:,-0.0025186005514115095,0.023935522884130478,-0.03403344005346298,-0.07751814275979996,-0.04625999182462692,-0.09186670929193497,-0.11158876121044159,-0.1315390020608902,-0.07156077772378922
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,0.269875705242157,0.4954058527946472,0.2718023955821991,0.1459147185087204,0.16277937591075897,0.20430970191955566
may,0.23082798719406128,0.14675860106945038,0.2694292366504669,0.1839539259672165,0.34598252177238464,0.24491149187088013,0.20010073482990265,0.17985300719738007,0.2768254578113556
