,how,many,biomolecules,contain,no,oxygen,?
the,0.33890387415885925,0.4335206151008606,0.2757059931755066,0.26383090019226074,0.3461136817932129,0.20428593456745148,0.22068053483963013
element,0.23025715351104736,0.14844711124897003,0.37426429986953735,0.2967531979084015,0.21630005538463593,0.35867807269096375,0.18393386900424957
is,0.22544461488723755,0.2649032473564148,0.2520298361778259,0.31030410528182983,0.19581134617328644,0.21825239062309265,0.22961433231830597
found,0.12975606322288513,0.27700337767601013,0.20606178045272827,0.29978108406066895,0.18801116943359375,0.1673429310321808,0.16790300607681274
in,0.2601168751716614,0.41474202275276184,0.2893311083316803,0.23975171148777008,0.24372287094593048,0.1672476977109909,0.20430970191955566
almost,0.23828135430812836,0.43739303946495056,0.18619178235530853,0.27995362877845764,0.28686487674713135,0.17669527232646942,0.1372147500514984
all,0.3725806474685669,0.5443700551986694,0.29407063126564026,0.35190483927726746,0.389975368976593,0.22770634293556213,0.29575422406196594
biomolecules,0.346981942653656,0.3106434941291809,1.0,0.41918355226516724,0.20064765214920044,0.5253282785415649,0.16725566983222961
that,0.557814359664917,0.5391656160354614,0.32214653491973877,0.36020758748054504,0.41830796003341675,0.2717767655849457,0.32716336846351624
are,0.311818927526474,0.5655534863471985,0.3925575017929077,0.5326977372169495,0.2432553917169571,0.24342744052410126,0.24591213464736938
important,0.3054346442222595,0.4643375277519226,0.3055056929588318,0.2882036566734314,0.16587311029434204,0.19456547498703003,0.17812499403953552
to,0.44169697165489197,0.40243685245513916,0.28892889618873596,0.28093209862709045,0.30015695095062256,0.24193501472473145,0.29463258385658264
(,0.1676948219537735,0.1455259770154953,0.2128743976354599,0.18010157346725464,0.28322693705558777,0.189798504114151,0.40561532974243164
or,0.3378981947898865,0.36905089020729065,0.34873029589653015,0.4471302628517151,0.36535751819610596,0.2669152021408081,0.32389625906944275
generated,0.26971060037612915,0.24417707324028015,0.3439101278781891,0.39165493845939636,0.2761916518211365,0.24160659313201904,0.28358349204063416
by,0.34370526671409607,0.3409687578678131,0.23514185845851898,0.19216567277908325,0.15267254412174225,0.1292176991701126,0.17966607213020325
),0.17939934134483337,0.16602720320224762,0.19930711388587952,0.1663975715637207,0.28349557518959045,0.19541971385478973,0.42300865054130554
life,0.24822278320789337,0.291175901889801,0.2549203038215637,0.14083606004714966,0.138033926486969,0.27629178762435913,0.21677987277507782
.,0.3287222981452942,0.3974229395389557,0.29308757185935974,0.22565869987010956,0.35224834084510803,0.2554275095462799,0.4130953550338745
,how,many,biomolecules,contain,no,oxygen,?
only,0.36590442061424255,0.4670507609844208,0.2645604610443115,0.38162344694137573,0.4522853493690491,0.30512404441833496,0.2767370045185089
a,0.29312583804130554,0.2872205972671509,0.2607186734676361,0.23510922491550446,0.26280897855758667,0.21662019193172455,0.23916715383529663
few,0.2993465065956116,0.5883727073669434,0.1841784566640854,0.27611860632896423,0.29037976264953613,0.18394595384597778,0.2334265559911728
common,0.17140580713748932,0.3503221273422241,0.2781500518321991,0.2593170702457428,0.18077169358730316,0.2612002193927765,0.20434872806072235
complex,0.30056968331336975,0.33979249000549316,0.37980616092681885,0.3784857392311096,0.18396523594856262,0.21453747153282166,0.17752902209758759
biomolecules,0.346981942653656,0.3106434941291809,1.0,0.41918355226516724,0.20064765214920044,0.5253282785415649,0.16725566983222961
",",0.22659391164779663,0.40610817074775696,0.23676840960979462,0.24384500086307526,0.29972612857818604,0.21812842786312103,0.31091248989105225
such,0.307365357875824,0.5649948120117188,0.31849002838134766,0.42073822021484375,0.3991750180721283,0.23563316464424133,0.17851735651493073
as,0.33782753348350525,0.4070141911506653,0.28088682889938354,0.2834143042564392,0.28687340021133423,0.16691245138645172,0.27043893933296204
squalene,0.16532644629478455,0.20094388723373413,0.42426973581314087,0.2608395218849182,0.11055893450975418,0.42164942622184753,0.11817147582769394
and,0.33647966384887695,0.5296266674995422,0.2902103364467621,0.3066939413547516,0.25880882143974304,0.22261030972003937,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.2757059931755066,0.26383090019226074,0.3461136817932129,0.20428593456745148,0.22068053483963013
carotenes,0.21619626879692078,0.30662477016448975,0.5979252457618713,0.41261714696884155,0.19052396714687347,0.45333132147789,0.11259772628545761
",",0.22659391164779663,0.40610817074775696,0.23676840960979462,0.24384500086307526,0.29972612857818604,0.21812842786312103,0.31091248989105225
contain,0.2636528015136719,0.35166433453559875,0.41918355226516724,1.0,0.22588065266609192,0.2880042791366577,0.18853069841861725
no,0.2603875398635864,0.27654168009757996,0.20064765214920044,0.22588065266609192,1.0,0.21197353303432465,0.32165053486824036
oxygen,0.21928748488426208,0.21045979857444763,0.5253282785415649,0.2880042791366577,0.21197353303432465,0.9999999403953552,0.16786395013332367
.,0.3287222981452942,0.3974229395389557,0.29308757185935974,0.22565869987010956,0.35224834084510803,0.2554275095462799,0.4130953550338745
