,what,did,creating,highways,in,the,amazon,rainforest,lead,to,?
the,0.42745697498321533,0.34736719727516174,0.286904513835907,0.22108882665634155,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.21995973587036133,0.535392165184021,0.22068053483963013
first,0.28086137771606445,0.33691170811653137,0.2190549075603485,0.17924103140830994,0.4127444326877594,0.49448907375335693,0.16250154376029968,0.15180468559265137,0.16851212084293365,0.3792489171028137,0.18701928853988647
two,0.23363454639911652,0.2755576968193054,0.2174987643957138,0.23990055918693542,0.36463531851768494,0.43858039379119873,0.14879553020000458,0.21155832707881927,0.20905518531799316,0.3343428373336792,0.19645625352859497
highways,0.20952124893665314,0.10643287003040314,0.21516826748847961,1.0,0.16949942708015442,0.22108882665634155,0.1760149896144867,0.3244234621524811,0.13768704235553741,0.2186083197593689,0.20482441782951355
successfully,0.20084762573242188,0.27148011326789856,0.15063627064228058,0.13553698360919952,0.2983573377132416,0.32525569200515747,0.152606800198555,0.16505184769630432,0.16986775398254395,0.37246158719062805,0.0971045047044754
opened,0.14500318467617035,0.2014526128768921,0.1797086000442505,0.2225014716386795,0.2972770035266876,0.28544309735298157,0.04347933456301689,0.11502251774072647,0.07465241104364395,0.18903055787086487,0.1934700310230255
up,0.28591108322143555,0.21613863110542297,0.29707467555999756,0.1623343676328659,0.3120773434638977,0.38423117995262146,0.11360682547092438,0.20373761653900146,0.22157759964466095,0.40375280380249023,0.1819818764925003
the,0.42745697498321533,0.34736719727516174,0.286904513835907,0.22108882665634155,0.6662389636039734,1.0,0.260541707277298,0.2571161389350891,0.21995973587036133,0.535392165184021,0.22068053483963013
rainforest,0.22127854824066162,0.0939265564084053,0.18059104681015015,0.3244234621524811,0.2207682877779007,0.2571161389350891,0.48046615719795227,1.0,0.12347111105918884,0.23412610590457916,0.1917492002248764
and,0.31309178471565247,0.34479495882987976,0.36289316415786743,0.25893059372901917,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.31077226996421814,0.48971283435821533,0.20544172823429108
led,0.12112844735383987,0.3213953971862793,0.13904918730258942,0.14800550043582916,0.2990247309207916,0.3267505168914795,0.07714414596557617,0.1738409698009491,0.3712044358253479,0.21815308928489685,0.09273858368396759
to,0.455847829580307,0.4452643394470215,0.31553950905799866,0.2186083197593689,0.45010748505592346,0.535392165184021,0.17033490538597107,0.23412610590457916,0.23490607738494873,1.0,0.29463258385658264
increased,0.1599731743335724,0.20765343308448792,0.2545218765735626,0.1654381901025772,0.244624063372612,0.3188653886318207,0.11138453334569931,0.09957119822502136,0.23242229223251343,0.2690577805042267,0.09587585180997849
settlement,0.2558431327342987,0.11278556287288666,0.14929866790771484,0.3212195634841919,0.26083990931510925,0.2599570155143738,0.10004880279302597,0.2582806646823883,0.09918447583913803,0.2762512266635895,0.12535437941551208
and,0.31309178471565247,0.34479495882987976,0.36289316415786743,0.25893059372901917,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.31077226996421814,0.48971283435821533,0.20544172823429108
deforestation,0.22733289003372192,0.12750422954559326,0.27440977096557617,0.2743805944919586,0.28902751207351685,0.31742316484451294,0.28994330763816833,0.6003605723381042,0.2114238440990448,0.31015700101852417,0.13288208842277527
.,0.3567904531955719,0.35288307070732117,0.26489248871803284,0.28294000029563904,0.5591574311256409,0.5934505462646484,0.262887567281723,0.25713270902633667,0.2305188626050949,0.4645031690597534,0.4130953550338745
