,what,is,the,most,controversial,aspect,of,imperialism,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3508910834789276,0.29437413811683655,0.26698043942451477,0.5052502155303955,0.17335295677185059,0.23916715383529663
controversial,0.3225577771663666,0.2638956904411316,0.275572806596756,0.3346649706363678,1.0,0.25493162870407104,0.27057674527168274,0.2567378580570221,0.2903842329978943
aspect,0.3092297315597534,0.2434026300907135,0.24363651871681213,0.2528111934661865,0.25493162870407104,1.0,0.26582151651382446,0.27904585003852844,0.21104450523853302
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.27057674527168274,0.26582151651382446,1.0,0.29240643978118896,0.1826142966747284
imperialism,0.24614648520946503,0.13894762098789215,0.2716025412082672,0.16553835570812225,0.2567378580570221,0.27904585003852844,0.29240643978118896,1.0,0.14998586475849152
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.2638956904411316,0.2434026300907135,0.4854315221309662,0.13894762098789215,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.275572806596756,0.24363651871681213,0.733189046382904,0.2716025412082672,0.22068053483963013
defense,0.193815678358078,0.17166511714458466,0.2604767382144928,0.18461458384990692,0.19840529561042786,0.21045531332492828,0.27720823884010315,0.24897140264511108,0.21935760974884033
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.4309377074241638,0.2694108784198761,0.2093125432729721,0.5116966962814331,0.19073538482189178,0.20544172823429108
justification,0.41217631101608276,0.2093798965215683,0.26831284165382385,0.21898911893367767,0.36141902208328247,0.3462298810482025,0.2991276681423187,0.2602269947528839,0.4005378186702728
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.27057674527168274,0.26582151651382446,1.0,0.29240643978118896,0.1826142966747284
empire-building,0.29319021105766296,0.239437073469162,0.4005211889743805,0.2735806405544281,0.1482200175523758,0.25207212567329407,0.36905157566070557,0.4060892164707184,0.1480429321527481
based,0.274813175201416,0.3248139023780823,0.29860720038414,0.24925106763839722,0.23272356390953064,0.23982316255569458,0.3033197224140167,0.2524650990962982,0.134929820895195
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.28303956985473633,0.2649998366832733,0.1945095658302307,0.3966929316520691,0.09501302242279053,0.2714994251728058
seemingly,0.32713985443115234,0.22994741797447205,0.2352469563484192,0.2270074188709259,0.32923170924186707,0.2880881428718567,0.1721302568912506,0.206796795129776,0.21683967113494873
rational,0.35778647661209106,0.2810160517692566,0.2502481937408447,0.23497532308101654,0.35633420944213867,0.4324048161506653,0.31506872177124023,0.2946099638938904,0.25988996028900146
grounds,0.2024700939655304,0.25419503450393677,0.2690851390361786,0.18886306881904602,0.33576568961143494,0.17303477227687836,0.26888811588287354,0.15489782392978668,0.1594391018152237
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.2866246700286865,0.21891406178474426,0.5352458953857422,0.22279119491577148,0.4130953550338745
