,what,jacksonville,community,is,known,for,having,heavy,ties,to,the,navy,?
much,0.45316147804260254,0.1343209147453308,0.2202267199754715,0.3156087100505829,0.2587057054042816,0.2994346022605896,0.38941675424575806,0.3397091031074524,0.16465413570404053,0.40610215067863464,0.35023224353790283,0.1654963344335556,0.23442231118679047
of,0.33290785551071167,0.23084138333797455,0.2367410808801651,0.4854315221309662,0.35814476013183594,0.4185989499092102,0.38889452815055847,0.24240271747112274,0.14440490305423737,0.41548454761505127,0.733189046382904,0.24778206646442413,0.1826142966747284
jacksonville,0.14578714966773987,1.0000001192092896,0.23076996207237244,0.1726600080728531,0.15073728561401367,0.28549739718437195,0.20820853114128113,0.1923152208328247,0.13309286534786224,0.1994343250989914,0.2176690250635147,0.21952085196971893,0.1359667330980301
's,0.02692362666130066,0.02280956320464611,0.020855724811553955,0.02396530658006668,0.008368984796106815,-0.07241261005401611,-0.0629785805940628,0.04729229211807251,0.0824906975030899,0.03782717138528824,-0.01540423184633255,0.005783737171441317,-0.023395681753754616
filipino,0.05447940528392792,0.21439775824546814,0.09968028962612152,0.12357109040021896,0.16608431935310364,0.10321637243032455,0.18179553747177124,0.1762639284133911,0.17555232346057892,0.17775633931159973,0.16211169958114624,0.2158694565296173,0.16684114933013916
community,0.29032719135284424,0.23076996207237244,0.9999998807907104,0.26023760437965393,0.12171687185764313,0.24596118927001953,0.13095882534980774,0.09788365662097931,0.23467499017715454,0.2863751947879791,0.2601400911808014,0.1613411158323288,0.2380419820547104
served,0.1271134465932846,0.22267648577690125,0.16721469163894653,0.21776750683784485,0.29785454273223877,0.23524442315101624,0.20719917118549347,0.20381155610084534,0.057215120643377304,0.13321098685264587,0.25209251046180725,0.32429081201553345,0.117141492664814
in,0.30808621644973755,0.22147351503372192,0.21838891506195068,0.5394441485404968,0.32641831040382385,0.4322226941585541,0.32022708654403687,0.2047721892595291,0.16207359731197357,0.45010748505592346,0.6662389636039734,0.19222377240657806,0.20430970191955566
or,0.33867141604423523,0.16453376412391663,0.26749277114868164,0.41870999336242676,0.2710355222225189,0.4111599624156952,0.39157411456108093,0.2289929836988449,0.2166595607995987,0.38921234011650085,0.4174870550632477,0.16019871830940247,0.32389625906944275
has,0.20338068902492523,0.22732819616794586,0.2515353262424469,0.5668748617172241,0.2451976239681244,0.450642853975296,0.4643951952457428,0.19209274649620056,0.18572580814361572,0.3619994819164276,0.4177538752555847,0.18156778812408447,0.15994466841220856
ties,0.05768733099102974,0.13309286534786224,0.23467499017715454,0.1553872972726822,0.10414967685937881,0.17901611328125,0.2145586758852005,0.18674436211585999,0.9999999403953552,0.21806193888187408,0.21061654388904572,0.16591070592403412,0.08758962154388428
to,0.455847829580307,0.1994343250989914,0.2863751947879791,0.42745086550712585,0.14337651431560516,0.4451248347759247,0.3992697596549988,0.21586324274539948,0.21806193888187408,1.0,0.535392165184021,0.20941638946533203,0.29463258385658264
the,0.42745697498321533,0.2176690250635147,0.2601400911808014,0.5823672413825989,0.3624623417854309,0.4739971458911896,0.3821379244327545,0.2532151937484741,0.21061654388904572,0.535392165184021,1.0,0.2864058017730713,0.22068053483963013
united,0.20036718249320984,0.303199827671051,0.2618454694747925,0.22408509254455566,0.16143083572387695,0.30487096309661865,0.0787186324596405,0.15067581832408905,0.13217946887016296,0.2715383470058441,0.34367692470550537,0.33228299021720886,0.17266890406608582
states,0.21526020765304565,0.31034567952156067,0.27721264958381653,0.21939043700695038,0.12470885366201401,0.2496437132358551,0.10148486495018005,0.1418493390083313,0.1530526876449585,0.2828785181045532,0.3463578522205353,0.35706719756126404,0.16272737085819244
navy,0.1196848452091217,0.21952085196971893,0.1613411158323288,0.1623675525188446,0.04522238299250603,0.2193266600370407,0.18252955377101898,0.20897707343101501,0.16591070592403412,0.20941638946533203,0.2864058017730713,1.0,0.10414517670869827
.,0.3567904531955719,0.2843366861343384,0.2594514787197113,0.4569662809371948,0.283290296792984,0.4726039469242096,0.3542446792125702,0.23141726851463318,0.20543749630451202,0.4645031690597534,0.5934505462646484,0.287241667509079,0.4130953550338745
