,what,is,the,name,of,the,delta,in,the,netherlands,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
rhine-meuse,0.20504072308540344,0.2187524288892746,0.3420952260494232,0.20840755105018616,0.26928308606147766,0.3420952260494232,0.24112568795681,0.256996214389801,0.3420952260494232,0.3679220974445343,0.23498749732971191
delta,0.11423289775848389,0.22409643232822418,0.22022446990013123,0.12350775301456451,0.20736707746982574,0.22022446990013123,1.0000001192092896,0.21061979234218597,0.22022446990013123,0.06550586968660355,0.14208948612213135
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2192559540271759,0.5201468467712402,0.4933079481124878,0.2357385754585266,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.19063733518123627,0.4178851246833801,0.47635307908058167,0.17283634841442108,0.41416558623313904,0.47635307908058167,0.1654609888792038,0.2107497900724411
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.16128742694854736,0.43301743268966675,0.39348116517066956,0.19397950172424316,0.3796374499797821,0.39348116517066956,0.14180923998355865,0.17812499403953552
natural,0.15666867792606354,0.24589021503925323,0.2291368842124939,0.13195578753948212,0.2963479459285736,0.2291368842124939,0.1400379091501236,0.32136213779449463,0.2291368842124939,0.14348582923412323,0.16155436635017395
region,0.2298986315727234,0.3317503035068512,0.35020557045936584,0.19915026426315308,0.2852717339992523,0.35020557045936584,0.21139807999134064,0.3524819314479828,0.35020557045936584,0.15379557013511658,0.13441751897335052
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.20736707746982574,0.5696388483047485,0.733189046382904,0.24916832149028778,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
netherlands,0.14059674739837646,0.12974417209625244,0.2279868870973587,0.1507461816072464,0.24916832149028778,0.2279868870973587,0.06550586968660355,0.28237903118133545,0.2279868870973587,1.0000001192092896,0.09310898929834366
begins,0.1788426637649536,0.25563162565231323,0.3446018099784851,0.12831981480121613,0.27105480432510376,0.3446018099784851,0.11134336143732071,0.27165544033050537,0.3446018099784851,0.15769639611244202,0.09518900513648987
near,0.19414293766021729,0.25453904271125793,0.2879819869995117,0.18651308119297028,0.2651676535606384,0.2879819869995117,0.27986568212509155,0.40211278200149536,0.2879819869995117,0.157412588596344,0.10734958201646805
millingen,0.1511954665184021,0.20007675886154175,0.2378097027540207,0.1529749184846878,0.24729877710342407,0.2378097027540207,0.1182999312877655,0.3060881495475769,0.2378097027540207,0.411508172750473,0.1692030280828476
aan,0.1442888081073761,0.1737658977508545,0.16527047753334045,0.09225082397460938,0.09112474322319031,0.16527047753334045,0.14431864023208618,0.15938495099544525,0.16527047753334045,0.4162694811820984,0.11127196252346039
de,0.10476839542388916,0.20309367775917053,0.23491892218589783,0.20640511810779572,0.26292696595191956,0.23491892218589783,0.12472070753574371,0.24818959832191467,0.23491892218589783,0.24909645318984985,0.11064168810844421
rijn,0.12599071860313416,0.14968563616275787,0.15022686123847961,0.12630204856395721,0.20357760787010193,0.15022686123847961,0.15940332412719727,0.17666952311992645,0.15022686123847961,0.5422191023826599,0.15792600810527802
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.2192559540271759,0.5201468467712402,0.4933079481124878,0.2357385754585266,0.31091248989105225
close,0.23424343764781952,0.26769399642944336,0.2625353932380676,0.18751230835914612,0.24178770184516907,0.2625353932380676,0.17301400005817413,0.23149028420448303,0.2625353932380676,0.08647531270980835,0.1908312737941742
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.16459326446056366,0.45010748505592346,0.535392165184021,0.18099384009838104,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22022446990013123,0.6662389636039734,1.0,0.2279868870973587,0.22068053483963013
dutch-german,0.27218666672706604,0.22012048959732056,0.28678369522094727,0.2106102854013443,0.23957809805870056,0.28678369522094727,0.10985410958528519,0.29995590448379517,0.28678369522094727,0.5570473074913025,0.23817622661590576
border,0.26696228981018066,0.22676031291484833,0.2856229841709137,0.1466246247291565,0.24084383249282837,0.2856229841709137,0.1511319875717163,0.28533756732940674,0.2856229841709137,0.16214808821678162,0.1706928312778473
