,what,part,of,the,earth,is,composed,of,mostly,of,silicates,of,iron,and,magnesium,?
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2801888585090637,0.5823672413825989,0.21816956996917725,0.733189046382904,0.3490641117095947,0.733189046382904,0.244277223944664,0.733189046382904,0.27578672766685486,0.5171257257461548,0.1818278282880783,0.22068053483963013
earth,0.25883176922798157,0.16151063144207,0.2329314798116684,0.2801888585090637,1.0,0.26888176798820496,0.17983998358249664,0.2329314798116684,0.1965077668428421,0.2329314798116684,0.3993373513221741,0.2329314798116684,0.25424718856811523,0.27524080872535706,0.361131876707077,0.17717236280441284
's,0.02692362666130066,0.007562864106148481,-0.03817026689648628,-0.01540423184633255,0.0661235973238945,0.02396530658006668,-0.00410611554980278,-0.03817026689648628,0.12171249091625214,-0.03817026689648628,0.024947943165898323,-0.03817026689648628,-0.0246629249304533,0.06895173341035843,-0.04188914969563484,-0.023395681753754616
mantle,0.20894600450992584,0.17391248047351837,0.19364143908023834,0.24731530249118805,0.4542229175567627,0.21450211107730865,0.24748024344444275,0.19364143908023834,0.19009605050086975,0.19364143908023834,0.4411371350288391,0.19364143908023834,0.32036909461021423,0.19090498983860016,0.33782896399497986,0.16224074363708496
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.4691906273365021,0.21667295694351196,0.4946078956127167,0.34322500228881836,0.4946078956127167,0.23654009401798248,0.4946078956127167,0.23416942358016968,0.6633074283599854,0.19133992493152618,0.31091248989105225
of,0.33290785551071167,0.452393114566803,1.0,0.733189046382904,0.2329314798116684,0.4854315221309662,0.29509663581848145,1.0,0.2964755594730377,1.0,0.316294401884079,1.0,0.263920396566391,0.5116966962814331,0.18834753334522247,0.1826142966747284
much,0.45316147804260254,0.3357490599155426,0.2671096920967102,0.35023224353790283,0.23964592814445496,0.3156087100505829,0.17976170778274536,0.2671096920967102,0.3887731730937958,0.2671096920967102,0.3225060999393463,0.2671096920967102,0.20020385086536407,0.38395699858665466,0.3121115267276764,0.23442231118679047
larger,0.23663538694381714,0.34327030181884766,0.32469573616981506,0.378620445728302,0.14595924317836761,0.24218857288360596,0.19689087569713593,0.32469573616981506,0.30187833309173584,0.32469573616981506,0.30991965532302856,0.32469573616981506,0.16041924059391022,0.34781917929649353,0.21959683299064636,0.1602165699005127
mass,0.23905135691165924,0.20446710288524628,0.26915112137794495,0.2284930944442749,0.23690102994441986,0.21063528954982758,0.22763760387897491,0.26915112137794495,0.18651333451271057,0.26915112137794495,0.30720916390419006,0.26915112137794495,0.24944815039634705,0.21843883395195007,0.2721458673477173,0.2076406031847
than,0.29388150572776794,0.22591069340705872,0.33036211133003235,0.3227543234825134,0.2436409294605255,0.2839990258216858,0.17220793664455414,0.33036211133003235,0.31305986642837524,0.33036211133003235,0.3010309636592865,0.33036211133003235,0.16893495619297028,0.39361441135406494,0.22766529023647308,0.24917294085025787
the,0.42745697498321533,0.527681291103363,0.733189046382904,1.0,0.2801888585090637,0.5823672413825989,0.21816956996917725,0.733189046382904,0.3490641117095947,0.733189046382904,0.244277223944664,0.733189046382904,0.27578672766685486,0.5171257257461548,0.1818278282880783,0.22068053483963013
crust,0.22092486917972565,0.22978553175926208,0.21774794161319733,0.22538691759109497,0.52252197265625,0.2493407428264618,0.211540088057518,0.21774794161319733,0.1935352236032486,0.21774794161319733,0.5323274731636047,0.21774794161319733,0.3414384424686432,0.21109703183174133,0.44866156578063965,0.1887258142232895
",",0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.23186853528022766,0.4691906273365021,0.21667295694351196,0.4946078956127167,0.34322500228881836,0.4946078956127167,0.23654009401798248,0.4946078956127167,0.23416942358016968,0.6633074283599854,0.19133992493152618,0.31091248989105225
is,0.28837618231773376,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.26888176798820496,1.0,0.18838012218475342,0.4854315221309662,0.35184943675994873,0.4854315221309662,0.33365529775619507,0.4854315221309662,0.22105827927589417,0.3859752118587494,0.265357106924057,0.22961433231830597
