,what,product,was,notably,shipped,in,vessels,equipped,with,double,and,triple,expansion,engines,?
these,0.4164220690727234,0.25655415654182434,0.19784674048423767,0.2974261939525604,0.26677608489990234,0.3791837692260742,0.3244210183620453,0.31847572326660156,0.37595367431640625,0.20845143496990204,0.5314885973930359,0.17298679053783417,0.2354423701763153,0.30611324310302734,0.2571668326854706
stages,0.18274828791618347,0.21603405475616455,0.18915748596191406,0.20232093334197998,0.13452750444412231,0.25691351294517517,0.1813317984342575,0.16687136888504028,0.15601323544979095,0.19439378380775452,0.207217738032341,0.15978610515594482,0.2172745317220688,0.27338987588882446,0.12672165036201477
were,0.22298263013362885,0.14501571655273438,0.590133786201477,0.24113395810127258,0.35189104080200195,0.3815755248069763,0.2208082675933838,0.28652650117874146,0.3179011940956116,0.1562480628490448,0.42175528407096863,0.15936224162578583,0.13583680987358093,0.27072596549987793,0.17890112102031708
called,0.3235960602760315,0.23149818181991577,0.33927658200263977,0.21928910911083221,0.2523990571498871,0.40847352147102356,0.27689772844314575,0.22035416960716248,0.3139074146747589,0.15876372158527374,0.3251761794090271,0.1617029756307602,0.17007233202457428,0.17459313571453094,0.18963319063186646
expansions,0.24984155595302582,0.19990397989749908,0.1464279294013977,0.23833808302879333,0.25171563029289246,0.21610671281814575,0.2653210163116455,0.300689160823822,0.2007063776254654,0.14576205611228943,0.24121059477329254,0.15415455400943756,0.9303915500640869,0.2961667776107788,0.20206446945667267
",",0.3087472915649414,0.20782852172851562,0.45456063747406006,0.28631699085235596,0.2823590040206909,0.5201468467712402,0.18216577172279358,0.1517263501882553,0.4120737314224243,0.22470229864120483,0.6633074283599854,0.2646174430847168,0.15777990221977234,0.20245449244976044,0.31091248989105225
with,0.2464839518070221,0.18527449667453766,0.27411898970603943,0.2748572528362274,0.27466240525245667,0.4080928862094879,0.16981340944766998,0.22758172452449799,0.9999999403953552,0.2484344244003296,0.5477725267410278,0.25994884967803955,0.17767347395420074,0.21779674291610718,0.2433311939239502
double,0.16209302842617035,0.11188959330320358,0.16609808802604675,0.05208517238497734,0.05540510267019272,0.1451583355665207,0.09627164900302887,0.09608937054872513,0.2484344244003296,1.0000001192092896,0.19456486403942108,0.43051427602767944,0.14669793844223022,0.15108242630958557,0.10017921775579453
and,0.31309178471565247,0.22655081748962402,0.3740963041782379,0.3233007490634918,0.30199840664863586,0.4954058527946472,0.27553197741508484,0.23003575205802917,0.5477725267410278,0.19456486403942108,1.0,0.2567623555660248,0.1901247650384903,0.21148960292339325,0.20544172823429108
triple,0.1699010133743286,0.2160145342350006,0.20607773959636688,0.05732858553528786,0.1505204737186432,0.18327002227306366,0.1300887167453766,0.08499249815940857,0.25994884967803955,0.43051427602767944,0.2567623555660248,1.0000001192092896,0.14901380240917206,0.06898585706949234,0.10550399124622345
expansion,0.2671823799610138,0.20769868791103363,0.16902519762516022,0.20381858944892883,0.2161961942911148,0.20021484792232513,0.24356569349765778,0.2606184482574463,0.17767347395420074,0.14669793844223022,0.1901247650384903,0.14901380240917206,1.0,0.2381553053855896,0.18286365270614624
