,what,was,tesla,'s,salary,from,westinghouse,in,1934,?
starting,0.25271084904670715,0.26083552837371826,0.16263578832149506,-0.013342699967324734,0.20418953895568848,0.28981271386146545,0.2648516893386841,0.3013272285461426,0.04137662425637245,0.19133803248405457
in,0.30808621644973755,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.190061554312706,0.4274188280105591,0.2579890191555023,1.0,0.08321734517812729,0.20430970191955566
1934,-0.16851544380187988,0.034285906702280045,-0.04413159564137459,-0.01040857657790184,0.0406440831720829,0.11670169234275818,0.023737946525216103,0.08321734517812729,0.9999998807907104,-0.21139533817768097
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.19489715993404388,0.39760664105415344,0.277236670255661,0.5201468467712402,0.011276645585894585,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.2075764387845993,0.40150508284568787,0.3101098835468292,0.6662389636039734,0.14980897307395935,0.22068053483963013
westinghouse,0.16126319766044617,0.30702054500579834,0.35764777660369873,-0.008012998849153519,0.18088576197624207,0.2171432226896286,0.9999999403953552,0.2579890191555023,0.023737946525216103,0.17307911813259125
electric,0.15451551973819733,0.17723047733306885,0.3824412524700165,-0.0115516884252429,0.2144230604171753,0.1910351812839508,0.4146316647529602,0.19779469072818756,0.052228495478630066,0.15674720704555511
&,0.11141876131296158,0.12134000658988953,0.12341691553592682,-0.02038128487765789,0.020556649193167686,0.14301162958145142,0.19122982025146484,0.1358654648065567,0.044117093086242676,0.12596383690834045
manufacturing,0.1945977807044983,0.22300750017166138,0.350337952375412,-0.030407974496483803,0.22913366556167603,0.14482352137565613,0.3919288218021393,0.2715393304824829,0.06961248070001602,0.11596895009279251
company,0.2333769053220749,0.2293137013912201,0.23045730590820312,0.003266559913754463,0.20026762783527374,0.1728876233100891,0.35389670729637146,0.22141718864440918,-0.01473294012248516,0.12195809185504913
began,0.1665823757648468,0.4683617055416107,0.10105416923761368,-0.026281554251909256,0.151565283536911,0.2095840871334076,0.2745552659034729,0.34154343605041504,0.14518196880817413,0.1370266228914261
paying,0.3108534514904022,0.2340831756591797,0.18885833024978638,0.05034803971648216,0.4533708095550537,0.21169820427894592,0.2033509612083435,0.20306865870952606,-0.09676536172628403,0.2138732671737671
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.2503458261489868,0.10324860364198685,0.35764777660369873,0.17097744345664978,-0.04413159564137459,0.10250775516033173
$,0.24858909845352173,0.23838669061660767,0.23458653688430786,0.03734852001070976,0.4192432165145874,0.10954198986291885,0.1781255006790161,0.21616753935813904,0.025148563086986542,0.2786129117012024
125,0.12798967957496643,0.15679995715618134,0.14831168949604034,0.07384350150823593,0.1879921853542328,0.09925620257854462,0.1643674671649933,0.14654336869716644,-0.08957001566886902,0.10056028515100479
per,0.21384303271770477,0.12717042863368988,0.2078201323747635,0.06270148605108261,0.2792484760284424,0.2311413735151291,0.13784749805927277,0.1975519210100174,0.0468972884118557,0.22323818504810333
month,0.21444633603096008,0.25208011269569397,0.1450187712907791,-0.02560724876821041,0.251678466796875,0.17083653807640076,0.08289103209972382,0.2385365217924118,0.08234931528568268,0.23961511254310608
as,0.31749409437179565,0.3677520453929901,0.10285310447216034,-0.05775856226682663,0.2368970513343811,0.3251767158508301,0.2717971205711365,0.3887844979763031,-0.022336505353450775,0.27043893933296204
well,0.4154493808746338,0.3130364418029785,0.10719963163137436,-0.0049502006731927395,0.16064094007015228,0.31084778904914856,0.23415882885456085,0.36612698435783386,0.008493706583976746,0.24815571308135986
as,0.31749409437179565,0.3677520453929901,0.10285310447216034,-0.05775856226682663,0.2368970513343811,0.3251767158508301,0.2717971205711365,0.3887844979763031,-0.022336505353450775,0.27043893933296204
paying,0.3108534514904022,0.2340831756591797,0.18885833024978638,0.05034803971648216,0.4533708095550537,0.21169820427894592,0.2033509612083435,0.20306865870952606,-0.09676536172628403,0.2138732671737671
his,0.26976513862609863,0.4405253231525421,0.1580733060836792,0.047556519508361816,0.31012335419654846,0.3195365369319916,0.2343376725912094,0.3598145842552185,-0.10450079292058945,0.18075084686279297
rent,0.1816001832485199,0.17212092876434326,0.12543722987174988,0.06303922832012177,0.37733906507492065,0.16809001564979553,0.2855514585971832,0.18155843019485474,0.03357607498764992,0.1613055318593979
at,0.2838611304759979,0.36707764863967896,0.16552478075027466,-0.08481216430664062,0.21886268258094788,0.3447161316871643,0.24553091824054718,0.4374977946281433,0.03604070097208023,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.2075764387845993,0.40150508284568787,0.3101098835468292,0.6662389636039734,0.14980897307395935,0.22068053483963013
hotel,0.12076243758201599,0.2647566497325897,0.11258964985609055,-0.011970339342951775,0.19266556203365326,0.1493190973997116,0.24821703135967255,0.25108298659324646,-0.011359249241650105,0.05846213921904564
new,0.2130378633737564,0.2748313844203949,0.15999311208724976,-0.008355522528290749,0.2243974655866623,0.3360432982444763,0.26577332615852356,0.3758552670478821,0.0654699057340622,0.14782847464084625
yorker,0.19945427775382996,0.2750867009162903,0.1643785536289215,-0.008092020638287067,0.27774178981781006,0.1829438954591751,0.2887769341468811,0.26540616154670715,-0.026822566986083984,0.24605333805084229
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.19489715993404388,0.39760664105415344,0.277236670255661,0.5201468467712402,0.011276645585894585,0.31091248989105225
expenses,0.21653853356838226,0.2568278908729553,0.15238986909389496,0.10668543726205826,0.4395371079444885,0.22848854959011078,0.29644516110420227,0.21053099632263184,0.025912994518876076,0.1254362016916275
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.2075764387845993,0.40150508284568787,0.3101098835468292,0.6662389636039734,0.14980897307395935,0.22068053483963013
company,0.2333769053220749,0.2293137013912201,0.23045730590820312,0.003266559913754463,0.20026762783527374,0.1728876233100891,0.35389670729637146,0.22141718864440918,-0.01473294012248516,0.12195809185504913
would,0.45766422152519226,0.41663143038749695,0.14290116727352142,0.036968596279621124,0.3123311698436737,0.26231399178504944,0.14934711158275604,0.30461156368255615,-0.061823226511478424,0.37178951501846313
pay,0.2870062291622162,0.19225089251995087,0.2275732159614563,0.11794386804103851,0.4863746464252472,0.19024398922920227,0.19123296439647675,0.14415781199932098,-0.020040856674313545,0.19821009039878845
for,0.3017193675041199,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.31719970703125,0.314039945602417,0.25690075755119324,0.4322226941585541,0.01003855187445879,0.264628142118454
