,in,what,year,did,the,amazon,experience,a,drought,that,may,have,been,more,extreme,than,in,2005,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.12227833271026611,0.19806437194347382,0.539380669593811,0.2705814242362976,0.435920387506485,0.3424151837825775,0.36843645572662354,0.3515113592147827,0.32563260197639465,0.2783166170120239,0.3270052373409271,1.0,0.009931974112987518,0.20430970191955566
2010,0.2692960798740387,0.2741409242153168,0.14087317883968353,0.29398393630981445,0.31722962856292725,0.1413584202528,0.1497487723827362,0.18140065670013428,0.07527108490467072,0.30029332637786865,0.12144552171230316,0.31863707304000854,0.23750223219394684,0.26551592350006104,0.17740978300571442,0.1977308690547943,0.2692960798740387,0.11290161311626434,0.21232788264751434
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.260541707277298,0.21682339906692505,0.5829201340675354,0.33421388268470764,0.5473989248275757,0.2694292366504669,0.40389683842658997,0.3563927710056305,0.39758381247520447,0.28210628032684326,0.3227543234825134,0.6662389636039734,0.037273142486810684,0.22068053483963013
amazon,0.12227833271026611,0.16355936229228973,0.1589571088552475,0.15553738176822662,0.260541707277298,1.0000001192092896,0.07542535662651062,0.1865728348493576,0.21362802386283875,0.2228476107120514,0.09747496247291565,0.20372521877288818,0.13283225893974304,0.19582459330558777,0.20527973771095276,0.24920178949832916,0.12227833271026611,0.022802023217082024,0.18144656717777252
rainforest,0.2207682877779007,0.22127854824066162,0.18932706117630005,0.0939265564084053,0.2571161389350891,0.48046615719795227,0.11731184273958206,0.2497720569372177,0.44729626178741455,0.22076080739498138,0.0928340032696724,0.29352760314941406,0.21264642477035522,0.21651415526866913,0.27453696727752686,0.2140055149793625,0.2207682877779007,-0.042422421276569366,0.1917492002248764
experienced,0.25524765253067017,0.37686559557914734,0.1813155859708786,0.2840498685836792,0.26857760548591614,0.09070014208555222,0.8395277261734009,0.2929893136024475,0.30409032106399536,0.35866454243659973,0.2441587746143341,0.3878210484981537,0.3381742835044861,0.3845520615577698,0.29960373044013977,0.32984262704849243,0.25524765253067017,0.0795312374830246,0.23420310020446777
another,0.3397690951824188,0.4190070629119873,0.22209987044334412,0.29175329208374023,0.5019711852073669,0.23449364304542542,0.2459263950586319,0.6191956996917725,0.1846720427274704,0.5273378491401672,0.2963435649871826,0.3633967638015747,0.3350543975830078,0.4338461756706238,0.20813755691051483,0.3526041507720947,0.3397690951824188,0.057146187871694565,0.295511931180954
severe,0.24480456113815308,0.19308151304721832,0.15747632086277008,0.19491122663021088,0.2465558648109436,0.10415371507406235,0.2022530883550644,0.28676658868789673,0.436017245054245,0.24016577005386353,0.2642013430595398,0.25503233075141907,0.24484506249427795,0.24376781284809113,0.3161061108112335,0.2347019612789154,0.24480456113815308,-0.05295269936323166,0.19589418172836304
drought,0.2705814242362976,0.17344513535499573,0.2592630982398987,0.2488846629858017,0.33421388268470764,0.21362802386283875,0.19894547760486603,0.21180132031440735,0.9999998807907104,0.2668984532356262,0.17337921261787415,0.2790464162826538,0.2678638696670532,0.22720672190189362,0.3281375765800476,0.16809150576591492,0.2705814242362976,-0.00973189901560545,0.1524890512228012
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.2214922308921814,0.22459560632705688,0.427140474319458,0.2273346185684204,0.4137537479400635,0.5007920861244202,0.3541618287563324,0.34873589873313904,0.3696524500846863,0.2406754195690155,0.3371901512145996,0.5201468467712402,0.11050146818161011,0.31091248989105225
