,what,year,did,bskyb,and,virgin,media,have,a,dispute,over,the,carriage,of,sky,channels,on,cable,tv,?
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.22606848180294037,0.4954058527946472,0.1495865285396576,0.19773486256599426,0.36843645572662354,0.539380669593811,0.2249964326620102,0.3605569899082184,0.6662389636039734,0.17569588124752045,0.5696388483047485,0.20324937999248505,0.19040870666503906,0.46853652596473694,0.17584200203418732,0.17989183962345123,0.20430970191955566
2007,-0.15549811720848083,-0.20763340592384338,-0.2447822093963623,-0.1625428944826126,-0.2391151487827301,-0.17015020549297333,-0.093873031437397,-0.17263253033161163,-0.06548836827278137,-0.2891371250152588,-0.21584552526474,-0.23657195270061493,-0.11835668981075287,-0.21244128048419952,-0.1390192210674286,-0.04585105925798416,-0.16471703350543976,-0.05958932265639305,-0.05067882314324379,-0.1664225310087204
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2852807641029358,0.6633074283599854,0.1973685473203659,0.23135341703891754,0.3541618287563324,0.427140474319458,0.23539960384368896,0.3301127254962921,0.4933079481124878,0.2071307748556137,0.4946078956127167,0.22621183097362518,0.2199012041091919,0.49057599902153015,0.19718225300312042,0.2778550088405609,0.31091248989105225
bskyb,0.17457032203674316,0.22740191221237183,0.15346096456050873,1.0000001192092896,0.2175528109073639,0.2653351426124573,0.1461402028799057,0.1284031718969345,0.21951700747013092,0.18054348230361938,0.1823693960905075,0.20915858447551727,0.20719881355762482,0.16413870453834534,0.2902737259864807,0.1449941098690033,0.13935911655426025,0.1711769700050354,0.2306850254535675,0.2979319989681244
and,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.2175528109073639,1.0,0.17481452226638794,0.28782835602760315,0.4711785912513733,0.3739250600337982,0.22863776981830597,0.4021143913269043,0.5171257257461548,0.22108593583106995,0.5116966962814331,0.2200697511434555,0.2887432873249054,0.4077630043029785,0.26685893535614014,0.2652006149291992,0.20544172823429108
virgin,0.1343110352754593,0.20929960906505585,0.14743593335151672,0.2653351426124573,0.17481452226638794,1.0000001192092896,0.2961137890815735,0.18086276948451996,0.16995084285736084,0.09419875591993332,0.13736818730831146,0.21732187271118164,0.26771295070648193,0.1805724799633026,0.29910576343536377,0.18653205037117004,0.18324129283428192,0.21484367549419403,0.2083500623703003,0.11987020075321198
media,0.18292108178138733,0.17681238055229187,0.1758316457271576,0.1461402028799057,0.28782835602760315,0.2961137890815735,0.9999999403953552,0.2075749784708023,0.21000106632709503,0.21211323142051697,0.19692464172840118,0.19221965968608856,0.10820966958999634,0.19700391590595245,0.23191455006599426,0.27351927757263184,0.19591841101646423,0.35120320320129395,0.34889090061187744,0.1571006178855896
became,0.1434093862771988,0.28121209144592285,0.3632316589355469,0.22772888839244843,0.31226563453674316,0.16313490271568298,0.11119119077920914,0.16746708750724792,0.28774285316467285,0.1344856470823288,0.250576913356781,0.36325156688690186,0.16272099316120148,0.3638904094696045,0.15320689976215363,0.08108257502317429,0.19448097050189972,0.11984558403491974,0.13710640370845795,0.11374033987522125
involved,0.2673480808734894,0.1695183664560318,0.3037993907928467,0.145440936088562,0.3208049237728119,0.1241428479552269,0.15342865884304047,0.31661903858184814,0.2598431408405304,0.4230448305606842,0.3190319836139679,0.2872544527053833,0.15844057500362396,0.30147984623908997,0.09389623999595642,0.21437159180641174,0.26673054695129395,0.11527254432439804,0.13510078191757202,0.20599231123924255
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.22606848180294037,0.4954058527946472,0.1495865285396576,0.19773486256599426,0.36843645572662354,0.539380669593811,0.2249964326620102,0.3605569899082184,0.6662389636039734,0.17569588124752045,0.5696388483047485,0.20324937999248505,0.19040870666503906,0.46853652596473694,0.17584200203418732,0.17989183962345123,0.20430970191955566
