,how,many,were,killed,by,plague,in,naples,in,1656,?
in,0.2601168751716614,0.41474202275276184,0.3815755248069763,0.1957504004240036,0.370934396982193,0.2488756626844406,1.0,0.18328288197517395,1.0,0.2820509076118469,0.20430970191955566
1656,0.12704253196716309,0.19648610055446625,0.2429114282131195,0.16884447634220123,0.23863111436367035,0.1986943483352661,0.2820509076118469,0.26869893074035645,0.2820509076118469,1.0000001192092896,0.08694055676460266
",",0.22659391164779663,0.40610817074775696,0.36755475401878357,0.3006497025489807,0.3680937886238098,0.2630122900009155,0.5201468467712402,0.2667982876300812,0.5201468467712402,0.2602989375591278,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.3906462490558624,0.23115427792072296,0.4408751428127289,0.2537761330604553,0.6662389636039734,0.20796486735343933,0.6662389636039734,0.3425736129283905,0.22068053483963013
plague,0.16610242426395416,0.2661729156970978,0.24258224666118622,0.3277811110019684,0.22066086530685425,0.9999999403953552,0.2488756626844406,0.31648409366607666,0.2488756626844406,0.1986943483352661,0.11872942000627518
killed,0.1255389302968979,0.1783437877893448,0.3441145420074463,0.9999998807907104,0.27886173129081726,0.3277811110019684,0.1957504004240036,0.18019314110279083,0.1957504004240036,0.16884447634220123,0.17928971350193024
about,0.44264400005340576,0.3800397515296936,0.29814305901527405,0.24797841906547546,0.30091190338134766,0.2741866707801819,0.39797019958496094,0.19957919418811798,0.39797019958496094,0.19490458071231842,0.302409827709198
half,0.19052551686763763,0.2529585361480713,0.22890707850456238,0.20387838780879974,0.22449548542499542,0.14465662837028503,0.25644969940185547,0.11958395689725876,0.25644969940185547,0.16737867891788483,0.07471233606338501
of,0.2480744868516922,0.37253960967063904,0.34038281440734863,0.2589981257915497,0.3646814823150635,0.27455615997314453,0.5696388483047485,0.2551681697368622,0.5696388483047485,0.3060149550437927,0.1826142966747284
naples,0.11323697865009308,0.15359307825565338,0.17929860949516296,0.18019314110279083,0.17143414914608002,0.31648409366607666,0.18328288197517395,1.0000001192092896,0.18328288197517395,0.26869893074035645,0.15025977790355682
',0.18823795020580292,0.15973903238773346,0.17108602821826935,0.15042702853679657,0.2610379159450531,0.18603986501693726,0.4158826768398285,0.15335799753665924,0.4158826768398285,0.13643261790275574,0.330942302942276
"300,000",0.12202318757772446,0.00831170566380024,0.007400194648653269,-0.06357190012931824,0.17551185190677643,0.03892635926604271,0.1701154112815857,0.10801276564598083,0.1701154112815857,0.05564017966389656,0.05797545239329338
inhabitants,0.08514878153800964,0.1903092861175537,0.24573756754398346,0.22872526943683624,0.14336133003234863,0.26497191190719604,0.29904377460479736,0.2194194346666336,0.29904377460479736,0.2293168306350708,0.1312350630760193
.,0.3287222981452942,0.3974229395389557,0.3378238379955292,0.2666846215724945,0.3936232924461365,0.2547653317451477,0.5591574311256409,0.27051013708114624,0.5591574311256409,0.26093003153800964,0.4130953550338745
