,what,are,chloroplasts,in,mesophyll,cells,specialized,for,?
in,0.30808621644973755,0.3841303884983063,0.21141497790813446,1.0,0.25911617279052734,0.1711641103029251,0.27194300293922424,0.4322226941585541,0.20430970191955566
mesophyll,0.30341872572898865,0.2885928153991699,0.5719059109687805,0.25911617279052734,1.0,0.41817760467529297,0.3435616195201874,0.20509585738182068,0.19982145726680756
cells,0.1758001297712326,0.2908284366130829,0.6158713102340698,0.1711641103029251,0.41817760467529297,1.0,0.2915448844432831,0.18419811129570007,0.1898086667060852
",",0.3087472915649414,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.2800164520740509,0.4464869201183319,0.31091248989105225
chloroplasts,0.2524593770503998,0.3103833794593811,0.9999999403953552,0.21141497790813446,0.5719059109687805,0.6158713102340698,0.3050636351108551,0.22036349773406982,0.13049766421318054
are,0.29724663496017456,1.0,0.3103833794593811,0.3841303884983063,0.2885928153991699,0.2908284366130829,0.39048901200294495,0.3895993232727051,0.24591213464736938
specialized,0.1963823437690735,0.39048901200294495,0.3050636351108551,0.27194300293922424,0.3435616195201874,0.2915448844432831,1.0,0.2768101394176483,0.14791558682918549
for,0.3017193675041199,0.3895993232727051,0.22036349773406982,0.4322226941585541,0.20509585738182068,0.18419811129570007,0.2768101394176483,0.9999999403953552,0.264628142118454
the,0.42745697498321533,0.40399202704429626,0.23062430322170258,0.6662389636039734,0.28114423155784607,0.19095487892627716,0.2636861503124237,0.4739971458911896,0.22068053483963013
light,0.22953972220420837,0.21304044127464294,0.35485613346099854,0.1819845736026764,0.2857521176338196,0.2544333338737488,0.189223513007164,0.21351271867752075,0.17429810762405396
reactions,0.3074890077114105,0.28924426436424255,0.49385276436805725,0.22656582295894623,0.36160120368003845,0.39122405648231506,0.24701206386089325,0.2223917692899704,0.20989809930324554
",",0.3087472915649414,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.2800164520740509,0.4464869201183319,0.31091248989105225
so,0.539469838142395,0.420413613319397,0.3120802044868469,0.31275880336761475,0.2789875566959381,0.30749693512916565,0.2537239193916321,0.41512128710746765,0.43163934350013733
they,0.4431931674480438,0.610666811466217,0.37369829416275024,0.4330179989337921,0.331913024187088,0.3539968729019165,0.35896560549736023,0.3466525673866272,0.2753053903579712
lack,0.28247135877609253,0.32981225848197937,0.27657729387283325,0.18643079698085785,0.2728453278541565,0.22068817913532257,0.29227641224861145,0.3265889286994934,0.16953514516353607
rubisco,0.18222950398921967,0.22436395287513733,0.4362456798553467,0.2248697280883789,0.3401055932044983,0.320189893245697,0.1913059800863266,0.2383270561695099,0.14757676422595978
",",0.3087472915649414,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.2800164520740509,0.4464869201183319,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.21511349081993103,0.4954058527946472,0.31008413434028625,0.24033623933792114,0.31727203726768494,0.5064792633056641,0.20544172823429108
have,0.39808809757232666,0.6577680706977844,0.29091566801071167,0.36843645572662354,0.328703910112381,0.294906347990036,0.3252946734428406,0.41175219416618347,0.32991164922714233
normal,0.32813265919685364,0.3182310163974762,0.25289034843444824,0.25896620750427246,0.26399853825569153,0.3492223918437958,0.3632334768772125,0.2764380872249603,0.19617988169193268
grana,0.12482953071594238,0.1395915150642395,0.3270449638366699,0.14713047444820404,0.3428284525871277,0.26851826906204224,0.25909423828125,0.1989394873380661,0.1099926009774208
and,0.31309178471565247,0.48576638102531433,0.21511349081993103,0.4954058527946472,0.31008413434028625,0.24033623933792114,0.31727203726768494,0.5064792633056641,0.20544172823429108
thylakoids,0.18655724823474884,0.4048384726047516,0.6528801918029785,0.19204016029834747,0.6091500520706177,0.5044277906417847,0.29491281509399414,0.13837328553199768,0.17522360384464264
",",0.3087472915649414,0.4062570035457611,0.20794041454792023,0.5201468467712402,0.28956174850463867,0.20582014322280884,0.2800164520740509,0.4464869201183319,0.31091248989105225
