,what,organization,did,harvard,found,in,1900,?
following,0.2506418824195862,0.18644118309020996,0.28040066361427307,0.1494593620300293,0.16391567885875702,0.355264812707901,0.05028886720538139,0.1555173695087433
the,0.42745697498321533,0.311172217130661,0.34736719727516174,0.24496200680732727,0.3452354073524475,0.6662389636039734,0.12699992954730988,0.22068053483963013
american,0.1909721940755844,0.22149710357189178,0.21486236155033112,0.3106759190559387,0.10553547739982605,0.22871561348438263,0.08686739206314087,0.18877598643302917
civil,0.15091551840305328,0.20491209626197815,0.17288750410079956,0.2064313143491745,0.12838098406791687,0.26466667652130127,-0.0064325653947889805,0.1494513899087906
war,0.22516006231307983,0.24057811498641968,0.27422013878822327,0.20771680772304535,0.1251588612794876,0.29904094338417053,0.08742856234312057,0.15510529279708862
",",0.3087472915649414,0.1819751113653183,0.3015086054801941,0.2719281017780304,0.27385151386260986,0.5201468467712402,0.02436830848455429,0.31091248989105225
president,0.1870913952589035,0.2435222715139389,0.1801012009382248,0.2796068787574768,0.09850681573152542,0.18811661005020142,0.02111688256263733,0.14148259162902832
charles,0.18606366217136383,0.12452484667301178,0.11287324130535126,0.23010079562664032,0.15547841787338257,0.21346928179264069,-0.05423603951931,0.17366734147071838
w.,-0.0846915990114212,-0.03080638311803341,-0.0031738043762743473,0.07434789091348648,-0.05583895742893219,-0.029492290690541267,0.04991985484957695,-0.07353907823562622
eliot,0.20328496396541595,0.059192776679992676,0.18238410353660583,0.29813989996910095,0.1276858001947403,0.1935959905385971,-0.08421681076288223,0.2153647243976593
's,0.02692362666130066,0.033295970410108566,0.05069678649306297,-0.06887804716825485,0.005866709165275097,-0.037580832839012146,0.09648995846509933,-0.023395681753754616
long,0.28276848793029785,0.10851109772920609,0.20462055504322052,0.20110245048999786,0.21652808785438538,0.2759332060813904,-0.05411950871348381,0.19699987769126892
tenure,0.2016105353832245,0.2700478732585907,0.2287319153547287,0.28004249930381775,0.06490222364664078,0.1953071802854538,0.032792285084724426,0.19726786017417908
(,0.2411840260028839,0.1716907024383545,0.18979617953300476,0.2132066786289215,0.1583331823348999,0.3087427020072937,0.004364512860774994,0.40561532974243164
1869–1909,0.17139846086502075,0.23285531997680664,0.18506532907485962,0.08607833832502365,-0.07783029228448868,0.06377817690372467,0.5199720859527588,0.17179414629936218
),0.26259949803352356,0.19336465001106262,0.18584993481636047,0.226204052567482,0.16750772297382355,0.3326910734176636,0.03375213220715523,0.42300865054130554
