,what,was,the,last,name,of,the,designers,of,newcastle,'s,library,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3698786795139313,0.3171212375164032,0.733189046382904,1.0,0.25445735454559326,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.19920319318771362,0.22068053483963013
current,0.18294453620910645,0.20140352845191956,0.3314409554004669,0.192361980676651,0.24435840547084808,0.31470298767089844,0.3314409554004669,0.14928171038627625,0.31470298767089844,0.1954525262117386,0.004145179875195026,0.1052173376083374,0.12074550241231918
lit,0.06459251046180725,0.15626856684684753,0.20298683643341064,0.17730675637722015,0.19334723055362701,0.145862877368927,0.20298683643341064,0.06506810337305069,0.145862877368927,0.04311608150601387,0.0349702350795269,0.1268130987882614,0.14552001655101776
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.25967320799827576,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24519307911396027,0.5116966962814331,0.20204751193523407,0.06895173341035843,0.18451033532619476,0.20544172823429108
phil,0.09430112689733505,0.15864568948745728,0.1382283866405487,0.057647135108709335,0.013230320997536182,0.06419843435287476,0.1382283866405487,0.03738212585449219,0.06419843435287476,0.14195919036865234,0.04277448356151581,0.07427307218313217,0.14019250869750977
premises,0.2831939160823822,0.1727694272994995,0.2627373933792114,0.1733524203300476,0.12491876631975174,0.2692594528198242,0.2627373933792114,0.26137399673461914,0.2692594528198242,0.10113994777202606,0.007940050214529037,0.1784570962190628,0.17318350076675415
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.25959286093711853,0.1580192744731903,0.34038281440734863,0.3906462490558624,0.27430200576782227,0.34038281440734863,0.19883129000663757,0.007088581565767527,0.11420228332281113,0.17890112102031708
built,0.1554843783378601,0.3424932360649109,0.2950156033039093,0.1679733395576477,0.1812610775232315,0.23442776501178741,0.2950156033039093,0.3293561041355133,0.23442776501178741,0.21985043585300446,0.09241583198308945,0.1893543004989624,0.09449632465839386
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.19176839292049408,0.5696388483047485,0.19270820915699005,-0.037580832839012146,0.2101847380399704,0.20430970191955566
1825,0.17693786323070526,0.24118484556674957,0.183273583650589,0.18014557659626007,0.11778706312179565,0.15938137471675873,0.183273583650589,0.16832488775253296,0.15938137471675873,0.2520154118537903,0.07488319277763367,0.17212983965873718,0.17892885208129883
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.25967320799827576,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24519307911396027,0.5116966962814331,0.20204751193523407,0.06895173341035843,0.18451033532619476,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,1.0,0.3698786795139313,0.3171212375164032,0.733189046382904,1.0,0.25445735454559326,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.19920319318771362,0.22068053483963013
building,0.23529528081417084,0.237406387925148,0.3159640431404114,0.1223539188504219,0.13405893743038177,0.26200541853904724,0.3159640431404114,0.29018518328666687,0.26200541853904724,0.1980883926153183,0.004743766970932484,0.2920280396938324,0.13549931347370148
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.32424551248550415,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.24880798161029816,0.4069072902202606,0.25710436701774597,0.008974763564765453,0.1691625416278839,0.18412111699581146
designed,0.15902110934257507,0.28384989500045776,0.2559613883495331,0.07088781893253326,0.10677540302276611,0.2000347077846527,0.2559613883495331,0.7055220007896423,0.2000347077846527,0.15722429752349854,0.026795532554388046,0.21015587449073792,0.11213942617177963
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.24441376328468323,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.24634598195552826,0.3646814823150635,0.1767825335264206,-0.010884488001465797,0.17569513618946075,0.17966607213020325
john,0.18237407505512238,0.2875721752643585,0.2230520099401474,0.16796816885471344,0.12458125501871109,0.2407056987285614,0.2230520099401474,0.1388113796710968,0.2407056987285614,0.2701735198497772,-0.1023898646235466,0.19091595709323883,0.13162356615066528
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.25967320799827576,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.24519307911396027,0.5116966962814331,0.20204751193523407,0.06895173341035843,0.18451033532619476,0.20544172823429108
benjamin,0.18476101756095886,0.2437800019979477,0.2507040798664093,0.05808532238006592,0.12597016990184784,0.19692720472812653,0.2507040798664093,0.14813697338104248,0.19692720472812653,0.07359679788351059,-0.07152775675058365,0.15439939498901367,0.20336422324180603
green,0.16762696206569672,0.1478928029537201,0.24099771678447723,0.14935679733753204,0.12870781123638153,0.2225196659564972,0.24099771678447723,0.10610374063253403,0.2225196659564972,0.16354252398014069,0.07822670787572861,0.07281297445297241,0.11409882456064224
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.3548945486545563,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.21463781595230103,0.5352458953857422,0.2714749276638031,-0.003708066651597619,0.23675528168678284,0.4130953550338745
