,which,territory,did,jochi,try,to,protect,that,may,have,led,to,a,dispute,with,his,brothers,?
juzjani,0.1268954873085022,0.060845427215099335,0.17360061407089233,0.39917877316474915,0.14619076251983643,0.14966286718845367,0.11397900432348251,0.11392778903245926,0.22023390233516693,0.11337224394083023,0.15887866914272308,0.14966286718845367,0.20958513021469116,0.08966945111751556,0.10751865059137344,0.24692320823669434,0.2334109991788864,0.2084774672985077
suggests,0.36612892150878906,0.13198311626911163,0.27297231554985046,0.08457436412572861,0.23553039133548737,0.27666884660720825,0.21687646210193634,0.46395087242126465,0.25059986114501953,0.4777098000049591,0.24840624630451202,0.27666884660720825,0.3173498809337616,0.23390690982341766,0.2911204695701599,0.20002338290214539,0.12356438487768173,0.2323666214942932
that,0.6894589066505432,0.20377245545387268,0.47518548369407654,0.11676155030727386,0.39859604835510254,0.5436353087425232,0.324299156665802,1.0,0.4234136641025543,0.6182622313499451,0.20931211113929749,0.5436353087425232,0.47537946701049805,0.2636946141719818,0.4154358208179474,0.3173833191394806,0.19409087300300598,0.32716336846351624
the,0.6521818041801453,0.3000710904598236,0.34736719727516174,0.19898229837417603,0.28568562865257263,0.535392165184021,0.2559677064418793,0.5473989248275757,0.2694292366504669,0.40389683842658997,0.3267505168914795,0.535392165184021,0.5829201340675354,0.2852358818054199,0.4223487675189972,0.4394008219242096,0.2150324583053589,0.22068053483963013
disagreement,0.29963263869285583,0.29289740324020386,0.35056957602500916,0.0720721185207367,0.35610654950141907,0.31262901425361633,0.16519597172737122,0.40855637192726135,0.2261209636926651,0.3620246648788452,0.28494778275489807,0.31262901425361633,0.221236452460289,0.6221075057983398,0.34436866641044617,0.2781098783016205,0.15968698263168335,0.24755416810512543
arose,0.31413426995277405,0.16095386445522308,0.25403842329978943,0.1422613263130188,0.2010289877653122,0.25475776195526123,0.07155773043632507,0.3414453864097595,0.24490834772586823,0.3203626275062561,0.35219594836235046,0.25475776195526123,0.26280897855758667,0.26991334557533264,0.258729487657547,0.24015101790428162,0.20586545765399933,0.13046005368232727
from,0.38755592703819275,0.25426751375198364,0.20248863101005554,0.13800548017024994,0.2089950293302536,0.4069952368736267,0.20659200847148895,0.3477667272090912,0.23997589945793152,0.30702701210975647,0.2455430030822754,0.4069952368736267,0.322764128446579,0.14888392388820648,0.26272761821746826,0.3195365369319916,0.1371510773897171,0.19969791173934937
a,0.56894451379776,0.18926236033439636,0.2552328109741211,0.22165173292160034,0.2632726728916168,0.45503583550453186,0.21272259950637817,0.47537946701049805,0.29255667328834534,0.338716596364975,0.19072435796260834,0.45503583550453186,1.0,0.17193086445331573,0.3783375024795532,0.3497250974178314,0.19716104865074158,0.23916715383529663
quarrel,0.24060103297233582,0.09249389171600342,0.29740747809410095,0.1444338858127594,0.19582924246788025,0.24255411326885223,0.10638894140720367,0.24714110791683197,0.2067255824804306,0.20953738689422607,0.22162188589572906,0.24255411326885223,0.2108755111694336,0.27400147914886475,0.2196063995361328,0.40205031633377075,0.21394722163677216,0.15200042724609375
between,0.395174115896225,0.2550467550754547,0.16542956233024597,0.03775413706898689,0.19294294714927673,0.3639189600944519,0.1408335268497467,0.299440860748291,0.18371161818504333,0.3203330636024475,0.2233152538537979,0.3639189600944519,0.29385313391685486,0.37260645627975464,0.3829993009567261,0.15603972971439362,0.14107732474803925,0.12887074053287506
jochi,0.12476388365030289,0.1549568772315979,0.16607163846492767,1.0,0.13099484145641327,0.1702822893857956,0.06472276896238327,0.11676155030727386,0.21292808651924133,0.07508969306945801,0.1687362939119339,0.1702822893857956,0.22165173292160034,0.12648729979991913,0.15449680387973785,0.22831186652183533,0.16120342910289764,0.10597938299179077
and,0.506277859210968,0.278890460729599,0.34479495882987976,0.17898419499397278,0.359083354473114,0.48971283435821533,0.283433735370636,0.4731321930885315,0.34598252177238464,0.4711785912513733,0.2780643701553345,0.48971283435821533,0.3739250600337982,0.22863776981830597,0.5477725267410278,0.4234102666378021,0.28383347392082214,0.20544172823429108
his,0.32283493876457214,0.18494030833244324,0.3546801507472992,0.22831186652183533,0.2984049320220947,0.3715193271636963,0.17706423997879028,0.3173833191394806,0.17931339144706726,0.25689181685447693,0.30691808462142944,0.3715193271636963,0.3497250974178314,0.2178959846496582,0.33836179971694946,0.9999998807907104,0.36579272150993347,0.18075084686279297
brothers,0.2096787691116333,0.15761078894138336,0.2131693810224533,0.16120342910289764,0.18634328246116638,0.2244100421667099,0.1033305749297142,0.19409087300300598,0.14830568432807922,0.1777537614107132,0.22980494797229767,0.2244100421667099,0.19716104865074158,0.09046125411987305,0.2425897866487503,0.36579272150993347,1.0,0.11019307374954224
in,0.4840516746044159,0.2756796181201935,0.2593238651752472,0.20567668974399567,0.24484941363334656,0.45010748505592346,0.17026682198047638,0.435920387506485,0.3424151837825775,0.36843645572662354,0.2990247309207916,0.45010748505592346,0.539380669593811,0.2249964326620102,0.4080928862094879,0.3598145842552185,0.2192208170890808,0.20430970191955566
the,0.6521818041801453,0.3000710904598236,0.34736719727516174,0.19898229837417603,0.28568562865257263,0.535392165184021,0.2559677064418793,0.5473989248275757,0.2694292366504669,0.40389683842658997,0.3267505168914795,0.535392165184021,0.5829201340675354,0.2852358818054199,0.4223487675189972,0.4394008219242096,0.2150324583053589,0.22068053483963013
