,what,is,the,scenario,called,in,which,we,do,n't,change,our,greenhouse,gas,creation,practices,?
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.19913002848625183,0.45046308636665344,0.4330179989337921,0.5165667533874512,0.4968583285808563,0.4667694866657257,-0.1964540183544159,0.28888919949531555,0.33075419068336487,0.2410549521446228,0.2595048248767853,0.22273169457912445,0.269294410943985,0.2753053903579712
predict,0.33362334966659546,0.17815475165843964,0.18473787605762482,0.3445587754249573,0.20718593895435333,0.1826777160167694,0.32335519790649414,0.28775712847709656,0.29747313261032104,-0.05716237425804138,0.33647283911705017,0.21087096631526947,0.3349079489707947,0.23198436200618744,0.18843211233615875,0.28314945101737976,0.2019001543521881
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.30760133266448975,0.41604554653167725,0.435920387506485,0.6894589066505432,0.5259829759597778,0.44533252716064453,-0.130638986825943,0.3988441526889801,0.3767656981945038,0.28950396180152893,0.2489587664604187,0.3483982980251312,0.34443169832229614,0.32716336846351624
under,0.20154598355293274,0.21294879913330078,0.3348022699356079,0.08625251799821854,0.22955714166164398,0.2535393238067627,0.3235377371311188,0.1824716031551361,0.1541033536195755,-0.03726262226700783,0.19281025230884552,0.1260557621717453,0.10338764637708664,0.14294582605361938,0.24447038769721985,0.18772058188915253,0.18233340978622437
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.23857352137565613,0.4868806302547455,0.539380669593811,0.56894451379776,0.34842976927757263,0.26237669587135315,0.013574101030826569,0.3047741651535034,0.23281335830688477,0.2077552080154419,0.26485589146614075,0.26870065927505493,0.20966777205467224,0.23916715383529663
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.08185253292322159,0.00907047651708126,0.04765888676047325,0.05178012326359749,0.12382477521896362,0.06628920882940292,0.1096503809094429,0.04202215000987053,0.02531982958316803,0.007233236916363239,0.033798154443502426,0.06019286811351776,-0.010854057036340237,0.0685480609536171
business,0.21758167445659637,0.19332653284072876,0.2389037162065506,0.17802368104457855,0.22945508360862732,0.2298729121685028,0.2152334302663803,0.1698172390460968,0.24167226254940033,-0.044159840792417526,0.1735844612121582,0.18367870151996613,0.16376055777072906,0.15242408215999603,0.14430280029773712,0.31420472264289856,0.1545659303665161
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.17866197228431702,0.2827680706977844,0.3887844979763031,0.41006597876548767,0.26990577578544617,0.38329678773880005,-0.08284513652324677,0.37273192405700684,0.2448216825723648,0.21760986745357513,0.1669316291809082,0.18788519501686096,0.2525984048843384,0.27043893933296204
usual,0.2923804521560669,0.3031772971153259,0.3319869339466095,0.16739097237586975,0.27219158411026,0.2860795259475708,0.35303395986557007,0.2853071391582489,0.3398376703262329,-0.0763423815369606,0.3486400842666626,0.23481214046478271,0.18216580152511597,0.17756810784339905,0.1321282684803009,0.2915023863315582,0.19873492419719696
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.04645239934325218,0.021102847531437874,0.07432962208986282,-0.03332270681858063,0.04692836105823517,-0.00043653504690155387,0.017899289727211,0.0034500521142035723,-0.0064061954617500305,0.015791112557053566,0.05630357563495636,-0.06385795772075653,0.023278774693608284,0.018684765323996544
