,what,is,a,reason,for,the,movement,to,legalize,importing,medicines,from,other,countries,?
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.21220409870147705,0.4322226941585541,0.6662389636039734,0.26725053787231445,0.45010748505592346,0.3109974265098572,0.2097962200641632,0.19450289011001587,0.4274188280105591,0.39989137649536133,0.3027990758419037,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.29647648334503174,0.4739971458911896,1.0,0.339571475982666,0.535392165184021,0.25900739431381226,0.267599493265152,0.19131667912006378,0.40150508284568787,0.44152235984802246,0.33290645480155945,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.2732578217983246,0.1549525409936905,0.30487096309661865,0.34367692470550537,0.15926331281661987,0.2715383470058441,0.3419184684753418,0.17980718612670898,0.16287964582443237,0.27339106798171997,0.2444620579481125,0.38267436623573303,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.24708621203899384,0.19668298959732056,0.2496437132358551,0.3463578522205353,0.15724661946296692,0.2828785181045532,0.35831230878829956,0.17027972638607025,0.18900202214717865,0.24283263087272644,0.28788650035858154,0.4093204438686371,0.16272737085819244
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.24553878605365753,0.4464869201183319,0.4933079481124878,0.1862073689699173,0.44245919585227966,0.2776019871234894,0.3167475759983063,0.22480089962482452,0.39760664105415344,0.4446498453617096,0.2966555655002594,0.31091248989105225
there,0.35085538029670715,0.3904260993003845,0.4214206337928772,0.3664329946041107,0.3728419542312622,0.47025805711746216,0.18673110008239746,0.40669289231300354,0.2383386343717575,0.3057798147201538,0.24440579116344452,0.2965545952320099,0.5342466235160828,0.31948450207710266,0.29405656456947327
has,0.20338068902492523,0.5668748617172241,0.4670248031616211,0.3450135290622711,0.450642853975296,0.4177538752555847,0.18491831421852112,0.3619994819164276,0.25099897384643555,0.19503778219223022,0.16748416423797607,0.2621968984603882,0.3162766396999359,0.26221421360969543,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.3315402865409851,0.3334571421146393,0.39068686962127686,0.3563927710056305,0.15120309591293335,0.34945759177207947,0.24675706028938293,0.2913873791694641,0.1834292858839035,0.27624839544296265,0.34575363993644714,0.27339351177215576,0.24354910850524902
a,0.3320399522781372,0.658733606338501,1.0,0.29122111201286316,0.44038116931915283,0.5829201340675354,0.23380696773529053,0.45503583550453186,0.2262272834777832,0.2265884131193161,0.1863824725151062,0.322764128446579,0.2806335389614105,0.2672088146209717,0.23916715383529663
push,0.3135983347892761,0.1884135752916336,0.2631731927394867,0.283029168844223,0.19414381682872772,0.27820274233818054,0.26871350407600403,0.3226611018180847,0.18912743031978607,0.21147489547729492,0.1777375042438507,0.1587671935558319,0.27419841289520264,0.19363735616207123,0.19372594356536865
