,how,many,of,the,prior,super,bowl,mvps,appeared,together,at,the,pregame,show,?
in,0.2601168751716614,0.41474202275276184,0.5696388483047485,0.6662389636039734,0.24521231651306152,0.18576006591320038,0.17236235737800598,0.26881787180900574,0.31264984607696533,0.3252169191837311,0.4374977946281433,0.6662389636039734,0.2492779642343521,0.27595704793930054,0.20430970191955566
honor,0.14198820292949677,0.22120507061481476,0.27187082171440125,0.2633417248725891,0.17300137877464294,0.15657560527324677,0.2031942456960678,0.3490787744522095,0.16621920466423035,0.09776803851127625,0.16558460891246796,0.2633417248725891,0.21001866459846497,0.15994031727313995,0.1187526285648346
of,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.3183474540710449,0.14718765020370483,0.2243070751428604,0.2934083342552185,0.24007049202919006,0.26678720116615295,0.42558613419532776,0.733189046382904,0.21911495923995972,0.21383242309093475,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.33782097697257996,0.21959073841571808,0.21576224267482758,0.3439551889896393,0.30265679955482483,0.26662585139274597,0.457212895154953,1.0,0.314380943775177,0.319829523563385,0.22068053483963013
50th,0.09753132611513138,-0.010128241032361984,0.11716882884502411,0.19595111906528473,0.06760843098163605,0.14578431844711304,0.10496746003627777,0.13607607781887054,0.0545215830206871,0.06060817837715149,0.09623987972736359,0.19595111906528473,0.08089131861925125,0.13593152165412903,0.004919986240565777
super,0.11920704692602158,0.17302978038787842,0.14718765020370483,0.21959073841571808,0.22880366444587708,1.0000001192092896,0.4848237931728363,0.44042930006980896,0.23804286122322083,0.11187035590410233,0.11449114978313446,0.21959073841571808,0.32141372561454773,0.16737808287143707,0.166326642036438
bowl,0.1720007210969925,0.17932994663715363,0.2243070751428604,0.21576224267482758,0.22557669878005981,0.4848237931728363,1.0,0.5288981795310974,0.1632842868566513,0.11146485060453415,0.2709662914276123,0.21576224267482758,0.3160421550273895,0.19135026633739471,0.21118052303791046
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.27105793356895447,0.22322475910186768,0.1810409277677536,0.3481137454509735,0.30425316095352173,0.2912277579307556,0.38314947485923767,0.4933079481124878,0.2830631136894226,0.31928569078445435,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.33782097697257996,0.21959073841571808,0.21576224267482758,0.3439551889896393,0.30265679955482483,0.26662585139274597,0.457212895154953,1.0,0.314380943775177,0.319829523563385,0.22068053483963013
pregame,0.2910177409648895,0.2810673415660858,0.21911495923995972,0.314380943775177,0.2829519212245941,0.32141372561454773,0.3160421550273895,0.4871995151042938,0.32744941115379333,0.1441243290901184,0.2521696090698242,0.314380943775177,1.0,0.45175644755363464,0.249310702085495
