,who,directed,stormy,monday,?
the,0.3733934462070465,0.21284286677837372,0.312603622674942,0.2114151269197464,0.22068053483963013
city,0.21073515713214874,0.17926225066184998,0.15520928800106049,0.15446831285953522,0.13423943519592285
was,0.3318818509578705,0.257819801568985,0.21961896121501923,0.20968683063983917,0.18412111699581146
also,0.47919341921806335,0.2306162267923355,0.2629443407058716,0.2212068736553192,0.21848613023757935
backdrop,0.1394985318183899,0.23439353704452515,0.2603505551815033,0.23701772093772888,0.0841207504272461
to,0.42656609416007996,0.16784803569316864,0.21572521328926086,0.2069530338048935,0.29463258385658264
another,0.4379323124885559,0.16575317084789276,0.22782738506793976,0.1591777354478836,0.295511931180954
gangster,0.24339815974235535,0.37134289741516113,0.21825067698955536,0.22597083449363708,0.1425585150718689
film,0.16308167576789856,0.47292566299438477,0.19821640849113464,0.13312475383281708,0.16369038820266724
",",0.3365725874900818,0.2004583775997162,0.2702588140964508,0.28260287642478943,0.31091248989105225
the,0.3733934462070465,0.21284286677837372,0.312603622674942,0.2114151269197464,0.22068053483963013
1988,-0.03557491675019264,0.1357969045639038,0.1088523417711258,0.05604281276464462,0.08449683338403702
film,0.16308167576789856,0.47292566299438477,0.19821640849113464,0.13312475383281708,0.16369038820266724
noir,0.1409778892993927,0.31162023544311523,0.21300354599952698,0.15173426270484924,0.15349328517913818
thriller,0.20800071954727173,0.5738866329193115,0.24364140629768372,0.19836242496967316,0.1622210144996643
stormy,0.2098456621170044,0.16630785167217255,1.0,0.2241491675376892,0.1676838994026184
monday,0.11816827207803726,0.12019403278827667,0.2241491675376892,1.0000001192092896,0.21348176896572113
",",0.3365725874900818,0.2004583775997162,0.2702588140964508,0.28260287642478943,0.31091248989105225
directed,0.2511636018753052,1.0,0.16630785167217255,0.12019403278827667,0.1359327733516693
by,0.39727845788002014,0.41976529359817505,0.1943470984697342,0.11682796478271484,0.17966607213020325
mike,0.24931035935878754,0.26669105887413025,0.10406611114740372,0.21239380538463593,0.1076895147562027
figgis,0.32793426513671875,0.24875317513942719,0.2505757212638855,0.2642878592014313,0.34345677495002747
and,0.41279885172843933,0.229026198387146,0.3291032612323761,0.16313517093658447,0.20544172823429108
starring,0.22658158838748932,0.6693568825721741,0.2601346969604492,0.18813900649547577,0.13022364675998688
tommy,0.30253222584724426,0.25134721398353577,0.17634637653827667,0.17784470319747925,0.12281157821416855
lee,0.23078079521656036,0.2686542272567749,0.18772201240062714,0.10281479358673096,0.19113655388355255
jones,0.265706866979599,0.19932785630226135,0.1772482842206955,0.14487262070178986,0.1838836669921875
",",0.3365725874900818,0.2004583775997162,0.2702588140964508,0.28260287642478943,0.31091248989105225
melanie,0.2783428132534027,0.20275071263313293,0.1652866005897522,0.12279610335826874,0.11776889860630035
griffith,0.2608838975429535,0.2942773401737213,0.22208185493946075,0.20274557173252106,0.1313040554523468
",",0.3365725874900818,0.2004583775997162,0.2702588140964508,0.28260287642478943,0.31091248989105225
sting,0.27203214168548584,0.18885564804077148,0.2084907591342926,0.1403024047613144,0.17791864275932312
and,0.41279885172843933,0.229026198387146,0.3291032612323761,0.16313517093658447,0.20544172823429108
sean,0.33386048674583435,0.30760419368743896,0.2260948270559311,0.19021393358707428,0.22225424647331238
bean,0.16400575637817383,0.20427590608596802,0.17349117994308472,0.1803172379732132,0.2199403941631317
.,0.3541337847709656,0.21717123687267303,0.28233709931373596,0.2392650842666626,0.4130953550338745
