,which,border,does,the,megaregion,extend,over,?
the,0.6521818041801453,0.2856229841709137,0.35928019881248474,1.0,0.3822336196899414,0.29680711030960083,0.39856547117233276,0.22068053483963013
megaregion,0.27416422963142395,0.3794129490852356,0.18429696559906006,0.3822336196899414,1.0,0.2525463104248047,0.23029488325119019,0.28269416093826294
's,0.03856118768453598,-0.0324530154466629,-0.02895052544772625,-0.01540423184633255,-0.022056324407458305,-0.025791794061660767,0.016215575858950615,-0.023395681753754616
area,0.3276861011981964,0.32979926466941833,0.13779224455356598,0.37834644317626953,0.4588060975074768,0.2630578875541687,0.26123467087745667,0.12640461325645447
is,0.4457404911518097,0.22676031291484833,0.4403602182865143,0.5823672413825989,0.3491595685482025,0.21152131259441376,0.2159561663866043,0.22961433231830597
more,0.4639437198638916,0.1799546480178833,0.2897747755050659,0.39758381247520447,0.23153156042099,0.25342270731925964,0.452426552772522,0.27894994616508484
expansive,0.30812591314315796,0.16140885651111603,0.20034490525722504,0.31792211532592773,0.3134927749633789,0.4177669584751129,0.20240066945552826,0.16035804152488708
",",0.3658004403114319,0.2548258304595947,0.28617382049560547,0.4933079481124878,0.3097497522830963,0.24409228563308716,0.3301127254962921,0.31091248989105225
extending,0.3870546519756317,0.34373897314071655,0.27202004194259644,0.39961886405944824,0.2985013723373413,0.8019948601722717,0.3448512554168701,0.16590118408203125
east,0.22817298769950867,0.38017842173576355,0.1668700873851776,0.3383176326751709,0.3249981701374054,0.23328223824501038,0.20577742159366608,0.10070597380399704
into,0.4405161738395691,0.19515858590602875,0.22312942147254944,0.39493247866630554,0.16670683026313782,0.24475780129432678,0.372319757938385,0.15662476420402527
las,0.18011143803596497,0.16895000636577606,0.10904962569475174,0.1904275119304657,0.24017451703548431,0.08279860764741898,0.14082132279872894,0.14319516718387604
vegas,0.17651423811912537,0.13226810097694397,0.14894260466098785,0.17570072412490845,0.20579715073108673,0.06300552934408188,0.1533738523721695,0.16835808753967285
",",0.3658004403114319,0.2548258304595947,0.28617382049560547,0.4933079481124878,0.3097497522830963,0.24409228563308716,0.3301127254962921,0.31091248989105225
nevada,0.17627978324890137,0.23509344458580017,0.10177894681692123,0.22916007041931152,0.28853079676628113,0.14272631704807281,0.13618417084217072,0.14885103702545166
",",0.3658004403114319,0.2548258304595947,0.28617382049560547,0.4933079481124878,0.3097497522830963,0.24409228563308716,0.3301127254962921,0.31091248989105225
and,0.506277859210968,0.29048892855644226,0.3461615741252899,0.5171257257461548,0.3039901852607727,0.23680256307125092,0.4021143913269043,0.20544172823429108
south,0.24635352194309235,0.3324122130870819,0.11284814029932022,0.3129390776157379,0.34619140625,0.2150885909795761,0.21717076003551483,0.12336621433496475
across,0.3903377950191498,0.2932276129722595,0.17146113514900208,0.3816230297088623,0.24684835970401764,0.24988999962806702,0.5544044375419617,0.17034576833248138
the,0.6521818041801453,0.2856229841709137,0.35928019881248474,1.0,0.3822336196899414,0.29680711030960083,0.39856547117233276,0.22068053483963013
mexican,0.1910259872674942,0.16226749122142792,0.08203662931919098,0.22263213992118835,0.20066937804222107,0.043571677058935165,0.186860591173172,0.12479566037654877
border,0.2530149221420288,0.9999998807907104,0.17243514955043793,0.2856229841709137,0.3794129490852356,0.2561827301979065,0.2345421314239502,0.1706928312778473
into,0.4405161738395691,0.19515858590602875,0.22312942147254944,0.39493247866630554,0.16670683026313782,0.24475780129432678,0.372319757938385,0.15662476420402527
tijuana,0.19306014478206635,0.18826311826705933,0.13977114856243134,0.2733190357685089,0.21817255020141602,0.09910734742879868,0.19954349100589752,0.15666140615940094
.,0.45942068099975586,0.26349708437919617,0.3022993505001068,0.5934505462646484,0.36361199617385864,0.23276987671852112,0.37877383828163147,0.4130953550338745
