,where,was,itv,tyne,tees,based,for,over,40,years,?
itv,0.16116434335708618,0.17489363253116608,0.9999999403953552,0.3386492133140564,0.34435081481933594,0.15870526432991028,0.18492071330547333,0.20234796404838562,-0.08998964726924896,0.14903239905834198,0.16615986824035645
tyne,0.14707863330841064,0.2610088884830475,0.3386492133140564,1.0,0.4651353657245636,0.21142704784870148,0.2389632761478424,0.15248844027519226,-0.06116044521331787,0.07704108208417892,0.07377036660909653
tees,0.16754357516765594,0.11035659909248352,0.34435081481933594,0.4651353657245636,0.9999999403953552,0.1487300843000412,0.1395597755908966,0.1661674827337265,-0.046609558165073395,0.16279850900173187,0.0797693207859993
was,0.20731619000434875,1.0000001192092896,0.17489363253116608,0.2610088884830475,0.11035659909248352,0.2870393395423889,0.3863949179649353,0.24486446380615234,-0.03814153000712395,0.35855233669281006,0.18412111699581146
based,0.20940464735031128,0.2870393395423889,0.15870526432991028,0.21142704784870148,0.1487300843000412,1.0000001192092896,0.2761107087135315,0.14253529906272888,0.04754621908068657,0.14337651431560516,0.134929820895195
at,0.4402937591075897,0.36707764863967896,0.13201159238815308,0.23394639790058136,0.260907381772995,0.17453226447105408,0.34237727522850037,0.34008997678756714,-0.1162547841668129,0.2851444482803345,0.21978627145290375
city,0.2686662971973419,0.3188765048980713,0.18219627439975739,0.31266966462135315,0.24209856986999512,0.20024986565113068,0.18687109649181366,0.19206887483596802,-0.0383557565510273,0.17960485816001892,0.13423943519592285
road,0.18542753159999847,0.21728332340717316,0.1834469437599182,0.22028806805610657,0.2894890606403351,0.18955618143081665,0.19324645400047302,0.2059442102909088,-0.022953446954488754,0.1654035747051239,0.10894691944122314
for,0.38599511981010437,0.3863949179649353,0.18492071330547333,0.2389632761478424,0.1395597755908966,0.2761107087135315,0.9999999403953552,0.3419422209262848,-0.02182970941066742,0.2878222167491913,0.264628142118454
over,0.33514800667762756,0.24486446380615234,0.20234796404838562,0.15248844027519226,0.1661674827337265,0.14253529906272888,0.3419422209262848,1.0,-0.018719511106610298,0.3751278817653656,0.25742942094802856
40,-0.057704586535692215,-0.03814153000712395,-0.08998964726924896,-0.06116044521331787,-0.046609558165073395,0.04754621908068657,-0.02182970941066742,-0.018719511106610298,1.0,-0.04622427001595497,0.010195288807153702
years,0.26697102189064026,0.35855233669281006,0.14903239905834198,0.07704108208417892,0.16279850900173187,0.14337651431560516,0.2878222167491913,0.3751278817653656,-0.04622427001595497,1.0,0.1914375126361847
after,0.31753596663475037,0.49306565523147583,0.18325328826904297,0.12076174467802048,0.12242249399423599,0.17432904243469238,0.3650246858596802,0.3694296181201935,-0.07369223237037659,0.38036108016967773,0.16608688235282898
its,0.27530840039253235,0.3518870174884796,0.26818448305130005,0.2083406299352646,0.16388113796710968,0.23942553997039795,0.2992613911628723,0.36371928453445435,-0.14415113627910614,0.17322497069835663,0.15103481709957123
launch,0.1712661236524582,0.22367219626903534,0.24882596731185913,0.16695037484169006,0.1072213426232338,0.18230096995830536,0.25149083137512207,0.20327526330947876,-0.14796362817287445,0.19179457426071167,0.22009649872779846
in,0.5344807505607605,0.45514053106307983,0.2177819013595581,0.20370638370513916,0.22200043499469757,0.3070422410964966,0.4322226941585541,0.3605569899082184,-0.058843277394771576,0.33554986119270325,0.20430970191955566
january,0.1682938039302826,0.3933098316192627,0.16305522620677948,0.13059400022029877,0.12530280649662018,0.20843076705932617,0.27304044365882874,0.16228726506233215,-0.005878444295376539,0.2262779027223587,0.28608936071395874
1959,0.10161788016557693,0.050907593220472336,-0.05367399752140045,0.027035554870963097,-0.010176562704145908,0.05698185786604881,0.08220482617616653,0.12851570546627045,-0.01494467630982399,0.05750442296266556,0.07245876640081406
.,0.41390106081962585,0.40146201848983765,0.2164604514837265,0.1918487399816513,0.2059207260608673,0.29699069261550903,0.4726039469242096,0.37877383828163147,-0.0721147358417511,0.31919315457344055,0.4130953550338745
