,at,the,time,of,its,formation,",",how,many,congregations,did,the,umc,have,?
at,1.0,0.457212895154953,0.3956010341644287,0.42558613419532776,0.2685394287109375,0.17016786336898804,0.38314947485923767,0.2154216170310974,0.2716965675354004,0.18347705900669098,0.28390252590179443,0.457212895154953,0.1896803230047226,0.29004791378974915,0.21978627145290375
the,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,0.559237003326416,0.33687281608581543,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.28595808148384094,0.34736719727516174,1.0,0.21262750029563904,0.40389683842658997,0.22068053483963013
time,0.3956010341644287,0.43061500787734985,0.9999998807907104,0.35127586126327515,0.2819722294807434,0.17023397982120514,0.3029961884021759,0.35346719622612,0.3523001968860626,0.203555628657341,0.3567926585674286,0.43061500787734985,0.1315293312072754,0.3659670352935791,0.27391523122787476
of,0.42558613419532776,0.733189046382904,0.35127586126327515,1.0,0.48690423369407654,0.2957320809364319,0.4946078956127167,0.2480744868516922,0.37253960967063904,0.2844245731830597,0.2513895630836487,0.733189046382904,0.18128293752670288,0.3802283704280853,0.1826142966747284
its,0.2685394287109375,0.559237003326416,0.2819722294807434,0.48690423369407654,1.0,0.2784890830516815,0.33157986402511597,0.22449488937854767,0.3319723308086395,0.15925699472427368,0.19922670722007751,0.559237003326416,0.13618949055671692,0.3852778375148773,0.15103481709957123
formation,0.17016786336898804,0.33687281608581543,0.17023397982120514,0.2957320809364319,0.2784890830516815,1.0000001192092896,0.24612528085708618,0.14995892345905304,0.16461032629013062,0.28094449639320374,0.1121787428855896,0.33687281608581543,0.09208530932664871,0.22649791836738586,0.09831923991441727
",",0.38314947485923767,0.4933079481124878,0.3029961884021759,0.4946078956127167,0.33157986402511597,0.24612528085708618,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.23915895819664001,0.3015086054801941,0.4933079481124878,0.1953766793012619,0.3541618287563324,0.31091248989105225
the,0.457212895154953,1.0,0.43061500787734985,0.733189046382904,0.559237003326416,0.33687281608581543,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.28595808148384094,0.34736719727516174,1.0,0.21262750029563904,0.40389683842658997,0.22068053483963013
umc,0.1896803230047226,0.21262750029563904,0.1315293312072754,0.18128293752670288,0.13618949055671692,0.09208530932664871,0.1953766793012619,0.20860494673252106,0.18203456699848175,0.33521756529808044,0.2041155844926834,0.21262750029563904,1.0,0.26201900839805603,0.2609967589378357
had,0.3288320302963257,0.3875846862792969,0.34488338232040405,0.37755560874938965,0.32081788778305054,0.17448095977306366,0.35487717390060425,0.2549138069152832,0.40130746364593506,0.2247430980205536,0.540525496006012,0.3875846862792969,0.1339196115732193,0.6263401508331299,0.20728366076946259
about,0.3110121488571167,0.37995871901512146,0.305572509765625,0.40939709544181824,0.3361809253692627,0.20860981941223145,0.3877100944519043,0.44264400005340576,0.3800397515296936,0.15405622124671936,0.28723078966140747,0.37995871901512146,0.15640805661678314,0.3940475583076477,0.302409827709198
11,-0.049403801560401917,-0.0219515822827816,0.0010674382792785764,-0.022359032183885574,0.04762215539813042,0.008261319249868393,0.049171943217515945,0.04696422442793846,0.13612139225006104,-0.10873325169086456,0.07614340633153915,-0.0219515822827816,-0.13688859343528748,0.051798705011606216,-0.04295448586344719
million,0.189541757106781,0.277012437582016,0.2323409467935562,0.21686489880084991,0.2865995168685913,0.251254141330719,0.24451690912246704,0.21114659309387207,0.3520967364311218,0.23987233638763428,0.1815238744020462,0.277012437582016,0.13582287728786469,0.28469452261924744,0.23092924058437347
members,0.15071316063404083,0.3321719169616699,0.18101826310157776,0.28120753169059753,0.2307392805814743,0.21145090460777283,0.2357054501771927,0.20418256521224976,0.25127971172332764,0.38909053802490234,0.21391335129737854,0.3321719169616699,0.2014501541852951,0.2992980480194092,0.10212311148643494
in,0.4374977946281433,0.6662389636039734,0.3431483507156372,0.5696388483047485,0.3793783485889435,0.27297577261924744,0.5201468467712402,0.2601168751716614,0.41474202275276184,0.23420320451259613,0.2593238651752472,0.6662389636039734,0.15436193346977234,0.36843645572662354,0.20430970191955566
nearly,0.2861156165599823,0.3409946858882904,0.2780873775482178,0.3455437123775482,0.34933415055274963,0.23390468955039978,0.3248783051967621,0.23273618519306183,0.4278171956539154,0.18177498877048492,0.2667127847671509,0.3409946858882904,0.04744202643632889,0.3934932351112366,0.11670064926147461
"42,000",-0.15710249543190002,-0.14455360174179077,-0.12878915667533875,-0.09087607264518738,-0.20728488266468048,-0.19453857839107513,-0.13459235429763794,-0.0626453384757042,-0.10444972664117813,-0.07031003385782242,-0.03798050433397293,-0.14455360174179077,-0.01566907949745655,-0.10568375140428543,-0.053929124027490616
congregations,0.18347705900669098,0.28595808148384094,0.203555628657341,0.2844245731830597,0.15925699472427368,0.28094449639320374,0.23915895819664001,0.14111115038394928,0.31751418113708496,1.0000001192092896,0.19284383952617645,0.28595808148384094,0.33521756529808044,0.24291972815990448,0.18817296624183655
.,0.4549728035926819,0.5934505462646484,0.371569961309433,0.5352458953857422,0.3566088080406189,0.23124639689922333,0.6812511086463928,0.3287222981452942,0.3974229395389557,0.2834881842136383,0.35288307070732117,0.5934505462646484,0.23154163360595703,0.41614407300949097,0.4130953550338745
