,when,was,the,rhine,measurement,corrected,back,to,the,original,?
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.2747146487236023,0.25981056690216064,0.3612101674079895,0.535392165184021,1.0,0.4037000238895416,0.22068053483963013
error,0.27768537402153015,0.15878652036190033,0.1961134821176529,0.05581003800034523,0.3077080547809601,0.4295758605003357,0.16257120668888092,0.23290769755840302,0.1961134821176529,0.19689472019672394,0.2543688118457794
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.18681856989860535,0.1753922402858734,0.2637483775615692,0.2438982129096985,0.3636345863342285,0.48711544275283813,0.32203906774520874,0.18412111699581146
discovered,0.2527843117713928,0.3177400529384613,0.27493247389793396,0.12577007710933685,0.2826305627822876,0.2866901159286499,0.17877843976020813,0.17764629423618317,0.27493247389793396,0.15625488758087158,0.08452875912189484
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.2026844471693039,0.24417230486869812,0.25397348403930664,0.45010748505592346,0.6662389636039734,0.2534193694591522,0.20430970191955566
2010,0.1552559733390808,0.23825319111347198,0.31722962856292725,0.2813110053539276,-0.021921295672655106,0.13171881437301636,0.2457870990037918,0.3413967490196228,0.31722962856292725,0.19030041992664337,0.21232788264751434
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.167837992310524,0.204771026968956,0.282312273979187,0.3066370487213135,0.44245919585227966,0.4933079481124878,0.23508994281291962,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.22029656171798706,0.21142558753490448,0.23781725764274597,0.32774487137794495,0.48971283435821533,0.5171257257461548,0.29575109481811523,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.2747146487236023,0.25981056690216064,0.3612101674079895,0.535392165184021,1.0,0.4037000238895416,0.22068053483963013
dutch,0.13281308114528656,0.2182149887084961,0.1705695390701294,0.31772172451019287,0.14459562301635742,0.12177406251430511,0.11632443219423294,0.1383991241455078,0.1705695390701294,0.12017986923456192,0.1081366017460823
rijkswaterstaat,0.1974494904279709,0.2445317953824997,0.260856032371521,0.4590388834476471,0.21657228469848633,0.14471158385276794,0.158094584941864,0.17649799585342407,0.260856032371521,0.17732997238636017,0.2545055150985718
confirms,0.20439413189888,0.20217595994472504,0.2934320271015167,0.22413332760334015,0.21160611510276794,0.2945763170719147,0.1539101004600525,0.248173326253891,0.2934320271015167,0.18144819140434265,0.25186794996261597
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.2747146487236023,0.25981056690216064,0.3612101674079895,0.535392165184021,1.0,0.4037000238895416,0.22068053483963013
length,0.1391945332288742,0.13514478504657745,0.26581600308418274,0.20094704627990723,0.42692387104034424,0.17649371922016144,0.16883817315101624,0.19374629855155945,0.26581600308418274,0.21699756383895874,0.16668567061424255
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.19469857215881348,0.2214486300945282,0.2805417776107788,0.2632777690887451,0.36524343490600586,0.457212895154953,0.15838190913200378,0.21978627145290375
"1,232",0.01916538178920746,0.03406134992837906,0.20284973084926605,0.26889392733573914,0.1412048041820526,0.06582905352115631,-0.027406491339206696,0.08435940742492676,0.20284973084926605,0.144331157207489,0.04398540407419205
kilometres,0.15814067423343658,0.16915541887283325,0.26219841837882996,0.2998743951320648,0.30507776141166687,0.16625265777111053,0.1799519956111908,0.24676118791103363,0.26219841837882996,0.12664395570755005,0.09185487031936646
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.12381801009178162,0.23249028623104095,0.2812874913215637,0.24142900109291077,0.30882009863853455,0.33289089798927307,0.24095207452774048,0.40561532974243164
766,0.1918470859527588,0.0506550669670105,0.12672175467014313,0.2192327082157135,0.1630905121564865,0.06844141334295273,0.15147660672664642,0.11602774262428284,0.12672175467014313,0.0426868200302124,0.07014891505241394
miles,0.18827781081199646,0.1818082183599472,0.25706055760383606,0.18265488743782043,0.28098374605178833,0.1291990429162979,0.20095543563365936,0.2342754453420639,0.25706055760383606,0.13134098052978516,0.09363767504692078
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.12686386704444885,0.2277601659297943,0.26985013484954834,0.2371533066034317,0.31236231327056885,0.3456730246543884,0.24932408332824707,0.42300865054130554
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2089352011680603,0.2378474473953247,0.24778050184249878,0.3154444992542267,0.4645031690597534,0.5934505462646484,0.275844931602478,0.4130953550338745
