,what,is,the,dutch,name,for,the,rhine,?
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.15860356390476227,0.2635002136230469,0.314039945602417,0.40150508284568787,0.2181936800479889,0.19969791173934937
here,0.5220553874969482,0.3368209898471832,0.37885698676109314,0.1554485559463501,0.22922948002815247,0.3840431272983551,0.37885698676109314,0.20670028030872345,0.5686008334159851
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23674406111240387,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.1705695390701294,0.3171212375164032,0.4739971458911896,1.0,0.30735138058662415,0.22068053483963013
situation,0.4481324255466461,0.2855897843837738,0.29657405614852905,0.14943502843379974,0.13073238730430603,0.2939284145832062,0.29657405614852905,0.22464416921138763,0.2714049518108368
becomes,0.15717560052871704,0.3528205454349518,0.2601490020751953,0.07338984310626984,0.18366219103336334,0.13744130730628967,0.2601490020751953,0.05383241921663284,0.1751440465450287
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.09296806156635284,0.15184196829795837,0.3891189992427826,0.39758381247520447,0.14227862656116486,0.27894994616508484
complicated,0.34040677547454834,0.23908744752407074,0.2161325067281723,0.16347095370292664,0.10966045409440994,0.28194913268089294,0.2161325067281723,0.0897168517112732,0.23008595407009125
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23674406111240387,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.167837992310524,0.31091248989105225
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.20572681725025177,0.2851914167404175,0.44774648547172546,0.48381632566452026,0.18380387127399445,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.1705695390701294,0.3171212375164032,0.4739971458911896,1.0,0.30735138058662415,0.22068053483963013
dutch,0.1643560230731964,0.12900666892528534,0.1705695390701294,0.9999999403953552,0.16558535397052765,0.1401536464691162,0.1705695390701294,0.31772172451019287,0.1081366017460823
name,0.18623162806034088,0.3359788954257965,0.3171212375164032,0.16558535397052765,1.0,0.25737348198890686,0.3171212375164032,0.12217257916927338,0.15381577610969543
rijn,0.12599071860313416,0.14968563616275787,0.15022686123847961,0.5191881060600281,0.12630204856395721,0.14207713305950165,0.15022686123847961,0.41360682249069214,0.15792600810527802
no,0.339326947927475,0.19581134617328644,0.3461136817932129,0.11170374602079391,0.21853291988372803,0.306581974029541,0.3461136817932129,0.11201126873493195,0.32165053486824036
longer,0.3188037574291229,0.2545848786830902,0.361417293548584,0.12105969339609146,0.19350393116474152,0.33661994338035583,0.361417293548584,0.16533789038658142,0.24416615068912506
coincides,0.2640845477581024,0.25001442432403564,0.3217756748199463,0.025603987276554108,0.1630515307188034,0.2539154887199402,0.3217756748199463,0.19295544922351837,0.205794095993042
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.11541517823934555,0.17897967994213104,0.39140474796295166,0.4223487675189972,0.18184249103069305,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.1705695390701294,0.3171212375164032,0.4739971458911896,1.0,0.30735138058662415,0.22068053483963013
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.14589114487171173,0.19928081333637238,0.27491986751556396,0.38631999492645264,0.23040270805358887,0.1665669083595276
flow,0.1798735409975052,0.26788079738616943,0.314039409160614,0.10914407670497894,0.10209416598081589,0.1708725541830063,0.314039409160614,0.20253489911556244,0.10458291321992874
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.14408773183822632,0.24075818061828613,0.4185989499092102,0.733189046382904,0.2548927664756775,0.1826142966747284
water,0.17456887662410736,0.2879090905189514,0.297396719455719,0.1223379522562027,0.1251494139432907,0.189085453748703,0.297396719455719,0.18943050503730774,0.14731885492801666
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2196396291255951,0.24737101793289185,0.4726039469242096,0.5934505462646484,0.2089352011680603,0.4130953550338745
