,what,genre,of,music,is,lindisfarne,classified,as,?
lindisfarne,0.21988147497177124,0.10035641491413116,0.30141833424568176,0.1841784417629242,0.20281066000461578,1.0000001192092896,0.07781894505023956,0.22230227291584015,0.10014257580041885
are,0.29724663496017456,0.09244630485773087,0.39081433415412903,0.16130340099334717,0.5330929756164551,0.17869043350219727,0.3116118311882019,0.3826591968536377,0.24591213464736938
a,0.3320399522781372,0.3104410171508789,0.5052502155303955,0.2234005630016327,0.658733606338501,0.21330563724040985,0.24269431829452515,0.39550232887268066,0.23916715383529663
folk-rock,0.2848675847053528,0.45484018325805664,0.31121528148651123,0.4582953155040741,0.2720138728618622,0.3425646424293518,0.2268742322921753,0.2729252576828003,0.27634209394454956
group,0.2114069163799286,0.1651298850774765,0.25542253255844116,0.20819354057312012,0.22153858840465546,0.14403794705867767,0.3473820686340332,0.2519444227218628,0.13827809691429138
with,0.2464839518070221,0.16096919775009155,0.41827285289764404,0.23035649955272675,0.3250955045223236,0.1900901347398758,0.1754152923822403,0.40387406945228577,0.2433311939239502
a,0.3320399522781372,0.3104410171508789,0.5052502155303955,0.2234005630016327,0.658733606338501,0.21330563724040985,0.24269431829452515,0.39550232887268066,0.23916715383529663
strong,0.19839218258857727,0.13111145794391632,0.2524286210536957,0.11038228869438171,0.24643836915493011,0.18087998032569885,0.12471907585859299,0.29006344079971313,0.11990999430418015
tyneside,0.22811484336853027,0.15846087038516998,0.3008047938346863,0.2380729466676712,0.2628800868988037,0.407449871301651,0.15375739336013794,0.307264506816864,0.10805024206638336
connection,0.24457211792469025,0.23524412512779236,0.21908310055732727,0.19316351413726807,0.2946256697177887,0.19110845029354095,0.18693453073501587,0.16347207129001617,0.1714525669813156
.,0.3567904531955719,0.22309662401676178,0.5352458953857422,0.3013017475605011,0.4569662809371948,0.23555704951286316,0.22738878428936005,0.515582263469696,0.4130953550338745
