,the,west,saw,the,east,as,what,?
defining,0.3161003887653351,0.1458771526813507,0.17250053584575653,0.3161003887653351,0.11581950634717941,0.31315749883651733,0.3507429361343384,0.24434328079223633
the,1.0,0.32918402552604675,0.318278044462204,1.0,0.3383176326751709,0.48381632566452026,0.42745697498321533,0.22068053483963013
east,0.3383176326751709,0.7585000991821289,0.1605989933013916,0.3383176326751709,1.0000001192092896,0.19617025554180145,0.19840149581432343,0.10070597380399704
as,0.48381632566452026,0.1651858687400818,0.2733803391456604,0.48381632566452026,0.19617025554180145,1.0,0.31749409437179565,0.27043893933296204
a,0.5829201340675354,0.2258862406015396,0.2244260609149933,0.5829201340675354,0.18767057359218597,0.39550232887268066,0.3320399522781372,0.23916715383529663
negative,0.1981879472732544,0.13274191319942474,0.17725032567977905,0.1981879472732544,0.08748012036085129,0.20187623798847198,0.23431497812271118,0.12562139332294464
vision,0.21418730914592743,0.05015469714999199,0.25959476828575134,0.21418730914592743,0.09015394002199173,0.1635979264974594,0.29409441351890564,0.15763504803180695
of,0.733189046382904,0.2891985774040222,0.28204935789108276,0.733189046382904,0.314786434173584,0.3886612355709076,0.33290785551071167,0.1826142966747284
itself,0.45971640944480896,0.1942136138677597,0.15538568794727325,0.45971640944480896,0.2359737604856491,0.2946869432926178,0.3625122308731079,0.17933900654315948
",",0.4933079481124878,0.28857502341270447,0.2245745062828064,0.4933079481124878,0.319791704416275,0.48816442489624023,0.3087472915649414,0.31091248989105225
as,0.48381632566452026,0.1651858687400818,0.2733803391456604,0.48381632566452026,0.19617025554180145,1.0,0.31749409437179565,0.27043893933296204
its,0.559237003326416,0.24631395936012268,0.2010112851858139,0.559237003326416,0.2461509257555008,0.31874480843544006,0.30393704771995544,0.15103481709957123
inferior,0.26365524530410767,0.1955636888742447,0.20711390674114227,0.26365524530410767,0.14011317491531372,0.19410796463489532,0.30428844690322876,0.10856961458921432
",",0.4933079481124878,0.28857502341270447,0.2245745062828064,0.4933079481124878,0.319791704416275,0.48816442489624023,0.3087472915649414,0.31091248989105225
not,0.4310511648654938,0.13558970391750336,0.2524542212486267,0.4310511648654938,0.17058958113193512,0.5105602741241455,0.5449194312095642,0.41942933201789856
only,0.5497692227363586,0.20350892841815948,0.3116254508495331,0.5497692227363586,0.24212482571601868,0.41781148314476013,0.41415658593177795,0.2767370045185089
increased,0.3188653886318207,0.18759147822856903,0.22042010724544525,0.3188653886318207,0.22244864702224731,0.21772481501102448,0.1599731743335724,0.09587585180997849
the,1.0,0.32918402552604675,0.318278044462204,1.0,0.3383176326751709,0.48381632566452026,0.42745697498321533,0.22068053483963013
