,what,role,did,michael,oppenheimer,have,in,the,ipcc,'s,reports,?
michael,0.12049687653779984,0.13044710457324982,0.14375849068164825,0.9999999403953552,0.28173962235450745,0.1506715565919876,0.2203132063150406,0.21768254041671753,0.16731490194797516,-0.037305716425180435,0.11613285541534424,0.0667748749256134
oppenheimer,0.24552638828754425,0.18143804371356964,0.19551843404769897,0.28173962235450745,1.0000001192092896,0.18048077821731567,0.25397396087646484,0.22377723455429077,0.3620257079601288,-0.01576823741197586,0.22691889107227325,0.24337561428546906
",",0.3087472915649414,0.199491485953331,0.3015086054801941,0.23383702337741852,0.36348146200180054,0.3541618287563324,0.5201468467712402,0.4933079481124878,0.15590040385723114,-0.0016132977325469255,0.2661382555961609,0.31091248989105225
a,0.3320399522781372,0.22880133986473083,0.2552328109741211,0.21851083636283875,0.28151342272758484,0.338716596364975,0.539380669593811,0.5829201340675354,0.12244262546300888,0.04866964742541313,0.20210447907447815,0.23916715383529663
long-time,0.25877851247787476,0.22194494307041168,0.22892974317073822,0.25356653332710266,0.26285871863365173,0.3041612207889557,0.3012809753417969,0.3677595555782318,0.24564030766487122,0.10348895937204361,0.24479570984840393,0.2553507387638092
participant,0.2155882716178894,0.255776971578598,0.2045585960149765,0.12591245770454407,0.2134111225605011,0.20974770188331604,0.2945854067802429,0.2642895579338074,0.2528334856033325,0.11262732744216919,0.1776745766401291,0.150935098528862
in,0.30808621644973755,0.243671715259552,0.2593238651752472,0.2203132063150406,0.25397396087646484,0.36843645572662354,1.0,0.6662389636039734,0.1257958561182022,-0.037580832839012146,0.2124374359846115,0.20430970191955566
the,0.42745697498321533,0.26607486605644226,0.34736719727516174,0.21768254041671753,0.22377723455429077,0.40389683842658997,0.6662389636039734,1.0,0.24925659596920013,-0.01540423184633255,0.2622474431991577,0.22068053483963013
ipcc,0.33176189661026,0.14771991968154907,0.2459706962108612,0.16731490194797516,0.3620257079601288,0.28303688764572144,0.1257958561182022,0.24925659596920013,1.0000001192092896,0.010160183534026146,0.375255823135376,0.22295254468917847
and,0.31309178471565247,0.2629789710044861,0.34479495882987976,0.15943403542041779,0.295631468296051,0.4711785912513733,0.4954058527946472,0.5171257257461548,0.20790739357471466,0.06895173341035843,0.27791884541511536,0.20544172823429108
coordinating,0.21193422377109528,0.16775822639465332,0.11774664372205734,0.09907305240631104,0.16578765213489532,0.24265418946743011,0.22571831941604614,0.2802852392196655,0.3092964291572571,-0.022083109244704247,0.2511087656021118,0.16846343874931335
lead,0.19642074406147003,0.292355477809906,0.2009882926940918,0.1995178908109665,0.21163377165794373,0.2380237728357315,0.2055644989013672,0.21995973587036133,0.12326420098543167,-0.057115159928798676,0.15809185802936554,0.14552436769008636
author,0.18480391800403595,0.20742033421993256,0.15258380770683289,0.22751714289188385,0.32995179295539856,0.08720598369836807,0.18350110948085785,0.199458509683609,0.19284172356128693,0.08716395497322083,0.2550647258758545,0.14162757992744446
of,0.33290785551071167,0.1797693818807602,0.2513895630836487,0.18215155601501465,0.23665529489517212,0.3802283704280853,0.5696388483047485,0.733189046382904,0.20174051821231842,-0.03817026689648628,0.27564457058906555,0.1826142966747284
the,0.42745697498321533,0.26607486605644226,0.34736719727516174,0.21768254041671753,0.22377723455429077,0.40389683842658997,0.6662389636039734,1.0,0.24925659596920013,-0.01540423184633255,0.2622474431991577,0.22068053483963013
fifth,0.15292538702487946,0.14961567521095276,0.16395080089569092,0.18883827328681946,0.14412043988704681,0.13763296604156494,0.29252293705940247,0.39293691515922546,0.17435093224048615,0.1189347356557846,0.10607355087995529,0.13128890097141266
assessment,0.3237532377243042,0.1541120409965515,0.18798646330833435,0.11651288717985153,0.26998597383499146,0.30562254786491394,0.19949871301651,0.28427207469940186,0.5005803108215332,-0.05340564623475075,0.40496179461479187,0.22666098177433014
report,0.2868559956550598,0.13499055802822113,0.2986995279788971,0.12676484882831573,0.29821091890335083,0.2797522246837616,0.204250767827034,0.2556745111942291,0.4727894961833954,-0.0383719876408577,0.8003253936767578,0.3138936758041382
conceded,0.2614031732082367,0.2342698872089386,0.32678934931755066,0.17662641406059265,0.17705243825912476,0.23836082220077515,0.25655490159988403,0.29454848170280457,0.1506071835756302,0.05265076830983162,0.18590839207172394,0.23769798874855042
in,0.30808621644973755,0.243671715259552,0.2593238651752472,0.2203132063150406,0.25397396087646484,0.36843645572662354,1.0,0.6662389636039734,0.1257958561182022,-0.037580832839012146,0.2124374359846115,0.20430970191955566
science,0.2612018585205078,0.21449699997901917,0.14819081127643585,0.09217651933431625,0.32110539078712463,0.20438560843467712,0.269875705242157,0.24037593603134155,0.3457517623901367,0.03909866884350777,0.1424410343170166,0.17974960803985596
magazine,0.16423653066158295,0.15068630874156952,0.14056919515132904,0.17100127041339874,0.28111737966537476,0.1487240195274353,0.17267684638500214,0.19931171834468842,0.27099043130874634,0.04030289873480797,0.24637079238891602,0.15570664405822754
's,0.02692362666130066,0.00619043642655015,0.05069678649306297,-0.037305716425180435,-0.01576823741197586,-0.02807004563510418,-0.037580832839012146,-0.01540423184633255,0.010160183534026146,0.9999999403953552,-0.023835502564907074,-0.023395681753754616
state,0.24273863434791565,0.14595842361450195,0.152080237865448,0.1378418356180191,0.16159690916538239,0.2083192616701126,0.33316072821617126,0.3097178041934967,0.15148897469043732,0.038451772183179855,0.20229648053646088,0.1160883978009224
