,the,scottish,parliament,may,legislate,as,it,pleases,as,long,as,the,powers,are,n't,already,reserved,by,where,?
the,1.0,0.21724988520145416,0.26521381735801697,0.2694292366504669,0.2694984972476959,0.48381632566452026,0.6251175999641418,0.3068879246711731,0.48381632566452026,0.3075225353240967,0.48381632566452026,1.0,0.25233519077301025,0.40399202704429626,-0.11449059844017029,0.34582915902137756,0.23639146983623505,0.4408751428127289,0.5003893971443176,0.22068053483963013
scottish,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.21667926013469696,0.13038937747478485,0.185140922665596,0.13680848479270935,0.09175904095172882,0.185140922665596,0.12705253064632416,0.185140922665596,0.21724988520145416,0.09824219346046448,0.15686963498592377,0.08266002684831619,0.11939964443445206,0.10959164053201675,0.1562303602695465,0.16515733301639557,0.06442669779062271
parliament,0.26521381735801697,0.3418616056442261,1.0,0.21585623919963837,0.605234682559967,0.1639251410961151,0.22944188117980957,0.1764899641275406,0.1639251410961151,0.169145867228508,0.1639251410961151,0.26521381735801697,0.3280940353870392,0.09480422735214233,0.12146173417568207,0.14771543443202972,0.18815168738365173,0.1523929238319397,0.14109039306640625,0.1586504578590393
has,0.4177538752555847,0.09595897048711777,0.1700625866651535,0.2377731204032898,0.19002975523471832,0.351646363735199,0.41962623596191406,0.2593632936477661,0.351646363735199,0.2952231168746948,0.351646363735199,0.4177538752555847,0.1980433315038681,0.4313911199569702,-0.0160528514534235,0.43795865774154663,0.2001754343509674,0.3254803419113159,0.32190436124801636,0.15994466841220856
the,1.0,0.21724988520145416,0.26521381735801697,0.2694292366504669,0.2694984972476959,0.48381632566452026,0.6251175999641418,0.3068879246711731,0.48381632566452026,0.3075225353240967,0.48381632566452026,1.0,0.25233519077301025,0.40399202704429626,-0.11449059844017029,0.34582915902137756,0.23639146983623505,0.4408751428127289,0.5003893971443176,0.22068053483963013
power,0.2647338807582855,0.07665006071329117,0.29766279458999634,0.10121020674705505,0.30827033519744873,0.20748355984687805,0.19430124759674072,0.17143972218036652,0.20748355984687805,0.19656804203987122,0.20748355984687805,0.2647338807582855,0.6356112957000732,0.1187305822968483,-0.08744122087955475,0.1657654345035553,0.18933835625648499,0.21582826972007751,0.1914481520652771,0.15304024517536163
to,0.535392165184021,0.1268421709537506,0.20290622115135193,0.391582727432251,0.29117169976234436,0.42092081904411316,0.513711154460907,0.35753893852233887,0.42092081904411316,0.30218687653541565,0.42092081904411316,0.535392165184021,0.26181724667549133,0.3504326641559601,-0.14541994035243988,0.3676825761795044,0.18730998039245605,0.33534231781959534,0.47735077142715454,0.29463258385658264
legislate,0.2694984972476959,0.13038937747478485,0.605234682559967,0.16715563833713531,1.0000001192092896,0.23611177504062653,0.26065853238105774,0.237043097615242,0.23611177504062653,0.2147051990032196,0.23611177504062653,0.2694984972476959,0.38201263546943665,0.19854818284511566,-0.04107361286878586,0.2556358277797699,0.23176969587802887,0.15154775977134705,0.1858031153678894,0.24869191646575928
in,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.3424151837825775,0.22075778245925903,0.3887844979763031,0.5130809545516968,0.2462003529071808,0.3887844979763031,0.2759332060813904,0.3887844979763031,0.6662389636039734,0.16362762451171875,0.3841303884983063,-0.0012929976219311357,0.288102924823761,0.19184279441833496,0.370934396982193,0.5344807505607605,0.20430970191955566
all,0.4860881567001343,0.10985156148672104,0.15717768669128418,0.22570304572582245,0.2448698878288269,0.33195313811302185,0.36125609278678894,0.32825353741645813,0.33195313811302185,0.259257972240448,0.33195313811302185,0.4860881567001343,0.25355058908462524,0.5343062281608582,-0.13349294662475586,0.44300246238708496,0.28046366572380066,0.2944089472293854,0.36365973949432373,0.29575422406196594
