,how,much,did,capital,cities,communications,purchase,abc,and,its,properties,for,?
on,0.32655060291290283,0.2834896147251129,0.2670976221561432,0.15679915249347687,0.18104544281959534,0.2067214697599411,0.22003348171710968,0.2862928807735443,0.4077630043029785,0.34331920742988586,0.1698455661535263,0.36199691891670227,0.2714994251728058
march,0.16374856233596802,0.16749915480613708,0.27992504835128784,0.22292007505893707,0.15450511872768402,0.17109337449073792,0.15187212824821472,0.15645621716976166,0.25804370641708374,0.15564638376235962,0.07286181300878525,0.2775171995162964,0.2802562415599823
16,0.028703972697257996,0.031435202807188034,0.015878839418292046,-0.06732022017240524,-0.020601844415068626,0.06680861860513687,0.03908766433596611,0.043185193091630936,0.0019370252266526222,-0.08789095282554626,0.036331094801425934,-0.00719092832878232,0.08446579426527023
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.28033894300460815,0.31927579641342163,0.26378148794174194,0.220005065202713,0.2097204476594925,0.6633074283599854,0.33157986402511597,0.21241174638271332,0.4464869201183319,0.31091248989105225
1985,0.0524597242474556,0.09722235053777695,0.07323421537876129,0.08095449209213257,0.03658384829759598,0.1278640627861023,0.1406020224094391,0.07137808203697205,0.10228481888771057,0.06320992857217789,0.048052914440631866,0.010790123604238033,-0.03005216084420681
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.28033894300460815,0.31927579641342163,0.26378148794174194,0.220005065202713,0.2097204476594925,0.6633074283599854,0.33157986402511597,0.21241174638271332,0.4464869201183319,0.31091248989105225
abc,0.19232043623924255,0.08886020630598068,0.13353709876537323,0.2084534764289856,0.124558225274086,0.25629571080207825,0.2114780843257904,1.0000001192092896,0.16453155875205994,0.19045390188694,0.13060899078845978,0.22510288655757904,0.19065172970294952
's,-0.026164190843701363,0.06731651723384857,0.05069678649306297,0.01144334115087986,0.006531212944537401,0.06583338230848312,0.08398998528718948,0.06670809537172318,0.06895173341035843,0.03202139586210251,-0.07409704476594925,-0.07241261005401611,-0.023395681753754616
executive,0.1531113088130951,0.08913683891296387,0.1714463233947754,0.11547676473855972,0.0696786567568779,0.27969422936439514,0.24865233898162842,0.19940198957920074,0.25701579451560974,0.18528904020786285,0.1291462630033493,0.12237442284822464,0.12134998291730881
committee,0.14701566100120544,0.08676882088184357,0.19008150696754456,0.21770964562892914,0.16539740562438965,0.23443207144737244,0.2118481695652008,0.11449763178825378,0.22311176359653473,0.1876520961523056,0.16361352801322937,0.29222947359085083,0.12144632637500763
accepted,0.2068874090909958,0.24232278764247894,0.3967616856098175,0.12286578863859177,0.16748209297657013,0.156527578830719,0.2042793333530426,0.1201409325003624,0.24459291994571686,0.1813732534646988,0.149595245718956,0.3093303442001343,0.19665466248989105
