,who,is,the,governor,of,india,'s,central,bank,?
current,0.18425484001636505,0.2555285692214966,0.3314409554004669,0.15670980513095856,0.31470298767089844,0.11711307615041733,0.004145179875195026,0.10879909247159958,0.12628419697284698,0.12074550241231918
faculty,0.1587153673171997,0.15048952400684357,0.19605974853038788,0.1869083195924759,0.28538843989372253,0.12344536185264587,-0.007807043846696615,0.13278912007808685,0.16072362661361694,0.04951627925038338
include,0.15078489482402802,0.28863582015037537,0.2951717972755432,0.04880902171134949,0.37431180477142334,0.12877817451953888,-0.07849370688199997,0.16034066677093506,0.12383818626403809,0.14925788342952728
the,0.3733934462070465,0.5823672413825989,1.0,0.19955585896968842,0.733189046382904,0.3108653426170349,-0.01540423184633255,0.3417201042175293,0.3216422498226166,0.22068053483963013
anthropologist,0.35288432240486145,0.13864217698574066,0.16061320900917053,0.2730806767940521,0.1780320703983307,0.13153913617134094,0.06477395445108414,0.16963012516498566,0.1459822654724121,0.17604398727416992
marshall,0.20374739170074463,0.18521100282669067,0.22928133606910706,0.21335622668266296,0.20384931564331055,0.18295247852802277,0.014617709442973137,0.15956468880176544,0.18761931359767914,0.18167579174041748
sahlins,0.31671467423439026,0.26028355956077576,0.29118847846984863,0.18975943326950073,0.24254830181598663,0.17215318977832794,0.08288310468196869,0.22052238881587982,0.23414121568202972,0.1920129954814911
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.25151750445365906,0.4946078956127167,0.2621418535709381,-0.0016132977325469255,0.2587154507637024,0.2756500244140625,0.31091248989105225
historian,0.2563178241252899,0.12325379997491837,0.17690813541412354,0.3232044577598572,0.17766131460666656,0.17102760076522827,0.022088583558797836,0.11543448269367218,0.10923855006694794,0.14715451002120972
dipesh,0.19584456086158752,0.2535039782524109,0.26763924956321716,0.2257366180419922,0.23919375240802765,0.431644082069397,0.04483676329255104,0.17740823328495026,0.17651420831680298,0.18075904250144958
chakrabarty,0.23122110962867737,0.297188401222229,0.3633680045604706,0.27207961678504944,0.35806575417518616,0.41736599802970886,0.0047697885893285275,0.22284801304340363,0.26400357484817505,0.23590245842933655
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.25151750445365906,0.4946078956127167,0.2621418535709381,-0.0016132977325469255,0.2587154507637024,0.2756500244140625,0.31091248989105225
paleontologists,0.22175000607967377,0.19004647433757782,0.24533379077911377,0.16107791662216187,0.17848612368106842,0.17418049275875092,0.03741203248500824,0.13245359063148499,0.11661024391651154,0.16619890928268433
neil,0.2574825882911682,0.13933435082435608,0.15498113632202148,0.1537482887506485,0.15226785838603973,0.1153191551566124,-0.020640205591917038,0.04875759407877922,0.1399824619293213,0.08238664269447327
shubin,0.25377216935157776,0.2377748042345047,0.20982502400875092,0.20334549248218536,0.16492415964603424,0.13217702507972717,-0.06755708158016205,0.18935388326644897,0.1829327642917633,0.21434341371059418
