,who,stripped,the,ball,from,newton,on,a,3rd,and,nine,?
on,0.2340552806854248,0.18999923765659332,0.5107308030128479,0.1605052351951599,0.36926645040512085,0.14340966939926147,0.9999999403953552,0.3848365545272827,0.16353991627693176,0.4077630043029785,0.2514078915119171,0.2714994251728058
the,0.3733934462070465,0.24013200402259827,1.0,0.18895584344863892,0.40150508284568787,0.1876603662967682,0.5107308030128479,0.5829201340675354,0.2175474613904953,0.5171257257461548,0.33253175020217896,0.22068053483963013
next,0.19192104041576385,0.1587623804807663,0.35833123326301575,0.10990821570158005,0.19093751907348633,0.18665722012519836,0.33060458302497864,0.3054417371749878,0.18393109738826752,0.22333113849163055,0.24736838042736053,0.167460098862648
play,0.2742305099964142,0.08294893801212311,0.24793598055839539,0.31826484203338623,0.1498221457004547,0.17000392079353333,0.22181138396263123,0.21130098402500153,0.1339273601770401,0.25634777545928955,0.24665595591068268,0.11059518158435822
",",0.3365725874900818,0.20366182923316956,0.4933079481124878,0.2170172780752182,0.39760664105415344,0.2648763358592987,0.49057599902153015,0.427140474319458,0.2080731987953186,0.6633074283599854,0.273027628660202,0.31091248989105225
miller,0.2093905359506607,0.09983526915311813,0.21601076424121857,0.1518518477678299,0.18037109076976776,0.2466008961200714,0.2245476096868515,0.21294589340686798,0.18915919959545135,0.2989555597305298,0.14257684350013733,0.1295081228017807
stripped,0.19222557544708252,1.0,0.24013200402259827,0.14687755703926086,0.16444803774356842,0.1480047106742859,0.18999923765659332,0.21361295878887177,0.1643293797969818,0.3203900158405304,0.2064773440361023,0.1636997014284134
the,0.3733934462070465,0.24013200402259827,1.0,0.18895584344863892,0.40150508284568787,0.1876603662967682,0.5107308030128479,0.5829201340675354,0.2175474613904953,0.5171257257461548,0.33253175020217896,0.22068053483963013
ball,0.18419332802295685,0.14687755703926086,0.18895584344863892,1.0,0.21110084652900696,0.18903715908527374,0.1605052351951599,0.23578347265720367,0.201626256108284,0.19981779158115387,0.2185259759426117,0.1766241192817688
away,0.2651624381542206,0.26062220335006714,0.29030847549438477,0.18551963567733765,0.37826648354530334,0.11658354103565216,0.20892785489559174,0.2577407658100128,0.23588895797729492,0.3249220848083496,0.21714797616004944,0.15156377851963043
from,0.27839982509613037,0.16444803774356842,0.40150508284568787,0.21110084652900696,1.0,0.12768514454364777,0.36926645040512085,0.322764128446579,0.18909740447998047,0.3601827025413513,0.2534553110599518,0.19969791173934937
newton,0.19243690371513367,0.1480047106742859,0.1876603662967682,0.18903715908527374,0.12768514454364777,1.0000001192092896,0.14340966939926147,0.1884482353925705,0.2168421894311905,0.22255054116249084,0.10091447830200195,0.09645649790763855
",",0.3365725874900818,0.20366182923316956,0.4933079481124878,0.2170172780752182,0.39760664105415344,0.2648763358592987,0.49057599902153015,0.427140474319458,0.2080731987953186,0.6633074283599854,0.273027628660202,0.31091248989105225
and,0.41279885172843933,0.3203900158405304,0.5171257257461548,0.19981779158115387,0.3601827025413513,0.22255054116249084,0.4077630043029785,0.3739250600337982,0.21901369094848633,1.0,0.3451005816459656,0.20544172823429108
after,0.32549580931663513,0.2904599905014038,0.4565047025680542,0.13842351734638214,0.4051513373851776,0.1607818752527237,0.39330315589904785,0.3831600844860077,0.2702959477901459,0.3765919506549835,0.33868086338043213,0.16608688235282898
several,0.30628830194473267,0.2037895917892456,0.40559855103492737,0.11636541038751602,0.2822973132133484,0.18014377355575562,0.33774417638778687,0.29992109537124634,0.05135712772607803,0.4663935899734497,0.45147958397865295,0.15595775842666626
players,0.2852925956249237,0.07338691502809525,0.2647981345653534,0.35162150859832764,0.2135114073753357,0.11910119652748108,0.2058166116476059,0.20581431686878204,0.05897548049688339,0.24393494427204132,0.14623834192752838,0.15925642848014832
dove,0.15368758141994476,0.18001551926136017,0.1918858289718628,0.2838803231716156,0.10536213219165802,0.18596871197223663,0.14231161773204803,0.2249820977449417,0.1719723790884018,0.1595325469970703,0.2279830276966095,0.2024282068014145
for,0.37110671401023865,0.22055916488170624,0.4739971458911896,0.1708642989397049,0.314039945602417,0.18168501555919647,0.36199691891670227,0.44038116931915283,0.15692226588726044,0.5064792633056641,0.26828351616859436,0.264628142118454
it,0.2868398427963257,0.18891577422618866,0.6251175999641418,0.1934148073196411,0.325604110956192,0.16236042976379395,0.4529881477355957,0.5452592968940735,0.23396635055541992,0.40957894921302795,0.22782401740550995,0.25732165575027466
