,the,european,court,of,justice,can,not,uphold,measures,that,are,incompatible,with,what,?
therefore,0.4141571819782257,0.19489547610282898,0.12061778455972672,0.4106575846672058,0.1646484136581421,0.4358792006969452,0.5721608996391296,0.3401712477207184,0.3243148922920227,0.5717706680297852,0.4124811887741089,0.37264740467071533,0.3294515013694763,0.4125064015388489,0.3325358033180237
",",0.4933079481124878,0.19684812426567078,0.24410836398601532,0.4946078956127167,0.22630788385868073,0.3139454126358032,0.3769696354866028,0.2635689675807953,0.16940486431121826,0.4137537479400635,0.4062570035457611,0.1969233751296997,0.4120737314224243,0.3087472915649414,0.31091248989105225
the,1.0,0.3423081040382385,0.2812081575393677,0.733189046382904,0.23470892012119293,0.312528520822525,0.4310511648654938,0.29104143381118774,0.263394296169281,0.5473989248275757,0.40399202704429626,0.17226295173168182,0.4223487675189972,0.42745697498321533,0.22068053483963013
european,0.3423081040382385,0.9999998807907104,0.18487446010112762,0.2507138252258301,0.18444514274597168,0.14084136486053467,0.20631356537342072,0.21085497736930847,0.19540172815322876,0.2049320936203003,0.15548661351203918,0.1143021360039711,0.19647395610809326,0.15324164927005768,0.14560863375663757
court,0.2812081575393677,0.18487446010112762,1.0,0.28835242986679077,0.5483176112174988,0.14211946725845337,0.21835780143737793,0.3926061987876892,0.21570804715156555,0.2474849969148636,0.10927453637123108,0.1566346138715744,0.14494022727012634,0.23440583050251007,0.17100423574447632
of,0.733189046382904,0.2507138252258301,0.28835242986679077,1.0,0.2658293545246124,0.2603091299533844,0.3307090103626251,0.2880493700504303,0.24129846692085266,0.41498205065727234,0.39081433415412903,0.20946481823921204,0.41827285289764404,0.33290785551071167,0.1826142966747284
justice,0.23470892012119293,0.18444514274597168,0.5483176112174988,0.2658293545246124,1.0,0.08705738186836243,0.12427773326635361,0.379424124956131,0.19302386045455933,0.23929592967033386,0.13176707923412323,0.13614054024219513,0.13907890021800995,0.21462921798229218,0.19269752502441406
can,0.312528520822525,0.14084136486053467,0.14211946725845337,0.2603091299533844,0.08705738186836243,1.0,0.49270012974739075,0.2733871340751648,0.2891926169395447,0.4522190988063812,0.5408529043197632,0.33005595207214355,0.3572797477245331,0.34502777457237244,0.3226337134838104
not,0.4310511648654938,0.20631356537342072,0.21835780143737793,0.3307090103626251,0.12427773326635361,0.49270012974739075,0.9999999403953552,0.33214297890663147,0.24505777657032013,0.6600887179374695,0.46186959743499756,0.37154290080070496,0.3409014642238617,0.5449194312095642,0.41942933201789856
uphold,0.29104143381118774,0.21085497736930847,0.3926061987876892,0.2880493700504303,0.379424124956131,0.2733871340751648,0.33214297890663147,0.9999999403953552,0.2671675682067871,0.36063846945762634,0.22832892835140228,0.27112120389938354,0.18964232504367828,0.3426636755466461,0.2780480980873108
