,what,profession,does,zbigniew,badowski,have,?
the,0.42745697498321533,0.17655403912067413,0.35928019881248474,0.26672229170799255,0.1937578022480011,0.40389683842658997,0.22068053483963013
building,0.23529528081417084,0.1621875911951065,0.13735412061214447,0.15675687789916992,0.08558408915996552,0.20845180749893188,0.13549931347370148
was,0.22111038863658905,0.23919223248958588,0.19302551448345184,0.32007500529289246,0.24978558719158173,0.2863433063030243,0.18412111699581146
designed,0.15902110934257507,0.12634964287281036,0.19280755519866943,0.18712298572063446,0.10553822666406631,0.163482204079628,0.11213942617177963
by,0.2455483376979828,0.18375752866268158,0.143477201461792,0.1525568962097168,0.18093274533748627,0.3359639644622803,0.17966607213020325
architects,0.1787957400083542,0.19391514360904694,0.10992072522640228,0.21930116415023804,0.1778629720211029,0.1734384447336197,0.1260584592819214
marek,0.07103101909160614,0.15562011301517487,0.059833627194166183,0.6146800518035889,0.6062650680541992,0.04845071956515312,0.17564117908477783
budzyński,0.12526939809322357,0.1922609657049179,0.10753495991230011,0.6861422657966614,0.7750096917152405,0.1551305204629898,0.21445061266422272
and,0.31309178471565247,0.2738117277622223,0.3461615741252899,0.2810490131378174,0.23065735399723053,0.4711785912513733,0.20544172823429108
zbigniew,0.11801432818174362,0.3182714283466339,0.15097136795520782,1.0,0.5714691281318665,0.08098729699850082,0.21174173057079315
badowski,0.1649983823299408,0.1948312371969223,0.12503957748413086,0.5714691281318665,1.0,0.18796078860759735,0.2750779688358307
and,0.31309178471565247,0.2738117277622223,0.3461615741252899,0.2810490131378174,0.23065735399723053,0.4711785912513733,0.20544172823429108
opened,0.14500318467617035,0.12505793571472168,0.08185227960348129,0.1623046100139618,0.11676573008298874,0.13695283234119415,0.1934700310230255
on,0.34226128458976746,0.17827221751213074,0.2568802833557129,0.20364253222942352,0.16972792148590088,0.36494916677474976,0.2714994251728058
15,-0.01077192835509777,-0.05375782772898674,-0.06282642483711243,0.008930045180022717,0.0007161790272220969,0.0053451950661838055,-0.010706285014748573
december,0.19304980337619781,0.18551170825958252,0.15881332755088806,0.394628643989563,0.3232234716415405,0.14053665101528168,0.2480352818965912
1999,0.09112130105495453,0.021934937685728073,-0.043145570904016495,0.05043568089604378,0.014988931827247143,-0.04911213740706444,0.05416720360517502
.,0.3567904531955719,0.23688457906246185,0.3022993505001068,0.3081248998641968,0.2757749557495117,0.41614407300949097,0.4130953550338745
