,what,century,did,the,normans,first,gain,their,separate,identity,?
the,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.2781367897987366,0.49448907375335693,0.2682225704193115,0.516537070274353,0.3612915575504303,0.22824928164482117,0.22068053483963013
distinct,0.2610252797603607,0.1732761710882187,0.1403018832206726,0.28305986523628235,0.15662913024425507,0.2352169156074524,0.1391621232032776,0.2711208760738373,0.546607255935669,0.2947233021259308,0.09523114562034607
cultural,0.18198847770690918,0.23848170042037964,0.08231881260871887,0.23337452113628387,0.2092459499835968,0.11909441649913788,0.18997615575790405,0.21267040073871613,0.22989700734615326,0.3288555443286896,0.09798457473516464
and,0.31309178471565247,0.2726690471172333,0.34479495882987976,0.5171257257461548,0.23779046535491943,0.3167642652988434,0.2497105896472931,0.45114588737487793,0.334524005651474,0.24922586977481842,0.20544172823429108
ethnic,0.23053161799907684,0.2531350255012512,0.18674969673156738,0.2494550496339798,0.2517582178115845,0.12302175164222717,0.1592535376548767,0.24542087316513062,0.2684181332588196,0.36159074306488037,0.1578492373228073
identity,0.24968291819095612,0.1720358282327652,0.17384132742881775,0.22824928164482117,0.16899186372756958,0.20204026997089386,0.22857077419757843,0.2625107169151306,0.2585371434688568,0.9999998807907104,0.1520950198173523
of,0.33290785551071167,0.2826060354709625,0.2513895630836487,0.733189046382904,0.2173461765050888,0.3536086082458496,0.27324017882347107,0.4329940676689148,0.33388569951057434,0.14822673797607422,0.1826142966747284
the,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.2781367897987366,0.49448907375335693,0.2682225704193115,0.516537070274353,0.3612915575504303,0.22824928164482117,0.22068053483963013
normans,0.15760394930839539,0.3325289487838745,0.22847257554531097,0.2781367897987366,1.0,0.1762237548828125,0.1885823756456375,0.23518306016921997,0.10393042862415314,0.16899186372756958,0.12354589998722076
emerged,0.19115211069583893,0.2985474169254303,0.18697099387645721,0.30315518379211426,0.11096020042896271,0.257284015417099,0.18360541760921478,0.2163364589214325,0.24965324997901917,0.15163220465183258,0.10732126981019974
initially,0.24580118060112,0.17247337102890015,0.2628418803215027,0.2997018098831177,0.2054702341556549,0.34608641266822815,0.2250535637140274,0.26889050006866455,0.3028336763381958,0.2062780112028122,0.0699334517121315
in,0.30808621644973755,0.3174034655094147,0.2593238651752472,0.6662389636039734,0.23263490200042725,0.4127444326877594,0.23473112285137177,0.34976133704185486,0.3099668025970459,0.19517956674098969,0.20430970191955566
the,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.2781367897987366,0.49448907375335693,0.2682225704193115,0.516537070274353,0.3612915575504303,0.22824928164482117,0.22068053483963013
first,0.28086137771606445,0.32110705971717834,0.33691170811653137,0.49448907375335693,0.1762237548828125,1.0,0.17162758111953735,0.26809096336364746,0.2786007821559906,0.20204026997089386,0.18701928853988647
