,when,did,the,jin,dynasty,begin,?
during,0.46721696853637695,0.30679523944854736,0.4838213622570038,0.21162357926368713,0.2431466281414032,0.36029958724975586,0.1325719803571701
the,0.5091903209686279,0.34736719727516174,1.0,0.23336409032344818,0.26267939805984497,0.34293439984321594,0.22068053483963013
southern,0.22505681216716766,0.13322393596172333,0.3282862603664398,0.14597360789775848,0.24628868699073792,0.13786348700523376,0.11225555837154388
song,0.2437654733657837,0.1988414227962494,0.300855815410614,0.2800523042678833,0.24676866829395294,0.13485722243785858,0.20782215893268585
dynasty,0.16945278644561768,0.19201454520225525,0.26267939805984497,0.4847870469093323,1.0,0.0877443253993988,0.15884074568748474
the,0.5091903209686279,0.34736719727516174,1.0,0.23336409032344818,0.26267939805984497,0.34293439984321594,0.22068053483963013
descendant,0.1446324735879898,0.20252588391304016,0.27002206444740295,0.1032772809267044,0.29880663752555847,0.018254641443490982,0.109697625041008
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.18017646670341492,0.285645067691803,0.24830074608325958,0.1826142966747284
confucius,0.13258446753025055,0.15977878868579865,0.2124595046043396,0.4792950749397278,0.44228193163871765,0.1475973278284073,0.19365330040454865
at,0.38876327872276306,0.28390252590179443,0.457212895154953,0.16647185385227203,0.11463665962219238,0.2332090437412262,0.21978627145290375
qufu,0.22377116978168488,0.23581911623477936,0.2998673617839813,0.42832568287849426,0.4872327744960785,0.1647966206073761,0.22731199860572815
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.21946492791175842,0.1976536363363266,0.27304404973983765,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.23336409032344818,0.26267939805984497,0.34293439984321594,0.22068053483963013
duke,0.13615576922893524,0.18803031742572784,0.218814879655838,0.1686972975730896,0.2390957921743393,0.0636533871293068,0.13699419796466827
yansheng,0.20928210020065308,0.15819525718688965,0.24177713692188263,0.5904185175895691,0.4673768877983093,0.15726526081562042,0.21368952095508575
kong,0.18756937980651855,0.16918805241584778,0.19810858368873596,0.27601388096809387,0.2338206022977829,0.09803988039493561,0.10485735535621643
duanyou,0.2488957941532135,0.2465440034866333,0.3078915774822235,0.3529326021671295,0.2881057858467102,0.1411198377609253,0.42137411236763
fled,0.2553989887237549,0.3007028102874756,0.27857163548469543,0.20993635058403015,0.2626008987426758,0.2543763816356659,0.13968057930469513
south,0.18115942180156708,0.1510593444108963,0.3129390776157379,0.25544410943984985,0.25719618797302246,0.13722053170204163,0.12336621433496475
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.1661251038312912,0.1163286566734314,0.25770750641822815,0.2433311939239502
the,0.5091903209686279,0.34736719727516174,1.0,0.23336409032344818,0.26267939805984497,0.34293439984321594,0.22068053483963013
song,0.2437654733657837,0.1988414227962494,0.300855815410614,0.2800523042678833,0.24676866829395294,0.13485722243785858,0.20782215893268585
emperor,0.18443609774112701,0.13150596618652344,0.2871226370334625,0.45253661274909973,0.43762901425361633,0.12886843085289001,0.19661661982536316
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.16679616272449493,0.1214921623468399,0.33302420377731323,0.29463258385658264
