,what,virus,did,walter,reed,discover,?
viruses,0.22483296692371368,0.8373210430145264,0.15989536046981812,0.08395107090473175,0.13766694068908691,0.25377821922302246,0.2074798345565796
were,0.22298263013362885,0.09984321147203445,0.4162326455116272,0.13782867789268494,0.17166580259799957,0.2333008199930191,0.17890112102031708
confirmed,0.1880883276462555,0.2301977425813675,0.23830153048038483,0.14372019469738007,0.1341368854045868,0.30518245697021484,0.20580808818340302
as,0.31749409437179565,0.08848585188388824,0.3596470057964325,0.17068295180797577,0.26669377088546753,0.1743897795677185,0.27043893933296204
human,0.24243313074111938,0.35996711254119873,0.15822581946849823,0.16268953680992126,0.08059322834014893,0.20263682305812836,0.19748784601688385
pathogens,0.24503889679908752,0.5974105596542358,0.1848660260438919,0.09605192393064499,0.2065756469964981,0.29242968559265137,0.21364152431488037
in,0.30808621644973755,0.2113294154405594,0.2593238651752472,0.19440563023090363,0.17366570234298706,0.24369259178638458,0.20430970191955566
1901,-0.07605163753032684,0.010400529950857162,0.00048246048390865326,-0.03923913836479187,0.04601728171110153,-0.09142893552780151,-0.041070252656936646
",",0.3087472915649414,0.2469908446073532,0.3015086054801941,0.2061186581850052,0.3083533048629761,0.22755950689315796,0.31091248989105225
with,0.2464839518070221,0.13785628974437714,0.25472134351730347,0.11396677047014236,0.21793536841869354,0.18929526209831238,0.2433311939239502
the,0.42745697498321533,0.2104095071554184,0.34736719727516174,0.16759788990020752,0.20458559691905975,0.28971150517463684,0.22068053483963013
discovery,0.16559629142284393,0.3011569380760193,0.14172746241092682,0.18771404027938843,0.1518566906452179,0.772894024848938,0.11594310402870178
of,0.33290785551071167,0.23710672557353973,0.2513895630836487,0.16571573913097382,0.18638066947460175,0.21607455611228943,0.1826142966747284
the,0.42745697498321533,0.2104095071554184,0.34736719727516174,0.16759788990020752,0.20458559691905975,0.28971150517463684,0.22068053483963013
yellow,0.17067797482013702,0.30722907185554504,0.14123791456222534,0.16416281461715698,0.18331332504749298,0.12850439548492432,0.142889603972435
fever,0.18325752019882202,0.48152050375938416,0.2005186527967453,0.11517085134983063,0.1846569925546646,0.20276930928230286,0.19472312927246094
virus,0.21932442486286163,1.0,0.12847252190113068,0.08579714596271515,0.15658976137638092,0.24567939341068268,0.17680412530899048
by,0.2455483376979828,0.18439868092536926,0.18574509024620056,0.224900022149086,0.21521922945976257,0.18237189948558807,0.17966607213020325
walter,0.11522015184164047,0.08579714596271515,0.13293832540512085,1.0000001192092896,0.29860055446624756,0.19158953428268433,0.1297207623720169
reed,0.07928705960512161,0.15658976137638092,0.18021784722805023,0.29860055446624756,0.9999999403953552,0.12946397066116333,0.1391095072031021
.,0.3567904531955719,0.20257869362831116,0.35288307070732117,0.20295998454093933,0.2945597171783447,0.22028395533561707,0.4130953550338745
