,how,many,parts,does,the,consideration,of,a,bill,in,stage,3,have,?
this,0.45272302627563477,0.43532639741897583,0.3312264680862427,0.4166489243507385,0.6274310946464539,0.43918928503990173,0.45148900151252747,0.5422310829162598,0.1531486064195633,0.45205554366111755,0.19488343596458435,0.08524961024522781,0.4660032093524933,0.3155723512172699
stage,0.1827659159898758,0.19739125669002533,0.08190245181322098,0.15696872770786285,0.22652170062065125,0.21149440109729767,0.1389172226190567,0.2036506086587906,0.24478907883167267,0.2011467069387436,1.0000001192092896,-0.011818449012935162,0.17930765450000763,0.14916576445102692
comprises,0.09174761921167374,0.19863204658031464,0.3265855312347412,0.1844440996646881,0.30223149061203003,0.21649053692817688,0.3857746422290802,0.24054153263568878,0.09037372469902039,0.2665193974971771,0.138474240899086,0.005124123301357031,0.29725322127342224,0.037654489278793335
two,0.2499001920223236,0.5147606730461121,0.29593268036842346,0.2100418359041214,0.43858039379119873,0.18221424520015717,0.37726253271102905,0.3289857804775238,0.12127139419317245,0.36463531851768494,0.16211222112178802,-0.07663383334875107,0.4498785734176636,0.19645625352859497
parts,0.264614999294281,0.3626287281513214,1.0,0.2662765681743622,0.4042440354824066,0.22582274675369263,0.3379773199558258,0.2777566909790039,0.13646987080574036,0.3282690644264221,0.08190245181322098,0.01697590760886669,0.2987560033798218,0.12310896813869476
:,-0.11215605586767197,-0.10786184668540955,-0.10714492946863174,-0.11934193223714828,-0.03403344005346298,0.007634954527020454,-0.08807745575904846,-0.0007584693375974894,-0.05502665415406227,0.020521078258752823,0.0064022475853562355,-0.14544126391410828,-0.10825085639953613,-0.07156077772378922
consideration,0.3145127296447754,0.24716588854789734,0.22582274675369263,0.3316340744495392,0.3567850589752197,0.9999999403953552,0.33743569254875183,0.31926587224006653,0.1992005705833435,0.21963979303836823,0.21149440109729767,0.11974569410085678,0.34419357776641846,0.3967568278312683
of,0.2480744868516922,0.37253960967063904,0.3379773199558258,0.3119818866252899,0.733189046382904,0.33743569254875183,1.0,0.5052502155303955,0.17127205431461334,0.5696388483047485,0.1389172226190567,0.046857766807079315,0.3802283704280853,0.1826142966747284
amendments,0.24180710315704346,0.21542438864707947,0.2722886800765991,0.23446175456047058,0.30301690101623535,0.3656955361366272,0.22983944416046143,0.1911919265985489,0.4210346043109894,0.1798926591873169,0.15964826941490173,-0.005278308410197496,0.30313971638679504,0.2547150254249573
to,0.44169697165489197,0.40243685245513916,0.24449384212493896,0.4391997456550598,0.535392165184021,0.3686288893222809,0.41548454761505127,0.45503583550453186,0.17981381714344025,0.45010748505592346,0.1484832912683487,0.09797177463769913,0.4544740617275238,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.4042440354824066,0.35928019881248474,1.0,0.3567850589752197,0.733189046382904,0.5829201340675354,0.24155211448669434,0.6662389636039734,0.22652170062065125,0.06283142417669296,0.40389683842658997,0.22068053483963013
bill,0.19698695838451385,0.13557864725589752,0.13646987080574036,0.17194031178951263,0.24155211448669434,0.1992005705833435,0.17127205431461334,0.24716360867023468,0.9999999403953552,0.1447519063949585,0.24478907883167267,-0.023616017773747444,0.15134581923484802,0.12855131924152374
as,0.33782753348350525,0.4070141911506653,0.20346619188785553,0.31202155351638794,0.48381632566452026,0.3002471625804901,0.3886612355709076,0.39550232887268066,0.20273667573928833,0.3887844979763031,0.18075832724571228,0.09568799287080765,0.37788212299346924,0.27043893933296204
a,0.29312583804130554,0.2872205972671509,0.2777566909790039,0.38201746344566345,0.5829201340675354,0.31926587224006653,0.5052502155303955,1.0,0.24716360867023468,0.539380669593811,0.2036506086587906,0.08904784172773361,0.338716596364975,0.23916715383529663
